region,variant,freq,year,meanageforchildbearing
927,estimates,5yearly,1950,27.817
927,estimates,5yearly,1955,27.549
927,estimates,5yearly,1960,27.483
927,estimates,5yearly,1965,27.162
927,estimates,5yearly,1970,26.735
927,estimates,5yearly,1975,26.832
927,estimates,5yearly,1980,27.304
927,estimates,5yearly,1985,27.965
927,estimates,5yearly,1990,28.559
927,estimates,5yearly,1995,29.127
927,estimates,5yearly,2000,29.708
927,estimates,5yearly,2005,30.131
927,estimates,5yearly,2010,30.457
927,medium_variant,5yearly,2015,30.803
927,medium_variant,5yearly,2020,31.061
927,medium_variant,5yearly,2025,31.249
927,medium_variant,5yearly,2030,31.382
927,medium_variant,5yearly,2035,31.47
927,medium_variant,5yearly,2040,31.524
927,medium_variant,5yearly,2045,31.55
927,medium_variant,5yearly,2050,31.556
927,medium_variant,5yearly,2055,31.548
927,medium_variant,5yearly,2060,31.534
927,medium_variant,5yearly,2065,31.515
927,medium_variant,5yearly,2070,31.496
927,medium_variant,5yearly,2075,31.476
927,medium_variant,5yearly,2080,31.456
927,medium_variant,5yearly,2085,31.437
927,medium_variant,5yearly,2090,31.418
927,medium_variant,5yearly,2095,31.399
