region,variant,freq,year,meanageforchildbearing
915,estimates,5yearly,1950,28.877
915,estimates,5yearly,1955,28.857
915,estimates,5yearly,1960,28.758
915,estimates,5yearly,1965,28.699
915,estimates,5yearly,1970,28.41
915,estimates,5yearly,1975,28.138
915,estimates,5yearly,1980,28.166
915,estimates,5yearly,1985,27.915
915,estimates,5yearly,1990,27.704
915,estimates,5yearly,1995,27.425
915,estimates,5yearly,2000,27.364
915,estimates,5yearly,2005,27.402
915,estimates,5yearly,2010,27.484
915,medium_variant,5yearly,2015,27.686
915,medium_variant,5yearly,2020,27.999
915,medium_variant,5yearly,2025,28.202
915,medium_variant,5yearly,2030,28.39
915,medium_variant,5yearly,2035,28.577
915,medium_variant,5yearly,2040,28.754
915,medium_variant,5yearly,2045,28.922
915,medium_variant,5yearly,2050,29.083
915,medium_variant,5yearly,2055,29.238
915,medium_variant,5yearly,2060,29.385
915,medium_variant,5yearly,2065,29.523
915,medium_variant,5yearly,2070,29.654
915,medium_variant,5yearly,2075,29.775
915,medium_variant,5yearly,2080,29.889
915,medium_variant,5yearly,2085,29.993
915,medium_variant,5yearly,2090,30.089
915,medium_variant,5yearly,2095,30.177
915,estimates,5yearly,Regi,Caribbean
915,medium_variant,5yearly,Regi,Caribbean
