region,variant,freq,year,meanageforchildbearing
5501,estimates,5yearly,1950,29.462
5501,estimates,5yearly,1955,29.454
5501,estimates,5yearly,1960,29.434
5501,estimates,5yearly,1965,29.238
5501,estimates,5yearly,1970,28.875
5501,estimates,5yearly,1975,28.507
5501,estimates,5yearly,1980,28.127
5501,estimates,5yearly,1985,27.759
5501,estimates,5yearly,1990,27.459
5501,estimates,5yearly,1995,27.338
5501,estimates,5yearly,2000,27.228
5501,estimates,5yearly,2005,27.063
5501,estimates,5yearly,2010,26.956
5501,medium_variant,5yearly,2015,26.85
5501,medium_variant,5yearly,2020,26.832
5501,medium_variant,5yearly,2025,26.882
5501,medium_variant,5yearly,2030,26.987
5501,medium_variant,5yearly,2035,27.139
5501,medium_variant,5yearly,2040,27.323
5501,medium_variant,5yearly,2045,27.519
5501,medium_variant,5yearly,2050,27.713
5501,medium_variant,5yearly,2055,27.911
5501,medium_variant,5yearly,2060,28.118
5501,medium_variant,5yearly,2065,28.331
5501,medium_variant,5yearly,2070,28.543
5501,medium_variant,5yearly,2075,28.749
5501,medium_variant,5yearly,2080,28.95
5501,medium_variant,5yearly,2085,29.147
5501,medium_variant,5yearly,2090,29.343
5501,medium_variant,5yearly,2095,29.534
5501,estimates,5yearly,Regi,Southern Asia
5501,medium_variant,5yearly,Regi,Southern Asia
