region,variant,freq,year,meanageforchildbearing
957,estimates,5yearly,1950,29.493
957,estimates,5yearly,1955,29.524
957,estimates,5yearly,1960,29.726
957,estimates,5yearly,1965,29.524
957,estimates,5yearly,1970,29.452
957,estimates,5yearly,1975,29.541
957,estimates,5yearly,1980,29.539
957,estimates,5yearly,1985,29.439
957,estimates,5yearly,1990,29.576
957,estimates,5yearly,1995,29.144
957,estimates,5yearly,2000,29.274
957,estimates,5yearly,2005,29.558
957,estimates,5yearly,2010,29.669
957,medium_variant,5yearly,2015,29.804
957,medium_variant,5yearly,2020,29.931
957,medium_variant,5yearly,2025,30.071
957,medium_variant,5yearly,2030,30.218
957,medium_variant,5yearly,2035,30.373
957,medium_variant,5yearly,2040,30.511
957,medium_variant,5yearly,2045,30.591
957,medium_variant,5yearly,2050,30.626
957,medium_variant,5yearly,2055,30.655
957,medium_variant,5yearly,2060,30.69
957,medium_variant,5yearly,2065,30.73
957,medium_variant,5yearly,2070,30.762
957,medium_variant,5yearly,2075,30.777
957,medium_variant,5yearly,2080,30.779
957,medium_variant,5yearly,2085,30.775
957,medium_variant,5yearly,2090,30.772
957,medium_variant,5yearly,2095,30.77
