region,variant,freq,year,meanageforchildbearing
911,estimates,5yearly,1950,28.748
911,estimates,5yearly,1955,28.697
911,estimates,5yearly,1960,28.638
911,estimates,5yearly,1965,28.669
911,estimates,5yearly,1970,28.791
911,estimates,5yearly,1975,28.949
911,estimates,5yearly,1980,29.093
911,estimates,5yearly,1985,29.261
911,estimates,5yearly,1990,29.338
911,estimates,5yearly,1995,29.369
911,estimates,5yearly,2000,29.339
911,estimates,5yearly,2005,29.317
911,estimates,5yearly,2010,29.167
911,medium_variant,5yearly,2015,29.088
911,medium_variant,5yearly,2020,29.036
911,medium_variant,5yearly,2025,29.006
911,medium_variant,5yearly,2030,28.994
911,medium_variant,5yearly,2035,28.997
911,medium_variant,5yearly,2040,29.014
911,medium_variant,5yearly,2045,29.041
911,medium_variant,5yearly,2050,29.075
911,medium_variant,5yearly,2055,29.119
911,medium_variant,5yearly,2060,29.171
911,medium_variant,5yearly,2065,29.232
911,medium_variant,5yearly,2070,29.297
911,medium_variant,5yearly,2075,29.37
911,medium_variant,5yearly,2080,29.447
911,medium_variant,5yearly,2085,29.529
911,medium_variant,5yearly,2090,29.614
911,medium_variant,5yearly,2095,29.701
