continent,year,variant,freq,age1yearinterval,lifeexpectancy
904,1950,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1950,estimates,5yearly,0,51.2748885800076
904,1950,estimates,5yearly,1,57.719634471744
904,1950,estimates,5yearly,5,57.9627716458759
904,1950,estimates,5yearly,10,54.0448743012469
904,1950,estimates,5yearly,15,49.5646531575317
904,1950,estimates,5yearly,20,45.3068198144012
904,1950,estimates,5yearly,25,41.2489257985194
904,1950,estimates,5yearly,30,37.2849663264003
904,1950,estimates,5yearly,35,33.3613567091589
904,1950,estimates,5yearly,40,29.477553864739
904,1950,estimates,5yearly,45,25.6589188423436
904,1950,estimates,5yearly,50,21.9539117185737
904,1950,estimates,5yearly,55,18.423304996601
904,1950,estimates,5yearly,60,15.1268942947325
904,1950,estimates,5yearly,65,12.1149944288381
904,1950,estimates,5yearly,70,9.41984892849911
904,1950,estimates,5yearly,75,7.14361134509632
904,1950,estimates,5yearly,80,5.34015201370682
904,1950,estimates,5yearly,85,3.97356027330968
904,1950,estimates,5yearly,90,2.98245602281697
904,1950,estimates,5yearly,95,2.29207620693497
904,1950,estimates,5yearly,100plus,1.82745611832063
904,1955,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1955,estimates,5yearly,0,54.1694867336465
904,1955,estimates,5yearly,1,60.0902367243047
904,1955,estimates,5yearly,5,59.8055111508039
904,1955,estimates,5yearly,10,55.7567860569038
904,1955,estimates,5yearly,15,51.1960726023319
904,1955,estimates,5yearly,20,46.8358203229492
904,1955,estimates,5yearly,25,42.6631187584936
904,1955,estimates,5yearly,30,38.5871647670952
904,1955,estimates,5yearly,35,34.5555501310718
904,1955,estimates,5yearly,40,30.5647287902759
904,1955,estimates,5yearly,45,26.6419626430596
904,1955,estimates,5yearly,50,22.8397672385479
904,1955,estimates,5yearly,55,19.2155851095862
904,1955,estimates,5yearly,60,15.8323750471506
904,1955,estimates,5yearly,65,12.7468197206837
904,1955,estimates,5yearly,70,9.98986296000431
904,1955,estimates,5yearly,75,7.65168944778929
904,1955,estimates,5yearly,80,5.77405760889461
904,1955,estimates,5yearly,85,4.32781988919417
904,1955,estimates,5yearly,90,3.25915714251279
904,1955,estimates,5yearly,95,2.49955648795095
904,1955,estimates,5yearly,100plus,1.97763392261333
904,1960,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1960,estimates,5yearly,0,56.7764401532969
904,1960,estimates,5yearly,1,62.162064711671
904,1960,estimates,5yearly,5,61.3787833333753
904,1960,estimates,5yearly,10,57.2055659493978
904,1960,estimates,5yearly,15,52.5784323098118
904,1960,estimates,5yearly,20,48.1253324470442
904,1960,estimates,5yearly,25,43.8447459312587
904,1960,estimates,5yearly,30,39.6581686393419
904,1960,estimates,5yearly,35,35.5188614280545
904,1960,estimates,5yearly,40,31.4225732607509
904,1960,estimates,5yearly,45,27.3931799768885
904,1960,estimates,5yearly,50,23.4892208661305
904,1960,estimates,5yearly,55,19.77718111071
904,1960,estimates,5yearly,60,16.3111756034328
904,1960,estimates,5yearly,65,13.1456310037108
904,1960,estimates,5yearly,70,10.3129530571804
904,1960,estimates,5yearly,75,7.89492323849476
904,1960,estimates,5yearly,80,5.94669522908987
904,1960,estimates,5yearly,85,4.44276897419683
904,1960,estimates,5yearly,90,3.33068501757471
904,1960,estimates,5yearly,95,2.54100227772774
904,1960,estimates,5yearly,100plus,1.99986737558122
904,1965,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1965,estimates,5yearly,0,58.9301080546282
904,1965,estimates,5yearly,1,63.8296186566227
904,1965,estimates,5yearly,5,62.6091984646392
904,1965,estimates,5yearly,10,58.2944519028829
904,1965,estimates,5yearly,15,53.6144756295758
904,1965,estimates,5yearly,20,49.0867436389799
904,1965,estimates,5yearly,25,44.7108787653557
904,1965,estimates,5yearly,30,40.4251175262055
904,1965,estimates,5yearly,35,36.1914108701711
904,1965,estimates,5yearly,40,32.0117824509772
904,1965,estimates,5yearly,45,27.9094859928728
904,1965,estimates,5yearly,50,23.9370843472309
904,1965,estimates,5yearly,55,20.1608149976815
904,1965,estimates,5yearly,60,16.6383044626455
904,1965,estimates,5yearly,65,13.4185908880652
904,1965,estimates,5yearly,70,10.5364765004742
904,1965,estimates,5yearly,75,8.07401119920634
904,1965,estimates,5yearly,80,6.0837708918346
904,1965,estimates,5yearly,85,4.54283839771577
904,1965,estimates,5yearly,90,3.40043670144654
904,1965,estimates,5yearly,95,2.58760221643381
904,1965,estimates,5yearly,100plus,2.02988617884802
904,1970,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1970,estimates,5yearly,0,61.1494143982498
904,1970,estimates,5yearly,1,65.4856040326531
904,1970,estimates,5yearly,5,63.7371064193683
904,1970,estimates,5yearly,10,59.2969121946581
904,1970,estimates,5yearly,15,54.5651854316863
904,1970,estimates,5yearly,20,49.9788147136976
904,1970,estimates,5yearly,25,45.5283587897499
904,1970,estimates,5yearly,30,41.1603801944302
904,1970,estimates,5yearly,35,36.8485400242055
904,1970,estimates,5yearly,40,32.597737008709
904,1970,estimates,5yearly,45,28.4349055503206
904,1970,estimates,5yearly,50,24.4089632102649
904,1970,estimates,5yearly,55,20.5790431415519
904,1970,estimates,5yearly,60,17.0010135333001
904,1970,estimates,5yearly,65,13.728580449846
904,1970,estimates,5yearly,70,10.7951896116479
904,1970,estimates,5yearly,75,8.28341312116096
904,1970,estimates,5yearly,80,6.24585476201505
904,1970,estimates,5yearly,85,4.66260082317293
904,1970,estimates,5yearly,90,3.48498684143773
904,1970,estimates,5yearly,95,2.64484712405196
904,1970,estimates,5yearly,100plus,2.06727893817344
904,1975,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1975,estimates,5yearly,0,63.0110479970436
904,1975,estimates,5yearly,1,66.7691033067651
904,1975,estimates,5yearly,5,64.4118616938434
904,1975,estimates,5yearly,10,59.8484668767623
904,1975,estimates,5yearly,15,55.0956732503429
904,1975,estimates,5yearly,20,50.4868144734078
904,1975,estimates,5yearly,25,46.018640651845
904,1975,estimates,5yearly,30,41.6263445673996
904,1975,estimates,5yearly,35,37.2811579303953
904,1975,estimates,5yearly,40,32.998671501797
904,1975,estimates,5yearly,45,28.8076159465954
904,1975,estimates,5yearly,50,24.7550154327523
904,1975,estimates,5yearly,55,20.8954626840893
904,1975,estimates,5yearly,60,17.2840266490308
904,1975,estimates,5yearly,65,13.9737756504808
904,1975,estimates,5yearly,70,11.0014059996382
904,1975,estimates,5yearly,75,8.44490423231821
904,1975,estimates,5yearly,80,6.36590495817684
904,1975,estimates,5yearly,85,4.74703287286054
904,1975,estimates,5yearly,90,3.54110988366487
904,1975,estimates,5yearly,95,2.68015335338644
904,1975,estimates,5yearly,100plus,2.0883603556519
904,1980,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1980,estimates,5yearly,0,64.8824491444114
904,1980,estimates,5yearly,1,67.9934986590273
904,1980,estimates,5yearly,5,65.1772688369119
904,1980,estimates,5yearly,10,60.5248419440378
904,1980,estimates,5yearly,15,55.7516105186061
904,1980,estimates,5yearly,20,51.1200446659402
904,1980,estimates,5yearly,25,46.6258988365452
904,1980,estimates,5yearly,30,42.20681313885
904,1980,estimates,5yearly,35,37.8270125636324
904,1980,estimates,5yearly,40,33.5029304382674
904,1980,estimates,5yearly,45,29.2769170328567
904,1980,estimates,5yearly,50,25.1907899079917
904,1980,estimates,5yearly,55,21.2961306031883
904,1980,estimates,5yearly,60,17.6490910272514
904,1980,estimates,5yearly,65,14.3021795813737
904,1980,estimates,5yearly,70,11.2895024852227
904,1980,estimates,5yearly,75,8.68842348319773
904,1980,estimates,5yearly,80,6.56355107514669
904,1980,estimates,5yearly,85,4.90068215277039
904,1980,estimates,5yearly,90,3.65553155921544
904,1980,estimates,5yearly,95,2.76202030093258
904,1980,estimates,5yearly,100plus,2.14494214783167
904,1985,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1985,estimates,5yearly,0,66.6563248852218
904,1985,estimates,5yearly,1,69.015015228265
904,1985,estimates,5yearly,5,65.9403843803152
904,1985,estimates,5yearly,10,61.2318117387727
904,1985,estimates,5yearly,15,56.4366950620248
904,1985,estimates,5yearly,20,51.7833499649824
904,1985,estimates,5yearly,25,47.2659514465533
904,1985,estimates,5yearly,30,42.8168558147724
904,1985,estimates,5yearly,35,38.402735167239
904,1985,estimates,5yearly,40,34.0393884104345
