continent,year,variant,freq,age1yearinterval,lifeexpectancy
905,1950,estimates,5yearly,"Region, subregion, country or area *",NORTHERN AMERICA
905,1950,estimates,5yearly,0,68.7270314011158
905,1950,estimates,5yearly,1,69.9110557424245
905,1950,estimates,5yearly,5,66.2813519793041
905,1950,estimates,5yearly,10,61.472023007777
905,1950,estimates,5yearly,15,56.6385681393702
905,1950,estimates,5yearly,20,51.9211563073418
905,1950,estimates,5yearly,25,47.2683346076917
905,1950,estimates,5yearly,30,42.6070831622923
905,1950,estimates,5yearly,35,37.9712136890093
905,1950,estimates,5yearly,40,33.4354823533327
905,1950,estimates,5yearly,45,29.0646220180167
905,1950,estimates,5yearly,50,24.9223155441655
905,1950,estimates,5yearly,55,21.06241421956
905,1950,estimates,5yearly,60,17.4804888867929
905,1950,estimates,5yearly,65,14.2084818572853
905,1950,estimates,5yearly,70,11.2465617657224
905,1950,estimates,5yearly,75,8.69785398094024
905,1950,estimates,5yearly,80,6.61109844646151
905,1950,estimates,5yearly,85,4.97051904913533
905,1950,estimates,5yearly,90,3.73315483533898
905,1950,estimates,5yearly,95,2.8364986766461
905,1950,estimates,5yearly,100plus,2.20978093577386
905,1955,estimates,5yearly,"Region, subregion, country or area *",NORTHERN AMERICA
905,1955,estimates,5yearly,0,69.7015401087161
905,1955,estimates,5yearly,1,70.6814020968628
905,1955,estimates,5yearly,5,66.9929384787943
905,1955,estimates,5yearly,10,62.1567686901316
905,1955,estimates,5yearly,15,57.3018958342224
905,1955,estimates,5yearly,20,52.5597398997407
905,1955,estimates,5yearly,25,47.8766989983934
905,1955,estimates,5yearly,30,43.1803054918238
905,1955,estimates,5yearly,35,38.5088487512021
905,1955,estimates,5yearly,40,33.9287564291393
905,1955,estimates,5yearly,45,29.5066109410016
905,1955,estimates,5yearly,50,25.3047772715136
905,1955,estimates,5yearly,55,21.3734010019436
905,1955,estimates,5yearly,60,17.7303891684639
905,1955,estimates,5yearly,65,14.4211540945874
905,1955,estimates,5yearly,70,11.4290458123384
905,1955,estimates,5yearly,75,8.82935061393969
905,1955,estimates,5yearly,80,6.69810716001628
905,1955,estimates,5yearly,85,5.02198393486731
905,1955,estimates,5yearly,90,3.75889403819463
905,1955,estimates,5yearly,95,2.84558989122778
905,1955,estimates,5yearly,100plus,2.20945116683243
905,1960,estimates,5yearly,"Region, subregion, country or area *",NORTHERN AMERICA
