variant,country,year,populationchange
estimates,430,1950,12.884
estimates,430,1951,13.779
estimates,430,1952,15.344
estimates,430,1953,16.812
estimates,430,1954,18.179
estimates,430,1955,19.435
estimates,430,1956,20.587
estimates,430,1957,21.637
estimates,430,1958,22.592
estimates,430,1959,23.457
estimates,430,1960,24.269
estimates,430,1961,25.081
estimates,430,1962,25.949
estimates,430,1963,26.928
estimates,430,1964,28.036
estimates,430,1965,29.23
estimates,430,1966,30.479
estimates,430,1967,31.832
estimates,430,1968,33.341
estimates,430,1969,35.011
estimates,430,1970,36.772
estimates,430,1971,38.582
estimates,430,1972,40.506
estimates,430,1973,42.609
estimates,430,1974,44.88
estimates,430,1975,46.67
estimates,430,1976,47.736
estimates,430,1977,49.465
estimates,430,1978,53.166
estimates,430,1979,58.49
estimates,430,1980,65.231
estimates,430,1981,71.732
estimates,430,1982,72.769
estimates,430,1983,63.74
estimates,430,1984,44.943
estimates,430,1985,21.431
estimates,430,1986,-0.768
estimates,430,1987,-18.403
estimates,430,1988,-29.776
estimates,430,1989,-33.933
estimates,430,1990,-35.642
estimates,430,1991,-37.256
estimates,430,1992,-29.955
estimates,430,1993,-4.901
estimates,430,1994,36.402
estimates,430,1995,88.559
estimates,430,1996,141.767
estimates,430,1997,179.59
estimates,430,1998,188.322
estimates,430,1999,167.321
estimates,430,2000,128.825
estimates,430,2001,89.442
estimates,430,2002,62.648
estimates,430,2003,56.747
estimates,430,2004,72.363
estimates,430,2005,99.497
estimates,430,2006,125.664
estimates,430,2007,143.475
estimates,430,2008,149.345
estimates,430,2009,142.703
estimates,430,2010,129.456
estimates,430,2011,116.807
estimates,430,2012,108.114
estimates,430,2013,104.597
estimates,430,2014,106.646
estimates,430,2015,111.519
medium_variant,430,2015,111.519
medium_variant,430,2016,116.127
medium_variant,430,2017,119.834
medium_variant,430,2018,122.9
medium_variant,430,2019,125.166
medium_variant,430,2020,127.178
medium_variant,430,2021,129.499
medium_variant,430,2022,132.042
medium_variant,430,2023,134.533
medium_variant,430,2024,136.955
medium_variant,430,2025,139.34
medium_variant,430,2026,141.704
medium_variant,430,2027,144.008
medium_variant,430,2028,146.222
medium_variant,430,2029,148.361
medium_variant,430,2030,150.424
medium_variant,430,2031,152.411
medium_variant,430,2032,154.331
medium_variant,430,2033,156.165
medium_variant,430,2034,157.893
medium_variant,430,2035,159.542
medium_variant,430,2036,161.12
medium_variant,430,2037,162.62
medium_variant,430,2038,164.041
medium_variant,430,2039,165.382
medium_variant,430,2040,166.656
medium_variant,430,2041,167.856
medium_variant,430,2042,168.983
medium_variant,430,2043,170.024
medium_variant,430,2044,170.986
medium_variant,430,2045,171.877
medium_variant,430,2046,172.699
medium_variant,430,2047,173.479
medium_variant,430,2048,174.242
medium_variant,430,2049,174.992
medium_variant,430,2050,175.706
medium_variant,430,2051,176.352
medium_variant,430,2052,176.91
medium_variant,430,2053,177.377
medium_variant,430,2054,177.748
medium_variant,430,2055,178.026
medium_variant,430,2056,178.234
medium_variant,430,2057,178.39
medium_variant,430,2058,178.493
medium_variant,430,2059,178.554
medium_variant,430,2060,178.549
medium_variant,430,2061,178.463
medium_variant,430,2062,178.284
medium_variant,430,2063,177.995
medium_variant,430,2064,177.599
medium_variant,430,2065,177.111
medium_variant,430,2066,176.535
medium_variant,430,2067,175.876
medium_variant,430,2068,175.137
medium_variant,430,2069,174.311
medium_variant,430,2070,173.393
medium_variant,430,2071,172.391
medium_variant,430,2072,171.319
medium_variant,430,2073,170.17
medium_variant,430,2074,168.947
medium_variant,430,2075,167.651
medium_variant,430,2076,166.28
medium_variant,430,2077,164.817
medium_variant,430,2078,163.252
medium_variant,430,2079,161.595
medium_variant,430,2080,159.845
medium_variant,430,2081,158.031
medium_variant,430,2082,156.164
medium_variant,430,2083,154.254
medium_variant,430,2084,152.311
medium_variant,430,2085,150.322
medium_variant,430,2086,148.281
medium_variant,430,2087,146.175
medium_variant,430,2088,143.988
medium_variant,430,2089,141.716
medium_variant,430,2090,139.394
medium_variant,430,2091,137.047
medium_variant,430,2092,134.697
medium_variant,430,2093,132.359
medium_variant,430,2094,130.036
medium_variant,430,2095,127.727
medium_variant,430,2096,125.425
medium_variant,430,2097,123.135
medium_variant,430,2098,120.842
medium_variant,430,2099,118.538
