variant,country,year,populationchange
estimates,100,1950,59.268
estimates,100,1951,60.482
estimates,100,1952,62.049
estimates,100,1953,62.951
estimates,100,1954,63.397
estimates,100,1955,63.616
estimates,100,1956,63.821
estimates,100,1957,64.211
estimates,100,1958,64.931
estimates,100,1959,65.996
estimates,100,1960,67.231
estimates,100,1961,68.266
estimates,100,1962,68.612
estimates,100,1963,67.835
estimates,100,1964,65.94
estimates,100,1965,63.313
estimates,100,1966,60.464
estimates,100,1967,57.797
estimates,100,1968,55.561
estimates,100,1969,53.781
estimates,100,1970,52.236
estimates,100,1971,50.57
estimates,100,1972,48.357
estimates,100,1973,45.269
estimates,100,1974,41.349
estimates,100,1975,36.703
estimates,100,1976,31.766
estimates,100,1977,27.742
estimates,100,1978,25.652
estimates,100,1979,25.38
estimates,100,1980,25.941
estimates,100,1981,25.949
estimates,100,1982,24.005
estimates,100,1983,19.096
estimates,100,1984,11.111
estimates,100,1985,1.807
estimates,100,1986,-7.411
estimates,100,1987,-17.962
estimates,100,1988,-31.526
estimates,100,1989,-47.616
estimates,100,1990,-65.312
estimates,100,1991,-82.603
estimates,100,1992,-95.529
estimates,100,1993,-100.791
estimates,100,1994,-98.34
estimates,100,1995,-91.378
estimates,100,1996,-83.71
estimates,100,1997,-77.141
estimates,100,1998,-72.414
estimates,100,1999,-69.886
estimates,100,2000,-68.165
estimates,100,2001,-65.845
estimates,100,2002,-63.328
estimates,100,2003,-61.408
estimates,100,2004,-60.057
estimates,100,2005,-59.152
estimates,100,2006,-58.406
estimates,100,2007,-57.312
estimates,100,2008,-55.456
estimates,100,2009,-52.866
estimates,100,2010,-49.904
estimates,100,2011,-47.1
estimates,100,2012,-45.034
estimates,100,2013,-44.119
estimates,100,2014,-44.374
estimates,100,2015,-45.328
medium_variant,100,2015,-45.328
medium_variant,100,2016,-46.414
medium_variant,100,2017,-47.325
medium_variant,100,2018,-47.917
medium_variant,100,2019,-48.161
medium_variant,100,2020,-48.265
medium_variant,100,2021,-48.473
medium_variant,100,2022,-48.859
medium_variant,100,2023,-49.413
medium_variant,100,2024,-50.135
medium_variant,100,2025,-50.927
medium_variant,100,2026,-51.682
medium_variant,100,2027,-52.388
medium_variant,100,2028,-53.051
medium_variant,100,2029,-53.647
medium_variant,100,2030,-54.189
medium_variant,100,2031,-54.662
medium_variant,100,2032,-54.954
medium_variant,100,2033,-54.958
medium_variant,100,2034,-54.677
medium_variant,100,2035,-54.213
medium_variant,100,2036,-53.673
medium_variant,100,2037,-53.053
medium_variant,100,2038,-52.311
medium_variant,100,2039,-51.471
medium_variant,100,2040,-50.561
medium_variant,100,2041,-49.623
medium_variant,100,2042,-48.734
medium_variant,100,2043,-47.959
medium_variant,100,2044,-47.321
medium_variant,100,2045,-46.762
medium_variant,100,2046,-46.225
medium_variant,100,2047,-45.742
medium_variant,100,2048,-45.347
medium_variant,100,2049,-45.041
medium_variant,100,2050,-44.798
medium_variant,100,2051,-44.585
medium_variant,100,2052,-44.421
medium_variant,100,2053,-44.322
medium_variant,100,2054,-44.274
medium_variant,100,2055,-44.25
medium_variant,100,2056,-44.222
medium_variant,100,2057,-44.181
medium_variant,100,2058,-44.122
medium_variant,100,2059,-44.022
medium_variant,100,2060,-43.888
medium_variant,100,2061,-43.708
medium_variant,100,2062,-43.435
medium_variant,100,2063,-43.022
medium_variant,100,2064,-42.459
medium_variant,100,2065,-41.789
medium_variant,100,2066,-41.061
medium_variant,100,2067,-40.253
medium_variant,100,2068,-39.325
medium_variant,100,2069,-38.284
medium_variant,100,2070,-37.168
medium_variant,100,2071,-36.01
medium_variant,100,2072,-34.828
medium_variant,100,2073,-33.635
medium_variant,100,2074,-32.441
medium_variant,100,2075,-31.245
medium_variant,100,2076,-30.051
medium_variant,100,2077,-28.873
medium_variant,100,2078,-27.724
medium_variant,100,2079,-26.625
medium_variant,100,2080,-25.562
medium_variant,100,2081,-24.542
medium_variant,100,2082,-23.592
medium_variant,100,2083,-22.71
medium_variant,100,2084,-21.915
medium_variant,100,2085,-21.199
medium_variant,100,2086,-20.549
medium_variant,100,2087,-19.988
medium_variant,100,2088,-19.56
medium_variant,100,2089,-19.265
medium_variant,100,2090,-19.065
medium_variant,100,2091,-18.93
medium_variant,100,2092,-18.836
medium_variant,100,2093,-18.767
medium_variant,100,2094,-18.725
medium_variant,100,2095,-18.712
medium_variant,100,2096,-18.739
medium_variant,100,2097,-18.819
medium_variant,100,2098,-18.964
medium_variant,100,2099,-19.189
