variant,country,year,populationchange
estimates,776,1950,2.05
estimates,776,1951,1.978
estimates,776,1952,1.736
estimates,776,1953,1.492
estimates,776,1954,1.271
estimates,776,1955,1.109
estimates,776,1956,1.032
estimates,776,1957,1.071
estimates,776,1958,1.242
estimates,776,1959,1.544
estimates,776,1960,1.933
estimates,776,1961,2.326
estimates,776,1962,2.628
estimates,776,1963,2.749
estimates,776,1964,2.68
estimates,776,1965,2.513
estimates,776,1966,2.346
estimates,776,1967,2.161
estimates,776,1968,1.914
estimates,776,1969,1.638
estimates,776,1970,1.322
estimates,776,1971,0.99
estimates,776,1972,0.735
estimates,776,1973,0.631
estimates,776,1974,0.68
estimates,776,1975,0.822
estimates,776,1976,0.973
estimates,776,1977,1.055
estimates,776,1978,1.003
estimates,776,1979,0.822
estimates,776,1980,0.577
estimates,776,1981,0.337
estimates,776,1982,0.161
estimates,776,1983,0.081
estimates,776,1984,0.089
estimates,776,1985,0.151
estimates,776,1986,0.215
estimates,776,1987,0.261
estimates,776,1988,0.273
estimates,776,1989,0.243
estimates,776,1990,0.202
estimates,776,1991,0.172
estimates,776,1992,0.156
estimates,776,1993,0.168
estimates,776,1994,0.216
estimates,776,1995,0.268
estimates,776,1996,0.324
estimates,776,1997,0.383
estimates,776,1998,0.433
estimates,776,1999,0.473
estimates,776,2000,0.51
estimates,776,2001,0.551
estimates,776,2002,0.589
estimates,776,2003,0.611
estimates,776,2004,0.626
estimates,776,2005,0.641
estimates,776,2006,0.658
estimates,776,2007,0.658
estimates,776,2008,0.624
estimates,776,2009,0.566
estimates,776,2010,0.487
estimates,776,2011,0.407
estimates,776,2012,0.375
estimates,776,2013,0.415
estimates,776,2014,0.518
estimates,776,2015,0.67
medium_variant,776,2015,0.67
medium_variant,776,2016,0.828
medium_variant,776,2017,0.943
medium_variant,776,2018,1.01
medium_variant,776,2019,1.015
medium_variant,776,2020,0.976
medium_variant,776,2021,0.948
medium_variant,776,2022,0.937
medium_variant,776,2023,0.938
medium_variant,776,2024,0.963
medium_variant,776,2025,0.998
medium_variant,776,2026,1.022
medium_variant,776,2027,1.048
medium_variant,776,2028,1.065
medium_variant,776,2029,1.076
medium_variant,776,2030,1.094
medium_variant,776,2031,1.103
medium_variant,776,2032,1.111
medium_variant,776,2033,1.114
medium_variant,776,2034,1.109
medium_variant,776,2035,1.104
medium_variant,776,2036,1.091
medium_variant,776,2037,1.076
medium_variant,776,2038,1.056
medium_variant,776,2039,1.029
medium_variant,776,2040,0.993
medium_variant,776,2041,0.953
medium_variant,776,2042,0.92
medium_variant,776,2043,0.882
medium_variant,776,2044,0.837
medium_variant,776,2045,0.795
medium_variant,776,2046,0.757
medium_variant,776,2047,0.716
medium_variant,776,2048,0.684
medium_variant,776,2049,0.666
medium_variant,776,2050,0.65
medium_variant,776,2051,0.634
medium_variant,776,2052,0.629
medium_variant,776,2053,0.624
medium_variant,776,2054,0.621
medium_variant,776,2055,0.626
medium_variant,776,2056,0.625
medium_variant,776,2057,0.631
medium_variant,776,2058,0.637
medium_variant,776,2059,0.639
medium_variant,776,2060,0.644
medium_variant,776,2061,0.651
medium_variant,776,2062,0.651
medium_variant,776,2063,0.644
medium_variant,776,2064,0.641
medium_variant,776,2065,0.637
medium_variant,776,2066,0.625
medium_variant,776,2067,0.611
medium_variant,776,2068,0.594
medium_variant,776,2069,0.575
medium_variant,776,2070,0.552
medium_variant,776,2071,0.528
medium_variant,776,2072,0.501
medium_variant,776,2073,0.471
medium_variant,776,2074,0.441
medium_variant,776,2075,0.411
medium_variant,776,2076,0.379
medium_variant,776,2077,0.342
medium_variant,776,2078,0.309
medium_variant,776,2079,0.281
medium_variant,776,2080,0.256
medium_variant,776,2081,0.231
medium_variant,776,2082,0.202
medium_variant,776,2083,0.179
medium_variant,776,2084,0.155
medium_variant,776,2085,0.135
medium_variant,776,2086,0.124
medium_variant,776,2087,0.104
medium_variant,776,2088,0.09
medium_variant,776,2089,0.081
medium_variant,776,2090,0.067
medium_variant,776,2091,0.059
medium_variant,776,2092,0.051
medium_variant,776,2093,0.043
medium_variant,776,2094,0.031
medium_variant,776,2095,0.023
medium_variant,776,2096,0.013
medium_variant,776,2097,0.003
medium_variant,776,2098,-0.002
medium_variant,776,2099,-0.016
