variant,country,year,populationchange
estimates,360,1950,1313.824
estimates,360,1951,1382.802
estimates,360,1952,1497.934
estimates,360,1953,1614.378
estimates,360,1954,1730.092
estimates,360,1955,1842.995
estimates,360,1956,1950.978
estimates,360,1957,2052.18
estimates,360,1958,2145.223
estimates,360,1959,2229.897
estimates,360,1960,2307.833
estimates,360,1961,2382.464
estimates,360,1962,2458.415
estimates,360,1963,2539.673
estimates,360,1964,2626.257
estimates,360,1965,2714.318
estimates,360,1966,2798.959
estimates,360,1967,2876.867
estimates,360,1968,2946.178
estimates,360,1969,3006.502
estimates,360,1970,3060.875
estimates,360,1971,3112.306
estimates,360,1972,3160.124
estimates,360,1973,3202.866
estimates,360,1974,3240.942
estimates,360,1975,3272.813
estimates,360,1976,3299.098
estimates,360,1977,3327.632
estimates,360,1978,3365.678
estimates,360,1979,3412.203
estimates,360,1980,3462.597
estimates,360,1981,3507.96
estimates,360,1982,3532.922
estimates,360,1983,3525.028
estimates,360,1984,3484.424
estimates,360,1985,3423.752
estimates,360,1986,3358.841
estimates,360,1987,3299.862
estimates,360,1988,3252.478
estimates,360,1989,3218.213
estimates,360,1990,3191.609
estimates,360,1991,3164.873
estimates,360,1992,3132.034
estimates,360,1993,3089.887
estimates,360,1994,3039.465
estimates,360,1995,2985.076
estimates,360,1996,2934.553
estimates,360,1997,2900.511
estimates,360,1998,2893.089
estimates,360,1999,2912.406
estimates,360,2000,2946.911
estimates,360,2001,2983.764
estimates,360,2002,3019.305
estimates,360,2003,3053.256
estimates,360,2004,3083.733
estimates,360,2005,3111.756
estimates,360,2006,3138.192
estimates,360,2007,3160.545
estimates,360,2008,3175.703
estimates,360,2009,3182.486
estimates,360,2010,3183.586
estimates,360,2011,3179.646
estimates,360,2012,3162.525
estimates,360,2013,3124.158
estimates,360,2014,3065.184
estimates,360,2015,2992.445
medium_variant,360,2015,2992.445
medium_variant,360,2016,2914.894
medium_variant,360,2017,2839.998
medium_variant,360,2018,2772.75
medium_variant,360,2019,2714.176
medium_variant,360,2020,2659.019
medium_variant,360,2021,2601.312
medium_variant,360,2022,2539.996
medium_variant,360,2023,2475.824
medium_variant,360,2024,2408.771
medium_variant,360,2025,2339.876
medium_variant,360,2026,2270.514
medium_variant,360,2027,2201.775
medium_variant,360,2028,2134.301
medium_variant,360,2029,2068.115
medium_variant,360,2030,2002.491
medium_variant,360,2031,1936.399
medium_variant,360,2032,1868.931
medium_variant,360,2033,1799.527
medium_variant,360,2034,1728.192
medium_variant,360,2035,1655.685
medium_variant,360,2036,1582.952
medium_variant,360,2037,1510.56
medium_variant,360,2038,1438.82
medium_variant,360,2039,1367.818
medium_variant,360,2040,1297.387
medium_variant,360,2041,1227.134
medium_variant,360,2042,1156.333
medium_variant,360,2043,1084.429
medium_variant,360,2044,1011.576
medium_variant,360,2045,938.602
medium_variant,360,2046,866.532
medium_variant,360,2047,796.143
medium_variant,360,2048,727.966
medium_variant,360,2049,662.208
medium_variant,360,2050,598.42
medium_variant,360,2051,536.154
medium_variant,360,2052,475.638
medium_variant,360,2053,417.25
medium_variant,360,2054,361.063
medium_variant,360,2055,306.955
medium_variant,360,2056,254.841
medium_variant,360,2057,204.946
medium_variant,360,2058,157.497
medium_variant,360,2059,112.501
medium_variant,360,2060,69.582
medium_variant,360,2061,28.481
medium_variant,360,2062,-10.319
medium_variant,360,2063,-46.321
medium_variant,360,2064,-79.68
medium_variant,360,2065,-110.936
medium_variant,360,2066,-140.815
medium_variant,360,2067,-169.992
medium_variant,360,2068,-198.975
medium_variant,360,2069,-227.929
medium_variant,360,2070,-256.413
medium_variant,360,2071,-283.995
medium_variant,360,2072,-310.874
medium_variant,360,2073,-337.372
medium_variant,360,2074,-363.516
medium_variant,360,2075,-389.176
medium_variant,360,2076,-414.232
medium_variant,360,2077,-438.761
medium_variant,360,2078,-462.857
medium_variant,360,2079,-486.504
medium_variant,360,2080,-509.639
medium_variant,360,2081,-532.162
medium_variant,360,2082,-553.985
medium_variant,360,2083,-575.047
medium_variant,360,2084,-595.321
medium_variant,360,2085,-614.783
medium_variant,360,2086,-633.477
medium_variant,360,2087,-651.624
medium_variant,360,2088,-669.412
medium_variant,360,2089,-686.784
medium_variant,360,2090,-703.475
medium_variant,360,2091,-719.185
medium_variant,360,2092,-733.665
medium_variant,360,2093,-746.774
medium_variant,360,2094,-758.486
medium_variant,360,2095,-768.811
medium_variant,360,2096,-777.788
medium_variant,360,2097,-785.488
medium_variant,360,2098,-791.971
medium_variant,360,2099,-797.281
