country,year,variant,freq,agebroad,totaldeaths
8,1950,estimates,5yearly,0_4,49.686
8,1950,estimates,5yearly,5_9,2.423
8,1950,estimates,5yearly,10_14,1.213
8,1950,estimates,5yearly,15_19,1.32
8,1950,estimates,5yearly,20_24,1.768
8,1950,estimates,5yearly,25_29,1.745
8,1950,estimates,5yearly,30_34,1.64
8,1950,estimates,5yearly,35_39,1.689
8,1950,estimates,5yearly,40_44,1.794
8,1950,estimates,5yearly,45_49,1.863
8,1950,estimates,5yearly,50_54,2.139
8,1950,estimates,5yearly,55_59,2.512
8,1950,estimates,5yearly,60_64,3.327
8,1950,estimates,5yearly,65_69,4.775
8,1950,estimates,5yearly,70_74,5.586
8,1950,estimates,5yearly,75_79,5.565
8,1950,estimates,5yearly,80_84,4.984
8,1950,estimates,5yearly,85_89,5.199
8,1950,estimates,5yearly,90_94,4.708
8,1950,estimates,5yearly,95plus,3.812
8,1950,estimates,5yearly,0_14,53.322
8,1950,estimates,5yearly,0_19,54.642
8,1950,estimates,5yearly,0_24,56.41
8,1950,estimates,5yearly,5_14,3.636
8,1950,estimates,5yearly,15plus,54.426
8,1950,estimates,5yearly,15_24,3.088
8,1950,estimates,5yearly,15_49,11.819
8,1950,estimates,5yearly,15_59,16.47
8,1950,estimates,5yearly,15_64,19.797
8,1950,estimates,5yearly,20plus,53.106
8,1950,estimates,5yearly,20_64,18.477
8,1950,estimates,5yearly,20_69,23.252
8,1950,estimates,5yearly,25plus,51.338
8,1950,estimates,5yearly,25_69,21.484
8,1950,estimates,5yearly,40plus,46.264
8,1950,estimates,5yearly,50plus,42.607
8,1950,estimates,5yearly,60plus,37.956
8,1950,estimates,5yearly,65plus,34.629
8,1950,estimates,5yearly,70plus,29.854
8,1950,estimates,5yearly,80plus,18.703
8,1950,estimates,5yearly,90plus,8.52
8,1955,estimates,5yearly,0_4,50.747
8,1955,estimates,5yearly,5_9,2.178
8,1955,estimates,5yearly,10_14,0.935
8,1955,estimates,5yearly,15_19,1.132
8,1955,estimates,5yearly,20_24,1.577
8,1955,estimates,5yearly,25_29,1.578
8,1955,estimates,5yearly,30_34,1.463
8,1955,estimates,5yearly,35_39,1.397
8,1955,estimates,5yearly,40_44,1.52
8,1955,estimates,5yearly,45_49,1.739
8,1955,estimates,5yearly,50_54,1.941
8,1955,estimates,5yearly,55_59,2.408
8,1955,estimates,5yearly,60_64,3.069
8,1955,estimates,5yearly,65_69,4.175
8,1955,estimates,5yearly,70_74,5.655
8,1955,estimates,5yearly,75_79,5.896
8,1955,estimates,5yearly,80_84,4.935
8,1955,estimates,5yearly,85_89,3.392
8,1955,estimates,5yearly,90_94,2.385
8,1955,estimates,5yearly,95plus,1.791
8,1955,estimates,5yearly,0_14,53.86
8,1955,estimates,5yearly,0_19,54.992
8,1955,estimates,5yearly,0_24,56.569
8,1955,estimates,5yearly,5_14,3.113
8,1955,estimates,5yearly,15plus,46.053
8,1955,estimates,5yearly,15_24,2.709
8,1955,estimates,5yearly,15_49,10.406
8,1955,estimates,5yearly,15_59,14.755
8,1955,estimates,5yearly,15_64,17.824
8,1955,estimates,5yearly,20plus,44.921
8,1955,estimates,5yearly,20_64,16.692
8,1955,estimates,5yearly,20_69,20.867
8,1955,estimates,5yearly,25plus,43.344
8,1955,estimates,5yearly,25_69,19.29
8,1955,estimates,5yearly,40plus,38.906
8,1955,estimates,5yearly,50plus,35.647
8,1955,estimates,5yearly,60plus,31.298
8,1955,estimates,5yearly,65plus,28.229
8,1955,estimates,5yearly,70plus,24.054
8,1955,estimates,5yearly,80plus,12.503
