country,year,variant,freq,agebroad,totaldeaths
266,1950,estimates,5yearly,0_4,21.996
266,1950,estimates,5yearly,5_9,2.519
266,1950,estimates,5yearly,10_14,1.493
266,1950,estimates,5yearly,15_19,1.418
266,1950,estimates,5yearly,20_24,1.737
266,1950,estimates,5yearly,25_29,1.886
266,1950,estimates,5yearly,30_34,1.97
266,1950,estimates,5yearly,35_39,2.107
266,1950,estimates,5yearly,40_44,2.243
266,1950,estimates,5yearly,45_49,2.388
266,1950,estimates,5yearly,50_54,2.664
266,1950,estimates,5yearly,55_59,3.132
266,1950,estimates,5yearly,60_64,3.736
266,1950,estimates,5yearly,65_69,4.348
266,1950,estimates,5yearly,70_74,4.591
266,1950,estimates,5yearly,75_79,3.994
266,1950,estimates,5yearly,80_84,2.607
266,1950,estimates,5yearly,85_89,1.116
266,1950,estimates,5yearly,90_94,0.286
266,1950,estimates,5yearly,95plus,0.042
266,1950,estimates,5yearly,0_14,26.008
266,1950,estimates,5yearly,0_19,27.426
266,1950,estimates,5yearly,0_24,29.163
266,1950,estimates,5yearly,5_14,4.012
266,1950,estimates,5yearly,15plus,40.265
266,1950,estimates,5yearly,15_24,3.155
266,1950,estimates,5yearly,15_49,13.749
266,1950,estimates,5yearly,15_59,19.545
266,1950,estimates,5yearly,15_64,23.281
266,1950,estimates,5yearly,20plus,38.847
266,1950,estimates,5yearly,20_64,21.863
266,1950,estimates,5yearly,20_69,26.211
266,1950,estimates,5yearly,25plus,37.11
266,1950,estimates,5yearly,25_69,24.474
266,1950,estimates,5yearly,40plus,31.147
266,1950,estimates,5yearly,50plus,26.516
266,1950,estimates,5yearly,60plus,20.72
266,1950,estimates,5yearly,65plus,16.984
266,1950,estimates,5yearly,70plus,12.636
266,1950,estimates,5yearly,80plus,4.051
266,1950,estimates,5yearly,90plus,0.328
266,1955,estimates,5yearly,0_4,21.692
266,1955,estimates,5yearly,5_9,2.474
266,1955,estimates,5yearly,10_14,1.445
266,1955,estimates,5yearly,15_19,1.329
266,1955,estimates,5yearly,20_24,1.641
266,1955,estimates,5yearly,25_29,1.788
266,1955,estimates,5yearly,30_34,1.866
266,1955,estimates,5yearly,35_39,1.991
266,1955,estimates,5yearly,40_44,2.115
266,1955,estimates,5yearly,45_49,2.254
266,1955,estimates,5yearly,50_54,2.519
266,1955,estimates,5yearly,55_59,2.964
