global,year,variant,gender,freq,agebroad,percentagetotaldeaths
900,1960,estimates,male,5yearly,15plus,54.6046939880157
900,1960,estimates,female,5yearly,15_24,3.79171502338169
900,1960,estimates,male,5yearly,15_24,4.11424658558546
900,1960,estimates,female,5yearly,15_49,16.3425484580476
900,1960,estimates,male,5yearly,15_49,17.3535946159494
900,1960,estimates,female,5yearly,15_59,23.6953727229587
900,1960,estimates,male,5yearly,15_59,26.9138526357425
900,1960,estimates,female,5yearly,15_64,28.6992232506157
900,1960,estimates,male,5yearly,15_64,32.8345046315733
900,1960,estimates,female,5yearly,20plus,53.0622905713467
900,1960,estimates,male,5yearly,20plus,52.6477161589387
900,1960,estimates,female,5yearly,20_64,26.8979761100924
900,1960,estimates,male,5yearly,20_64,30.8775268024963
900,1960,estimates,female,5yearly,20_69,32.6759385126272
900,1960,estimates,male,5yearly,20_69,36.990330776655
900,1960,estimates,female,5yearly,25plus,51.0718226884882
900,1960,estimates,male,5yearly,25plus,50.4904474024303
900,1960,estimates,female,5yearly,25_69,30.6854706297688
900,1960,estimates,male,5yearly,25_69,34.8330620201466
900,1960,estimates,female,5yearly,40plus,43.9967503994353
900,1960,estimates,male,5yearly,40plus,43.5483055745335
900,1960,estimates,female,5yearly,50plus,38.5209892538223
900,1960,estimates,male,5yearly,50plus,37.2510993720663
900,1960,estimates,female,5yearly,60plus,31.1681649889113
900,1960,estimates,male,5yearly,60plus,27.6908413522732
900,1960,estimates,female,5yearly,65plus,26.1643144612542
900,1960,estimates,male,5yearly,65plus,21.7701893564424
900,1960,estimates,female,5yearly,70plus,20.3863520587194
900,1960,estimates,male,5yearly,70plus,15.6573853822837
900,1960,estimates,female,5yearly,80plus,8.13932648985267
900,1960,estimates,male,5yearly,80plus,5.09628963936857
900,1960,estimates,female,5yearly,90plus,1.15157213111586
900,1960,estimates,male,5yearly,90plus,0.546444443862341
900,1965,estimates,female,5yearly,0_4,38.1499282903268
900,1965,estimates,male,5yearly,0_4,39.8536700505858
900,1965,estimates,female,5yearly,0_14,43.1219222088294
900,1965,estimates,male,5yearly,0_14,44.5657350233603
900,1965,estimates,female,5yearly,0_19,44.8484479537401
900,1965,estimates,male,5yearly,0_19,46.3919705990447
900,1965,estimates,female,5yearly,0_24,46.6852932037094
