continent,year,variant,age1yearinterval,population
903,1950,estimates,0,8824.75
903,1950,estimates,1,8207.995
903,1950,estimates,2,7669.285
903,1950,estimates,3,7202.314
903,1950,estimates,4,6800.786
903,1950,estimates,5,6458.412
903,1950,estimates,6,6168.883
903,1950,estimates,7,5925.911
903,1950,estimates,8,5723.181
903,1950,estimates,9,5554.413
903,1950,estimates,10,5417.606
903,1950,estimates,11,5310.799
903,1950,estimates,12,5206.088
903,1950,estimates,13,5088.55
903,1950,estimates,14,4964.828
903,1950,estimates,15,4856.629
903,1950,estimates,16,4759.747
903,1950,estimates,17,4657.432
903,1950,estimates,18,4543.531
903,1950,estimates,19,4422.325
903,1950,estimates,20,4305.119
903,1950,estimates,21,4190.679
903,1950,estimates,22,4073.298
903,1950,estimates,23,3951.599
903,1950,estimates,24,3827.925
903,1950,estimates,25,3705.648
903,1950,estimates,26,3583.666
903,1950,estimates,27,3468.133
903,1950,estimates,28,3362.309
903,1950,estimates,29,3263.425
903,1950,estimates,30,3165.866
903,1950,estimates,31,3071.238
903,1950,estimates,32,2976.597
903,1950,estimates,33,2880.06
903,1950,estimates,34,2783.554
903,1950,estimates,35,2690.132
903,1950,estimates,36,2598.248
903,1950,estimates,37,2513.457
903,1950,estimates,38,2438.514
903,1950,estimates,39,2370.294
903,1950,estimates,40,2303.313
903,1950,estimates,41,2239.142
903,1950,estimates,42,2172.341
903,1950,estimates,43,2099.794
903,1950,estimates,44,2024.255
903,1950,estimates,45,1951.093
903,1950,estimates,46,1878.673
903,1950,estimates,47,1810.591
903,1950,estimates,48,1748.994
903,1950,estimates,49,1691.671
903,1950,estimates,50,1634.529
903,1950,estimates,51,1578.711
903,1950,estimates,52,1520.89
903,1950,estimates,53,1459.08
903,1950,estimates,54,1395.073
903,1950,estimates,55,1332.504
903,1950,estimates,56,1270.536
903,1950,estimates,57,1210.549
903,1950,estimates,58,1153.553
903,1950,estimates,59,1098.723
903,1950,estimates,60,1044.227
903,1950,estimates,61,990.47
903,1950,estimates,62,937.123
903,1950,estimates,63,883.852
903,1950,estimates,64,830.935
903,1950,estimates,65,779.035
903,1950,estimates,66,728.107
903,1950,estimates,67,677.809
903,1950,estimates,68,628.063
903,1950,estimates,69,579.059
903,1950,estimates,70,531.415
903,1950,estimates,71,485.469
903,1950,estimates,72,439.724
903,1950,estimates,73,393.646
903,1950,estimates,74,348.224
903,1950,estimates,75,304.87
903,1950,estimates,76,263.136
