variant,region,year,populationchange
estimates,954,1950,3.025
estimates,954,1951,3.064
estimates,954,1952,3.091
estimates,954,1953,3.168
estimates,954,1954,3.288
estimates,954,1955,3.462
estimates,954,1956,3.678
estimates,954,1957,3.915
estimates,954,1958,4.194
estimates,954,1959,4.482
estimates,954,1960,4.777
estimates,954,1961,5.076
estimates,954,1962,5.348
estimates,954,1963,5.591
estimates,954,1964,5.762
estimates,954,1965,5.898
estimates,954,1966,6.059
estimates,954,1967,6.124
estimates,954,1968,5.985
estimates,954,1969,5.661
estimates,954,1970,5.249
estimates,954,1971,4.852
estimates,954,1972,4.594
estimates,954,1973,4.553
estimates,954,1974,4.752
estimates,954,1975,5.087
estimates,954,1976,5.432
estimates,954,1977,5.889
estimates,954,1978,6.562
estimates,954,1979,7.425
estimates,954,1980,8.421
estimates,954,1981,9.412
estimates,954,1982,10.272
estimates,954,1983,10.875
estimates,954,1984,11.222
estimates,954,1985,11.418
estimates,954,1986,11.537
estimates,954,1987,11.597
estimates,954,1988,11.591
estimates,954,1989,11.537
estimates,954,1990,11.401
estimates,954,1991,11.156
estimates,954,1992,10.793
estimates,954,1993,10.273
estimates,954,1994,9.594
estimates,954,1995,8.828
estimates,954,1996,8.017
estimates,954,1997,7.123
estimates,954,1998,6.053
estimates,954,1999,4.802
estimates,954,2000,3.484
estimates,954,2001,2.223
estimates,954,2002,1.16
estimates,954,2003,0.405
estimates,954,2004,-0.014
estimates,954,2005,-0.222
estimates,954,2006,-0.365
estimates,954,2007,-0.332
estimates,954,2008,0.014
estimates,954,2009,0.639
estimates,954,2010,1.448
estimates,954,2011,2.324
estimates,954,2012,3.106
estimates,954,2013,3.631
estimates,954,2014,3.922
estimates,954,2015,4.098
medium_variant,954,2015,4.098
medium_variant,954,2016,4.267
medium_variant,954,2017,4.414
medium_variant,954,2018,4.524
medium_variant,954,2019,4.605
medium_variant,954,2020,4.627
medium_variant,954,2021,4.625
medium_variant,954,2022,4.631
medium_variant,954,2023,4.659
medium_variant,954,2024,4.718
medium_variant,954,2025,4.789
medium_variant,954,2026,4.848
medium_variant,954,2027,4.868
medium_variant,954,2028,4.833
medium_variant,954,2029,4.756
medium_variant,954,2030,4.649
medium_variant,954,2031,4.533
medium_variant,954,2032,4.411
medium_variant,954,2033,4.288
medium_variant,954,2034,4.173
medium_variant,954,2035,4.048
medium_variant,954,2036,3.915
medium_variant,954,2037,3.789
medium_variant,954,2038,3.661
medium_variant,954,2039,3.533
medium_variant,954,2040,3.398
medium_variant,954,2041,3.255
medium_variant,954,2042,3.115
medium_variant,954,2043,2.992
medium_variant,954,2044,2.847
medium_variant,954,2045,2.692
medium_variant,954,2046,2.558
medium_variant,954,2047,2.431
medium_variant,954,2048,2.32
medium_variant,954,2049,2.231
medium_variant,954,2050,2.147
medium_variant,954,2051,2.068
medium_variant,954,2052,2.004
medium_variant,954,2053,1.933
medium_variant,954,2054,1.879
medium_variant,954,2055,1.826
medium_variant,954,2056,1.759
medium_variant,954,2057,1.721
medium_variant,954,2058,1.68
medium_variant,954,2059,1.612
medium_variant,954,2060,1.575
medium_variant,954,2061,1.535
medium_variant,954,2062,1.47
medium_variant,954,2063,1.42
medium_variant,954,2064,1.38
medium_variant,954,2065,1.327
medium_variant,954,2066,1.261
medium_variant,954,2067,1.202
medium_variant,954,2068,1.127
medium_variant,954,2069,1.046
medium_variant,954,2070,0.975
medium_variant,954,2071,0.883
medium_variant,954,2072,0.788
medium_variant,954,2073,0.703
medium_variant,954,2074,0.61
medium_variant,954,2075,0.513
medium_variant,954,2076,0.418
medium_variant,954,2077,0.307
medium_variant,954,2078,0.199
medium_variant,954,2079,0.103
medium_variant,954,2080,0.001
medium_variant,954,2081,-0.12
medium_variant,954,2082,-0.22
medium_variant,954,2083,-0.309
medium_variant,954,2084,-0.428
medium_variant,954,2085,-0.529
medium_variant,954,2086,-0.625
medium_variant,954,2087,-0.716
medium_variant,954,2088,-0.798
medium_variant,954,2089,-0.864
medium_variant,954,2090,-0.926
medium_variant,954,2091,-0.995
medium_variant,954,2092,-1.046
medium_variant,954,2093,-1.096
medium_variant,954,2094,-1.14
medium_variant,954,2095,-1.175
medium_variant,954,2096,-1.202
medium_variant,954,2097,-1.227
medium_variant,954,2098,-1.23
medium_variant,954,2099,-1.225
