variant,region,year,populationchange
estimates,926,1950,744.87
estimates,926,1951,801.952
estimates,926,1952,890.186
estimates,926,1953,941.073
estimates,926,1954,969.514
estimates,926,1955,990.917
estimates,926,1956,1020.678
estimates,926,1957,1072.304
estimates,926,1958,1155.684
estimates,926,1959,1271.51
estimates,926,1960,1406.194
estimates,926,1961,1532.352
estimates,926,1962,1613.402
estimates,926,1963,1617.724
estimates,926,1964,1544.42
estimates,926,1965,1424.233
estimates,926,1966,1294.695
estimates,926,1967,1175.999
estimates,926,1968,1077.588
estimates,926,1969,1002.442
estimates,926,1970,939.866
estimates,926,1971,874.025
estimates,926,1972,791.691
estimates,926,1973,685.337
estimates,926,1974,557.338
estimates,926,1975,420.552
estimates,926,1976,293.056
estimates,926,1977,193.967
estimates,926,1978,137.364
estimates,926,1979,125.415
estimates,926,1980,138.872
estimates,926,1981,160.822
estimates,926,1982,202.219
estimates,926,1983,277.827
estimates,926,1984,383.918
estimates,926,1985,507.271
estimates,926,1986,631.549
estimates,926,1987,743.312
estimates,926,1988,832.898
estimates,926,1989,896.002
estimates,926,1990,948.019
estimates,926,1991,997.036
estimates,926,1992,1013.604
estimates,926,1993,967.254
estimates,926,1994,861.523
estimates,926,1995,717.381
estimates,926,1996,567.79
estimates,926,1997,455.105
estimates,926,1998,411.828
estimates,926,1999,439.56
estimates,926,2000,508.451
estimates,926,2001,579.306
estimates,926,2002,623.978
estimates,926,2003,626.252
estimates,926,2004,585.41
estimates,926,2005,520.49
estimates,926,2006,459.017
estimates,926,2007,427.636
estimates,926,2008,444.24
estimates,926,2009,508.246
estimates,926,2010,597.676
estimates,926,2011,684.227
estimates,926,2012,747.264
estimates,926,2013,774.276
estimates,926,2014,763.058
estimates,926,2015,731.844
medium_variant,926,2015,731.844
medium_variant,926,2016,699.164
medium_variant,926,2017,663.073
medium_variant,926,2018,616.753
medium_variant,926,2019,562.309
medium_variant,926,2020,500.952
medium_variant,926,2021,436.743
medium_variant,926,2022,381.312
medium_variant,926,2023,345.132
medium_variant,926,2024,328.768
medium_variant,926,2025,323.337
medium_variant,926,2026,318.422
medium_variant,926,2027,309.92
medium_variant,926,2028,296.702
medium_variant,926,2029,278.005
medium_variant,926,2030,256.989
medium_variant,926,2031,237.052
medium_variant,926,2032,217.731
medium_variant,926,2033,197.554
medium_variant,926,2034,176.555
medium_variant,926,2035,155.087
medium_variant,926,2036,133.424
medium_variant,926,2037,111.284
medium_variant,926,2038,88.406
medium_variant,926,2039,64.921
medium_variant,926,2040,41.208
medium_variant,926,2041,17.782
medium_variant,926,2042,-4.901
medium_variant,926,2043,-26.479
medium_variant,926,2044,-46.815
medium_variant,926,2045,-65.985
medium_variant,926,2046,-84.175
medium_variant,926,2047,-101.514
medium_variant,926,2048,-118.038
medium_variant,926,2049,-133.624
medium_variant,926,2050,-148.011
medium_variant,926,2051,-160.77
medium_variant,926,2052,-171.315
medium_variant,926,2053,-179.24
medium_variant,926,2054,-184.4
medium_variant,926,2055,-187.449
medium_variant,926,2056,-188.902
medium_variant,926,2057,-187.887
medium_variant,926,2058,-183.489
medium_variant,926,2059,-175.877
medium_variant,926,2060,-166.182
medium_variant,926,2061,-155.589
medium_variant,926,2062,-144.344
medium_variant,926,2063,-132.473
medium_variant,926,2064,-120.323
medium_variant,926,2065,-107.966
medium_variant,926,2066,-95.761
medium_variant,926,2067,-85.008
medium_variant,926,2068,-76.949
medium_variant,926,2069,-71.759
medium_variant,926,2070,-68.288
medium_variant,926,2071,-65.531
medium_variant,926,2072,-64.104
medium_variant,926,2073,-64.863
medium_variant,926,2074,-67.653
medium_variant,926,2075,-71.681
medium_variant,926,2076,-76.078
medium_variant,926,2077,-80.399
medium_variant,926,2078,-84.337
medium_variant,926,2079,-87.661
medium_variant,926,2080,-90.73
medium_variant,926,2081,-93.605
medium_variant,926,2082,-95.085
medium_variant,926,2083,-93.927
medium_variant,926,2084,-90.137
medium_variant,926,2085,-84.859
medium_variant,926,2086,-79.345
medium_variant,926,2087,-73.876
medium_variant,926,2088,-68.446
medium_variant,926,2089,-63.265
medium_variant,926,2090,-58.449
medium_variant,926,2091,-54.016
medium_variant,926,2092,-50.079
medium_variant,926,2093,-46.821
medium_variant,926,2094,-44.439
medium_variant,926,2095,-43.199
medium_variant,926,2096,-43.367
medium_variant,926,2097,-45.254
medium_variant,926,2098,-49.14
medium_variant,926,2099,-55.294
