variant,region,year,populationchange
estimates,1503,1950,7690.331
estimates,1503,1951,7980.192
estimates,1503,1952,8404.064
estimates,1503,1953,8700.956
estimates,1503,1954,8900.09
estimates,1503,1955,9031.321
estimates,1503,1956,9124.34
estimates,1503,1957,9206.299
estimates,1503,1958,9298.784
estimates,1503,1959,9409.746
estimates,1503,1960,9525.718
estimates,1503,1961,9612.539
estimates,1503,1962,9622.327
estimates,1503,1963,9514.583
estimates,1503,1964,9294.86
estimates,1503,1965,9000.247
estimates,1503,1966,8690.003
estimates,1503,1967,8441.996
estimates,1503,1968,8315.873
estimates,1503,1969,8313.723
estimates,1503,1970,8380.889
estimates,1503,1971,8443.564
estimates,1503,1972,8443.233
estimates,1503,1973,8343.822
estimates,1503,1974,8143.744
estimates,1503,1975,7891.951
estimates,1503,1976,7647.553
estimates,1503,1977,7441.464
estimates,1503,1978,7287.738
estimates,1503,1979,7190.988
estimates,1503,1980,7125.534
estimates,1503,1981,7065.226
estimates,1503,1982,7014.453
estimates,1503,1983,6984.86
estimates,1503,1984,6974.735
estimates,1503,1985,6978.216
estimates,1503,1986,6989.271
estimates,1503,1987,7006.026
estimates,1503,1988,7027.486
estimates,1503,1989,7051.05
estimates,1503,1990,7081.777
estimates,1503,1991,7118.421
estimates,1503,1992,7137.184
estimates,1503,1993,7115.556
estimates,1503,1994,7055.549
estimates,1503,1995,6978.566
estimates,1503,1996,6911.502
estimates,1503,1997,6873.485
estimates,1503,1998,6876.645
estimates,1503,1999,6924.684
estimates,1503,2000,6978.815
estimates,1503,2001,7019.456
estimates,1503,2002,7115.818
estimates,1503,2003,7337.6
estimates,1503,2004,7669.942
estimates,1503,2005,8074.641
estimates,1503,2006,8466.266
estimates,1503,2007,8675.262
estimates,1503,2008,8560.405
estimates,1503,2009,8123.894
estimates,1503,2010,7497.243
estimates,1503,2011,6852.315
estimates,1503,2012,6319.002
estimates,1503,2013,5977.17
estimates,1503,2014,5838.565
estimates,1503,2015,5805.267
medium_variant,1503,2015,5805.267
medium_variant,1503,2016,5761.638
medium_variant,1503,2017,5665.993
medium_variant,1503,2018,5510.982
medium_variant,1503,2019,5292.485
medium_variant,1503,2020,5043.251
medium_variant,1503,2021,4804.337
medium_variant,1503,2022,4596.987
medium_variant,1503,2023,4429.964
medium_variant,1503,2024,4303.582
medium_variant,1503,2025,4199.875
medium_variant,1503,2026,4095.766
medium_variant,1503,2027,3974.857
medium_variant,1503,2028,3827.36
medium_variant,1503,2029,3652.051
medium_variant,1503,2030,3463.149
medium_variant,1503,2031,3276.163
medium_variant,1503,2032,3093.375
medium_variant,1503,2033,2912.835
medium_variant,1503,2034,2736.139
medium_variant,1503,2035,2562.067
medium_variant,1503,2036,2389.976
medium_variant,1503,2037,2223.258
medium_variant,1503,2038,2065.621
medium_variant,1503,2039,1917.692
medium_variant,1503,2040,1776.7
medium_variant,1503,2041,1640.579
medium_variant,1503,2042,1512.317
medium_variant,1503,2043,1395.44
medium_variant,1503,2044,1289.444
medium_variant,1503,2045,1192.153
medium_variant,1503,2046,1100.176
medium_variant,1503,2047,1009.432
medium_variant,1503,2048,916.84
medium_variant,1503,2049,822.007
medium_variant,1503,2050,728.325
medium_variant,1503,2051,639.506
medium_variant,1503,2052,556.551
medium_variant,1503,2053,479.465
medium_variant,1503,2054,408.541
medium_variant,1503,2055,342.86
medium_variant,1503,2056,281.552
medium_variant,1503,2057,225.53
medium_variant,1503,2058,175.971
medium_variant,1503,2059,132.721
medium_variant,1503,2060,94.546
medium_variant,1503,2061,60.397
medium_variant,1503,2062,31.094
medium_variant,1503,2063,7.606
medium_variant,1503,2064,-10.505
medium_variant,1503,2065,-24.1
medium_variant,1503,2066,-34.72
medium_variant,1503,2067,-44.823
medium_variant,1503,2068,-56.54
medium_variant,1503,2069,-70.081
medium_variant,1503,2070,-83.945
medium_variant,1503,2071,-96.219
medium_variant,1503,2072,-105.526
medium_variant,1503,2073,-111.148
medium_variant,1503,2074,-113.331
medium_variant,1503,2075,-112.929
medium_variant,1503,2076,-111.439
medium_variant,1503,2077,-110.934
medium_variant,1503,2078,-112.848
medium_variant,1503,2079,-117.226
medium_variant,1503,2080,-122.744
medium_variant,1503,2081,-127.453
medium_variant,1503,2082,-129.323
medium_variant,1503,2083,-126.834
medium_variant,1503,2084,-120.042
medium_variant,1503,2085,-111.174
medium_variant,1503,2086,-102.632
medium_variant,1503,2087,-94.448
medium_variant,1503,2088,-86.032
medium_variant,1503,2089,-78.001
medium_variant,1503,2090,-71.11
medium_variant,1503,2091,-66.072
medium_variant,1503,2092,-63.572
medium_variant,1503,2093,-64.315
medium_variant,1503,2094,-68.714
medium_variant,1503,2095,-77.219
medium_variant,1503,2096,-90.254
medium_variant,1503,2097,-108.155
medium_variant,1503,2098,-131.371
medium_variant,1503,2099,-160.243
