country,year,variant,age5yearinterval,population
312,1950,estimates,"Region, subregion, country or area *",Guadeloupe
312,1950,estimates,0_4,36.0
312,1950,estimates,5_9,25.0
312,1950,estimates,10_14,22.001
312,1950,estimates,15_19,19.001
312,1950,estimates,20_24,17.0
312,1950,estimates,25_29,16.0
312,1950,estimates,30_34,14.0
312,1950,estimates,35_39,14.001
312,1950,estimates,40_44,11.0
312,1950,estimates,45_49,9.001
312,1950,estimates,50_54,6.999
312,1950,estimates,55_59,6.0
312,1950,estimates,60_64,5.001
312,1950,estimates,65_69,3.002
312,1950,estimates,70_74,3.0
312,1950,estimates,75_79,2.0
312,1950,estimates,80plus,0.997
312,1955,estimates,"Region, subregion, country or area *",Guadeloupe
312,1955,estimates,0_4,39.109
312,1955,estimates,5_9,33.769
312,1955,estimates,10_14,23.907
312,1955,estimates,15_19,20.033
312,1955,estimates,20_24,19.0
312,1955,estimates,25_29,17.0
312,1955,estimates,30_34,15.997
312,1955,estimates,35_39,14.002
312,1955,estimates,40_44,11.999
312,1955,estimates,45_49,9.996
312,1955,estimates,50_54,8.005
312,1955,estimates,55_59,7.001
312,1955,estimates,60_64,4.995
312,1955,estimates,65_69,5.002
312,1955,estimates,70_74,3.093
312,1955,estimates,75_79,1.792
312,1955,estimates,80plus,1.364
312,1960,estimates,"Region, subregion, country or area *",Guadeloupe
312,1960,estimates,0_4,45.363
312,1960,estimates,5_9,39.155
312,1960,estimates,10_14,33.685
312,1960,estimates,15_19,23.029
312,1960,estimates,20_24,19.133
312,1960,estimates,25_29,17.1
312,1960,estimates,30_34,17.097
312,1960,estimates,35_39,16.198
312,1960,estimates,40_44,13.998
312,1960,estimates,45_49,11.998
312,1960,estimates,50_54,10.0
312,1960,estimates,55_59,8.003
312,1960,estimates,60_64,5.998
312,1960,estimates,65_69,4.995
312,1960,estimates,70_74,4.993
312,1960,estimates,75_79,2.859
312,1960,estimates,80plus,1.557
312,1965,estimates,"Region, subregion, country or area *",Guadeloupe
312,1965,estimates,0_4,49.299
312,1965,estimates,5_9,44.359
312,1965,estimates,10_14,39.395
312,1965,estimates,15_19,32.508
312,1965,estimates,20_24,23.132
312,1965,estimates,25_29,16.432
312,1965,estimates,30_34,14.499
312,1965,estimates,35_39,14.5
312,1965,estimates,40_44,14.497
312,1965,estimates,45_49,11.6
312,1965,estimates,50_54,10.601
312,1965,estimates,55_59,9.597
312,1965,estimates,60_64,6.802
312,1965,estimates,65_69,4.799
312,1965,estimates,70_74,2.89
312,1965,estimates,75_79,2.875
312,1965,estimates,80plus,2.386
312,1970,estimates,"Region, subregion, country or area *",Guadeloupe
312,1970,estimates,0_4,49.481
312,1970,estimates,5_9,45.631
312,1970,estimates,10_14,41.714
312,1970,estimates,15_19,35.91
312,1970,estimates,20_24,26.913
312,1970,estimates,25_29,17.432
312,1970,estimates,30_34,14.532
312,1970,estimates,35_39,14.502
312,1970,estimates,40_44,14.498
312,1970,estimates,45_49,13.497
312,1970,estimates,50_54,11.601
312,1970,estimates,55_59,10.598
312,1970,estimates,60_64,7.8
312,1970,estimates,65_69,5.802
312,1970,estimates,70_74,3.796
312,1970,estimates,75_79,2.78
312,1970,estimates,80plus,2.847
312,1975,estimates,"Region, subregion, country or area *",Guadeloupe
312,1975,estimates,0_4,44.035
312,1975,estimates,5_9,46.841
312,1975,estimates,10_14,46.003
312,1975,estimates,15_19,37.222
312,1975,estimates,20_24,23.013
312,1975,estimates,25_29,18.517
312,1975,estimates,30_34,15.932
312,1975,estimates,35_39,15.434
312,1975,estimates,40_44,14.7
312,1975,estimates,45_49,13.799
312,1975,estimates,50_54,12.9
312,1975,estimates,55_59,9.997
312,1975,estimates,60_64,9.5
312,1975,estimates,65_69,7.199
312,1975,estimates,70_74,5.098
312,1975,estimates,75_79,3.279
312,1975,estimates,80plus,3.497
312,1980,estimates,"Region, subregion, country or area *",Guadeloupe
312,1980,estimates,0_4,34.68
312,1980,estimates,5_9,36.09
312,1980,estimates,10_14,41.893
312,1980,estimates,15_19,40.192
312,1980,estimates,20_24,29.641
312,1980,estimates,25_29,22.456
312,1980,estimates,30_34,20.373
312,1980,estimates,35_39,17.611
312,1980,estimates,40_44,15.262
312,1980,estimates,45_49,14.194
312,1980,estimates,50_54,12.826
312,1980,estimates,55_59,11.904
312,1980,estimates,60_64,10.165
312,1980,estimates,65_69,8.169
312,1980,estimates,70_74,6.292
312,1980,estimates,75_79,4.312
312,1980,estimates,80plus,4.117
312,1985,estimates,"Region, subregion, country or area *",Guadeloupe
312,1985,estimates,0_4,31.495
312,1985,estimates,5_9,40.272
312,1985,estimates,10_14,37.618
312,1985,estimates,15_19,40.752
312,1985,estimates,20_24,32.549
