variant,continent,year,lifeexpectancyatbirth,gender
estimates,905,1950,65.504,male
estimates,905,1951,65.615,male
estimates,905,1952,65.826,male
estimates,905,1953,66.02,male
estimates,905,1954,66.197,male
estimates,905,1955,66.355,male
estimates,905,1956,66.495,male
estimates,905,1957,66.616,male
estimates,905,1958,66.718,male
estimates,905,1959,66.798,male
estimates,905,1960,66.856,male
estimates,905,1961,66.892,male
estimates,905,1962,66.908,male
estimates,905,1963,66.908,male
estimates,905,1964,66.901,male
estimates,905,1965,66.898,male
estimates,905,1966,66.909,male
estimates,905,1967,66.944,male
estimates,905,1968,67.011,male
estimates,905,1969,67.118,male
estimates,905,1970,67.273,male
estimates,905,1971,67.481,male
estimates,905,1972,67.736,male
estimates,905,1973,68.031,male
estimates,905,1974,68.355,male
estimates,905,1975,68.7,male
estimates,905,1976,69.055,male
estimates,905,1977,69.408,male
estimates,905,1978,69.748,male
estimates,905,1979,70.065,male
estimates,905,1980,70.35,male
estimates,905,1981,70.596,male
estimates,905,1982,70.807,male
estimates,905,1983,70.99,male
estimates,905,1984,71.147,male
estimates,905,1985,71.285,male
estimates,905,1986,71.412,male
estimates,905,1987,71.537,male
estimates,905,1988,71.667,male
estimates,905,1989,71.811,male
estimates,905,1990,71.975,male
estimates,905,1991,72.164,male
estimates,905,1992,72.375,male
estimates,905,1993,72.605,male
estimates,905,1994,72.849,male
estimates,905,1995,73.103,male
estimates,905,1996,73.359,male
estimates,905,1997,73.609,male
estimates,905,1998,73.848,male
estimates,905,1999,74.076,male
estimates,905,2000,74.293,male
estimates,905,2001,74.504,male
estimates,905,2002,74.715,male
estimates,905,2003,74.93,male
estimates,905,2004,75.149,male
estimates,905,2005,75.37,male
estimates,905,2006,75.589,male
estimates,905,2007,75.8,male
estimates,905,2008,76.002,male
estimates,905,2009,76.193,male
estimates,905,2010,76.374,male
estimates,905,2011,76.547,male
estimates,905,2012,76.717,male
estimates,905,2013,76.886,male
estimates,905,2014,77.056,male
estimates,905,2015,77.23,male
medium_variant,905,2015,77.23,male
medium_variant,905,2016,77.407,male
medium_variant,905,2017,77.587,male
medium_variant,905,2018,77.769,male
medium_variant,905,2019,77.952,male
medium_variant,905,2020,78.136,male
medium_variant,905,2021,78.322,male
medium_variant,905,2022,78.506,male
medium_variant,905,2023,78.69,male
medium_variant,905,2024,78.874,male
medium_variant,905,2025,79.055,male
medium_variant,905,2026,79.236,male
medium_variant,905,2027,79.417,male
medium_variant,905,2028,79.597,male
medium_variant,905,2029,79.777,male
medium_variant,905,2030,79.957,male
medium_variant,905,2031,80.138,male
medium_variant,905,2032,80.32,male
medium_variant,905,2033,80.502,male
medium_variant,905,2034,80.685,male
medium_variant,905,2035,80.867,male
medium_variant,905,2036,81.049,male
medium_variant,905,2037,81.23,male
medium_variant,905,2038,81.411,male
medium_variant,905,2039,81.589,male
medium_variant,905,2040,81.766,male
medium_variant,905,2041,81.941,male
medium_variant,905,2042,82.115,male
medium_variant,905,2043,82.288,male
medium_variant,905,2044,82.458,male
medium_variant,905,2045,82.625,male
medium_variant,905,2046,82.788,male
medium_variant,905,2047,82.946,male
medium_variant,905,2048,83.1,male
medium_variant,905,2049,83.249,male
medium_variant,905,2050,83.393,male
medium_variant,905,2051,83.533,male
medium_variant,905,2052,83.67,male
medium_variant,905,2053,83.805,male
medium_variant,905,2054,83.938,male
medium_variant,905,2055,84.068,male
medium_variant,905,2056,84.196,male
medium_variant,905,2057,84.32,male
medium_variant,905,2058,84.44,male
medium_variant,905,2059,84.558,male
medium_variant,905,2060,84.673,male
medium_variant,905,2061,84.788,male
medium_variant,905,2062,84.902,male
medium_variant,905,2063,85.016,male
medium_variant,905,2064,85.13,male
medium_variant,905,2065,85.245,male
medium_variant,905,2066,85.358,male
medium_variant,905,2067,85.47,male
medium_variant,905,2068,85.58,male
medium_variant,905,2069,85.687,male
medium_variant,905,2070,85.793,male
medium_variant,905,2071,85.898,male
medium_variant,905,2072,86.004,male
medium_variant,905,2073,86.109,male
medium_variant,905,2074,86.216,male
medium_variant,905,2075,86.324,male
