variant,continent,year,lifeexpectancyatbirth,gender
estimates,935,1950,40.468,male
estimates,935,1951,40.759,male
estimates,935,1952,41.314,male
estimates,935,1953,41.813,male
estimates,935,1954,42.255,male
estimates,935,1955,42.643,male
estimates,935,1956,42.987,male
estimates,935,1957,43.297,male
estimates,935,1958,43.596,male
estimates,935,1959,43.924,male
estimates,935,1960,44.326,male
estimates,935,1961,44.845,male
estimates,935,1962,45.521,male
estimates,935,1963,46.371,male
estimates,935,1964,47.38,male
estimates,935,1965,48.508,male
estimates,935,1966,49.696,male
estimates,935,1967,50.868,male
estimates,935,1968,51.962,male
estimates,935,1969,52.947,male
estimates,935,1970,53.807,male
estimates,935,1971,54.549,male
estimates,935,1972,55.209,male
estimates,935,1973,55.821,male
estimates,935,1974,56.393,male
estimates,935,1975,56.933,male
estimates,935,1976,57.441,male
estimates,935,1977,57.916,male
estimates,935,1978,58.361,male
estimates,935,1979,58.783,male
estimates,935,1980,59.192,male
estimates,935,1981,59.594,male
estimates,935,1982,59.995,male
estimates,935,1983,60.396,male
estimates,935,1984,60.798,male
estimates,935,1985,61.197,male
estimates,935,1986,61.587,male
estimates,935,1987,61.96,male
estimates,935,1988,62.311,male
estimates,935,1989,62.64,male
estimates,935,1990,62.946,male
estimates,935,1991,63.23,male
estimates,935,1992,63.499,male
estimates,935,1993,63.761,male
estimates,935,1994,64.024,male
estimates,935,1995,64.299,male
estimates,935,1996,64.595,male
estimates,935,1997,64.917,male
estimates,935,1998,65.265,male
estimates,935,1999,65.637,male
estimates,935,2000,66.026,male
estimates,935,2001,66.423,male
estimates,935,2002,66.815,male
estimates,935,2003,67.192,male
estimates,935,2004,67.549,male
estimates,935,2005,67.883,male
estimates,935,2006,68.197,male
estimates,935,2007,68.496,male
estimates,935,2008,68.785,male
estimates,935,2009,69.064,male
estimates,935,2010,69.332,male
estimates,935,2011,69.587,male
estimates,935,2012,69.829,male
estimates,935,2013,70.056,male
estimates,935,2014,70.27,male
estimates,935,2015,70.472,male
medium_variant,935,2015,70.472,male
medium_variant,935,2016,70.665,male
medium_variant,935,2017,70.852,male
medium_variant,935,2018,71.033,male
medium_variant,935,2019,71.212,male
medium_variant,935,2020,71.389,male
medium_variant,935,2021,71.564,male
medium_variant,935,2022,71.735,male
medium_variant,935,2023,71.902,male
medium_variant,935,2024,72.065,male
medium_variant,935,2025,72.224,male
medium_variant,935,2026,72.38,male
medium_variant,935,2027,72.533,male
medium_variant,935,2028,72.684,male
medium_variant,935,2029,72.833,male
medium_variant,935,2030,72.979,male
medium_variant,935,2031,73.124,male
medium_variant,935,2032,73.266,male
medium_variant,935,2033,73.407,male
medium_variant,935,2034,73.546,male
medium_variant,935,2035,73.684,male
medium_variant,935,2036,73.821,male
medium_variant,935,2037,73.957,male
medium_variant,935,2038,74.094,male
medium_variant,935,2039,74.23,male
medium_variant,935,2040,74.366,male
medium_variant,935,2041,74.503,male
medium_variant,935,2042,74.638,male
medium_variant,935,2043,74.774,male
medium_variant,935,2044,74.909,male
medium_variant,935,2045,75.043,male
medium_variant,935,2046,75.177,male
medium_variant,935,2047,75.312,male
medium_variant,935,2048,75.446,male
medium_variant,935,2049,75.58,male
medium_variant,935,2050,75.714,male
medium_variant,935,2051,75.847,male
medium_variant,935,2052,75.98,male
medium_variant,935,2053,76.112,male
medium_variant,935,2054,76.243,male
medium_variant,935,2055,76.373,male
medium_variant,935,2056,76.502,male
medium_variant,935,2057,76.632,male
medium_variant,935,2058,76.762,male
medium_variant,935,2059,76.891,male
medium_variant,935,2060,77.021,male
medium_variant,935,2061,77.151,male
medium_variant,935,2062,77.28,male
medium_variant,935,2063,77.408,male
medium_variant,935,2064,77.536,male
medium_variant,935,2065,77.663,male
medium_variant,935,2066,77.791,male
medium_variant,935,2067,77.918,male
medium_variant,935,2068,78.046,male
medium_variant,935,2069,78.175,male
medium_variant,935,2070,78.303,male
medium_variant,935,2071,78.432,male
medium_variant,935,2072,78.561,male
medium_variant,935,2073,78.689,male
medium_variant,935,2074,78.817,male
medium_variant,935,2075,78.944,male
medium_variant,935,2076,79.071,male
medium_variant,935,2077,79.197,male
medium_variant,935,2078,79.324,male
medium_variant,935,2079,79.451,male
medium_variant,935,2080,79.578,male
medium_variant,935,2081,79.707,male
medium_variant,935,2082,79.836,male
medium_variant,935,2083,79.966,male
medium_variant,935,2084,80.098,male
medium_variant,935,2085,80.23,male
medium_variant,935,2086,80.363,male
medium_variant,935,2087,80.495,male
medium_variant,935,2088,80.627,male
medium_variant,935,2089,80.759,male
medium_variant,935,2090,80.891,male
medium_variant,935,2091,81.024,male
medium_variant,935,2092,81.157,male
medium_variant,935,2093,81.292,male
medium_variant,935,2094,81.427,male
medium_variant,935,2095,81.565,male
medium_variant,935,2096,81.703,male
medium_variant,935,2097,81.844,male
medium_variant,935,2098,81.986,male
medium_variant,935,2099,82.13,male
estimates,935,1950,41.993,female
estimates,935,1951,42.339,female
estimates,935,1952,42.994,female
estimates,935,1953,43.572,female
estimates,935,1954,44.072,female
estimates,935,1955,44.497,female
estimates,935,1956,44.859,female
estimates,935,1957,45.172,female
estimates,935,1958,45.461,female
estimates,935,1959,45.776,female
estimates,935,1960,46.169,female
estimates,935,1961,46.693,female
estimates,935,1962,47.395,female
estimates,935,1963,48.294,female
estimates,935,1964,49.376,female
estimates,935,1965,50.589,female
estimates,935,1966,51.857,female
estimates,935,1967,53.091,female
estimates,935,1968,54.221,female
estimates,935,1969,55.215,female
estimates,935,1970,56.061,female
estimates,935,1971,56.778,female
estimates,935,1972,57.419,female
estimates,935,1973,58.026,female
estimates,935,1974,58.616,female
estimates,935,1975,59.199,female
estimates,935,1976,59.777,female
estimates,935,1977,60.341,female
estimates,935,1978,60.887,female
estimates,935,1979,61.414,female
estimates,935,1980,61.922,female
estimates,935,1981,62.408,female
estimates,935,1982,62.871,female
estimates,935,1983,63.312,female
estimates,935,1984,63.732,female
estimates,935,1985,64.133,female
estimates,935,1986,64.518,female
estimates,935,1987,64.89,female
estimates,935,1988,65.253,female
estimates,935,1989,65.61,female
estimates,935,1990,65.961,female
estimates,935,1991,66.307,female
estimates,935,1992,66.647,female
estimates,935,1993,66.981,female
estimates,935,1994,67.313,female
estimates,935,1995,67.646,female
estimates,935,1996,67.983,female
estimates,935,1997,68.326,female
estimates,935,1998,68.678,female
estimates,935,1999,69.038,female
estimates,935,2000,69.405,female
estimates,935,2001,69.778,female
estimates,935,2002,70.154,female
estimates,935,2003,70.528,female
estimates,935,2004,70.899,female
estimates,935,2005,71.266,female
estimates,935,2006,71.63,female
