continent,variant,year,childdependencyratio2569
908,Constant_mortality,2095,52.9434997120495
908,High_variant,2095,65.9214236606793
908,Instant_replacement,2095,57.973868528199
908,Low_variant,2095,36.5068034576449
908,Medium_variant,2095,50.911634706304
908,No_change,2095,46.5013561601823
908,Zero_migration,2095,50.8252056589166
908,Constant_fertility,2100,44.432664261078
908,Constant_mortality,2100,52.8361129393332
908,High_variant,2100,66.2144280946487
908,Instant_replacement,2100,57.8950122436236
908,Low_variant,2100,35.8788277575151
908,Medium_variant,2100,50.7115430116131
908,No_change,2100,46.3987111912542
908,Zero_migration,2100,50.5771687129615
