continent,variant,year,childdependencyratio2569
908,Estimates,1950,85.2232084348642
908,Estimates,1955,80.7922765032417
908,Estimates,1960,80.13414346521
908,Estimates,1965,77.1979597301209
908,Estimates,1970,78.6632867069029
908,Estimates,1975,75.9026402505431
908,Estimates,1980,71.7790788737896
908,Estimates,1985,67.1010576845838
908,Estimates,1990,61.5370434056387
908,Estimates,1995,57.6271518526366
908,Estimates,2000,53.6653816337849
908,Estimates,2005,50.0255142635292
908,Estimates,2010,47.0187246042143
908,Constant_fertility,2015,43.8997782784803
908,Constant_mortality,2015,43.8997782784803
908,Estimates,2015,43.8997782784803
908,High_variant,2015,43.8997782784803
908,Instant_replacement,2015,43.8997782784803
908,Low_variant,2015,43.8997782784803
908,Medium_variant,2015,43.8997782784803
908,No_change,2015,43.8997782784803
908,Zero_migration,2015,43.8997782784803
908,Constant_fertility,2020,43.0596951521498
908,Constant_mortality,2020,43.4675480865027
908,High_variant,2020,44.7444513775718
908,Instant_replacement,2020,45.8401701510736
908,Low_variant,2020,42.0796825491327
908,Medium_variant,2020,43.4120685303237
908,No_change,2020,43.114980167047
908,Zero_migration,2020,43.2421857270129
908,Constant_fertility,2025,43.8071314070109
908,Constant_mortality,2025,44.9108658629841
908,High_variant,2025,48.1708433584903
908,Instant_replacement,2025,49.3937600457075
908,Low_variant,2025,41.3291131755661
908,Medium_variant,2025,44.7499790738741
908,No_change,2025,43.9655752996962
908,Zero_migration,2025,44.5258360941707
908,Constant_fertility,2030,44.3883159884708
908,Constant_mortality,2030,46.2587155654994
908,High_variant,2030,51.9609914362145
908,Instant_replacement,2030,52.6552163964427
908,Low_variant,2030,39.9555966629473
908,Medium_variant,2030,45.9582955995455
908,No_change,2030,44.6803117347878
908,Zero_migration,2030,45.6856217511035
908,Constant_fertility,2035,44.059280216198
908,Constant_mortality,2035,46.6598539183345
908,High_variant,2035,54.8604708342906
908,Instant_replacement,2035,54.8811462355087
908,Low_variant,2035,37.5761146728785
908,Medium_variant,2035,46.2135964637069
908,No_change,2035,44.4875016311741
908,Zero_migration,2035,45.8074016529301
908,Constant_fertility,2040,43.1819207322046
908,Constant_mortality,2040,46.637805172863
908,High_variant,2040,57.5239090076307
908,Instant_replacement,2040,56.7530393921035
908,Low_variant,2040,34.6367483290224
908,Medium_variant,2040,46.0452775351967
908,No_change,2040,43.7420578274401
908,Zero_migration,2040,45.4649086562651
908,Constant_fertility,2045,42.9944263351571
908,Constant_mortality,2045,47.0743975454357
908,High_variant,2045,58.7468170632021
908,Instant_replacement,2045,55.2296917187316
908,Low_variant,2045,33.8171367631432
908,Medium_variant,2045,46.3227278867854
908,No_change,2045,43.702543856144
908,Zero_migration,2045,45.6685323038278
908,Constant_fertility,2050,43.4503874022246
908,Constant_mortality,2050,48.1183813036635
908,High_variant,2050,60.0766527544379
908,Instant_replacement,2050,55.5191720305602
908,Low_variant,2050,34.1743314055469
908,Medium_variant,2050,47.2008954645174
908,No_change,2050,44.315533439251
908,Zero_migration,2050,46.5871128672582
908,Constant_fertility,2055,44.3055919273148
908,Constant_mortality,2055,49.7402818035512
908,High_variant,2055,62.1179505701402
908,Instant_replacement,2055,57.3458090400155
908,Low_variant,2055,35.199936010044
908,Medium_variant,2055,48.6621013103187
908,No_change,2055,45.3198542492265
908,Zero_migration,2055,48.2156668265628
908,Constant_fertility,2060,45.0053559089792
908,Constant_mortality,2060,51.3469862880471
908,High_variant,2060,64.7204731129183
908,Instant_replacement,2060,59.4545037890893
908,Low_variant,2060,35.8312883019208
908,Medium_variant,2060,50.1341111490019
908,No_change,2060,46.1385616827229
908,Zero_migration,2060,49.8870238265451
908,Constant_fertility,2065,44.8230644008355
908,Constant_mortality,2065,51.8508686446236
908,High_variant,2065,66.1138618442104
908,Instant_replacement,2065,60.1718871891906
908,Low_variant,2065,35.4527561856055
908,Medium_variant,2065,50.5116216323054
908,No_change,2065,46.0677018263668
908,Zero_migration,2065,50.3036332908778
908,Constant_fertility,2070,44.0983301133463
908,Constant_mortality,2070,51.4171035776734
908,High_variant,2070,66.0438652157254
908,Instant_replacement,2070,59.3146812469138
908,Low_variant,2070,34.4550453864595
908,Medium_variant,2070,49.9395224234022
908,No_change,2070,45.4726427426142
908,Zero_migration,2070,49.5911295427419
908,Constant_fertility,2075,43.650958547932
908,Constant_mortality,2075,51.040235705147
908,High_variant,2075,65.3633634366215
908,Instant_replacement,2075,57.7754102394403
908,Low_variant,2075,33.9312759029802
908,Medium_variant,2075,49.4215724788582
908,No_change,2075,45.1634315708969
908,Zero_migration,2075,48.9390116345371
908,Constant_fertility,2080,43.8565626241272
908,Constant_mortality,2080,51.3163228404757
908,High_variant,2080,64.8375200564196
908,Instant_replacement,2080,56.5779483151728
908,Low_variant,2080,34.5119185876103
908,Medium_variant,2080,49.5718876640112
908,No_change,2080,45.4897021781784
908,Zero_migration,2080,49.1105499901466
908,Constant_fertility,2085,44.3627214565546
908,Constant_mortality,2085,51.9787767386408
908,High_variant,2085,64.5799676425107
908,Instant_replacement,2085,56.0712477846101
908,Low_variant,2085,35.8538764226242
908,Medium_variant,2085,50.1275616243114
908,No_change,2085,46.083187796161
908,Zero_migration,2085,49.8143710443009
908,Constant_fertility,2090,44.6512152705079
908,Constant_mortality,2090,52.6373499252703
908,High_variant,2090,65.2088043084198
908,Instant_replacement,2090,57.233950672327
908,Low_variant,2090,36.5665785822949
908,Medium_variant,2090,50.6925413239748
908,No_change,2090,46.4480404359917
908,Zero_migration,2090,50.5354613538754
908,Constant_fertility,2095,44.6241962892289
