variant,continent,year,childdependencyratio2569
estimates,905,1950,84.981
estimates,905,1951,85.455
estimates,905,1952,85.871
estimates,905,1953,86.513
estimates,905,1954,87.49
estimates,905,1955,88.786
estimates,905,1956,90.281
estimates,905,1957,91.987
estimates,905,1958,93.698
estimates,905,1959,95.24
estimates,905,1960,96.557
estimates,905,1961,98.618
estimates,905,1962,100.357
estimates,905,1963,101.767
estimates,905,1964,102.87
estimates,905,1965,103.654
estimates,905,1966,104.128
estimates,905,1967,104.231
estimates,905,1968,103.996
estimates,905,1969,103.473
estimates,905,1970,102.713
estimates,905,1971,101.862
estimates,905,1972,100.838
estimates,905,1973,99.544
estimates,905,1974,97.908
estimates,905,1975,95.957
estimates,905,1976,94.615
estimates,905,1977,93.045
estimates,905,1978,91.328
estimates,905,1979,89.535
estimates,905,1980,87.691
estimates,905,1981,85.691
estimates,905,1982,83.625
estimates,905,1983,81.575
estimates,905,1984,79.586
estimates,905,1985,77.686
estimates,905,1986,76.119
estimates,905,1987,74.617
estimates,905,1988,73.253
estimates,905,1989,72.072
estimates,905,1990,71.067
estimates,905,1991,70.328
estimates,905,1992,69.714
estimates,905,1993,69.201
estimates,905,1994,68.726
estimates,905,1995,68.257
estimates,905,1996,68.072
estimates,905,1997,67.753
estimates,905,1998,67.355
estimates,905,1999,66.95
estimates,905,2000,66.567
estimates,905,2001,66.132
estimates,905,2002,65.827
estimates,905,2003,65.565
estimates,905,2004,65.224
estimates,905,2005,64.752
estimates,905,2006,64.468
estimates,905,2007,64.014
estimates,905,2008,63.469
estimates,905,2009,62.938
estimates,905,2010,62.471
estimates,905,2011,62.164
estimates,905,2012,61.85
estimates,905,2013,61.578
estimates,905,2014,61.325
estimates,905,2015,61.023
medium_variant,905,2015,61.023
medium_variant,905,2016,60.62
medium_variant,905,2017,60.225
medium_variant,905,2018,59.855
medium_variant,905,2019,59.553
medium_variant,905,2020,59.36
medium_variant,905,2021,59.545
medium_variant,905,2022,59.777
medium_variant,905,2023,60.046
medium_variant,905,2024,60.333
medium_variant,905,2025,60.603
medium_variant,905,2026,60.912
medium_variant,905,2027,61.206
medium_variant,905,2028,61.456
medium_variant,905,2029,61.613
medium_variant,905,2030,61.657
medium_variant,905,2031,61.708
medium_variant,905,2032,61.641
medium_variant,905,2033,61.496
medium_variant,905,2034,61.345
medium_variant,905,2035,61.234
medium_variant,905,2036,61.271
medium_variant,905,2037,61.344
medium_variant,905,2038,61.418
medium_variant,905,2039,61.43
medium_variant,905,2040,61.347
medium_variant,905,2041,61.307
medium_variant,905,2042,61.174
medium_variant,905,2043,60.981
medium_variant,905,2044,60.784
medium_variant,905,2045,60.613
medium_variant,905,2046,60.567
medium_variant,905,2047,60.54
medium_variant,905,2048,60.519
medium_variant,905,2049,60.483
medium_variant,905,2050,60.421
medium_variant,905,2051,60.439
medium_variant,905,2052,60.429
medium_variant,905,2053,60.409
medium_variant,905,2054,60.402
medium_variant,905,2055,60.423
medium_variant,905,2056,60.56
medium_variant,905,2057,60.719
medium_variant,905,2058,60.875
medium_variant,905,2059,60.99
medium_variant,905,2060,61.043
medium_variant,905,2061,61.12
medium_variant,905,2062,61.134
medium_variant,905,2063,61.1
medium_variant,905,2064,61.044
medium_variant,905,2065,60.982
medium_variant,905,2066,60.987
medium_variant,905,2067,60.981
medium_variant,905,2068,60.963
medium_variant,905,2069,60.932
medium_variant,905,2070,60.887
medium_variant,905,2071,60.907
medium_variant,905,2072,60.916
medium_variant,905,2073,60.907
medium_variant,905,2074,60.871
medium_variant,905,2075,60.802
medium_variant,905,2076,60.772
medium_variant,905,2077,60.708
medium_variant,905,2078,60.621
medium_variant,905,2079,60.526
medium_variant,905,2080,60.433
medium_variant,905,2081,60.403
medium_variant,905,2082,60.372
medium_variant,905,2083,60.339
medium_variant,905,2084,60.302
medium_variant,905,2085,60.26
medium_variant,905,2086,60.271
medium_variant,905,2087,60.276
medium_variant,905,2088,60.273
medium_variant,905,2089,60.263
medium_variant,905,2090,60.242
medium_variant,905,2091,60.263
medium_variant,905,2092,60.272
medium_variant,905,2093,60.269
medium_variant,905,2094,60.254
medium_variant,905,2095,60.225
medium_variant,905,2096,60.231
medium_variant,905,2097,60.222
medium_variant,905,2098,60.2
medium_variant,905,2099,60.166
medium_variant,905,2100,60.12
high_variant,905,2015,55.7275879154505
low_variant,905,2015,55.7275879154505
constant_fertility,905,2015,55.7275879154505
instant_replacement,905,2015,55.7275879154505
zero_migration,905,2015,55.7275879154505
constant_mortality,905,2015,55.7275879154505
no_change,905,2015,55.7275879154505
high_variant,905,2020,55.1841768825832
low_variant,905,2020,52.369073759459
constant_fertility,905,2020,53.747396660537
instant_replacement,905,2020,54.9741958543514
zero_migration,905,2020,52.9110240625475
constant_mortality,905,2020,53.8316266714726
no_change,905,2020,53.8024306981442
high_variant,905,2025,57.8975780488278
low_variant,905,2025,50.5562848661021
constant_fertility,905,2025,54.0556544513618
instant_replacement,905,2025,56.5860345741234
zero_migration,905,2025,52.7611536811964
constant_mortality,905,2025,54.3869200276557
no_change,905,2025,54.2156204546155
high_variant,905,2030,61.5413817196281
low_variant,905,2030,48.5226373213351
constant_fertility,905,2030,54.6960265308156
instant_replacement,905,2030,58.5065980684985
zero_migration,905,2030,53.1673368805885
constant_mortality,905,2030,55.3231539270126
no_change,905,2030,54.9866945579413
high_variant,905,2035,64.7091399492193
low_variant,905,2035,46.0698734336018
constant_fertility,905,2035,54.8825345013313
instant_replacement,905,2035,59.9287822359763
zero_migration,905,2035,53.2331128037113
constant_mortality,905,2035,55.8103721670244
no_change,905,2035,55.3053219165887
high_variant,905,2040,67.6360573385747
low_variant,905,2040,43.4493366341842
constant_fertility,905,2040,54.8175998965569
instant_replacement,905,2040,61.0941082151729
zero_migration,905,2040,53.0796157298135
constant_mortality,905,2040,56.0862054280659
no_change,905,2040,55.3891440427279
high_variant,905,2045,68.1032888332899
low_variant,905,2045,42.0573549462729
constant_fertility,905,2045,54.2541341882388
instant_replacement,905,2045,60.081820666314
zero_migration,905,2045,52.4399984979477
constant_mortality,905,2045,55.8390376420833
no_change,905,2045,54.9772198215585
high_variant,905,2050,67.5514131124631
low_variant,905,2050,41.0965342751588
constant_fertility,905,2050,53.4625004766983
instant_replacement,905,2050,59.105729212805
zero_migration,905,2050,51.5398139858122
constant_mortality,905,2050,55.2625858178754
no_change,905,2050,54.3476842665632
high_variant,905,2055,67.789170128884
low_variant,905,2055,40.8884514388071
constant_fertility,905,2055,53.2833955708479
instant_replacement,905,2055,59.1901584948161
zero_migration,905,2055,51.5376742599299
constant_mortality,905,2055,55.346063844415
no_change,905,2055,54.3132675671868
high_variant,905,2060,68.7735356045193
low_variant,905,2060,40.4245175155391
constant_fertility,905,2060,53.2214259945337
instant_replacement,905,2060,59.5635859790847
zero_migration,905,2060,51.834858201061
constant_mortality,905,2060,55.5999614866734
no_change,905,2060,54.3874356303343
high_variant,905,2065,70.2162184859367
low_variant,905,2065,40.0856625224965
constant_fertility,905,2065,53.4832990498938
instant_replacement,905,2065,60.2110851459507
zero_migration,905,2065,52.5244475170333
constant_mortality,905,2065,56.1362845835887
no_change,905,2065,54.7520387244767
high_variant,905,2070,70.6299644055942
low_variant,905,2070,39.4565474991548
constant_fertility,905,2070,53.1853162558843
instant_replacement,905,2070,60.0110906495525
zero_migration,905,2070,52.4784402602748
constant_mortality,905,2070,56.1026894286837
no_change,905,2070,54.5624154390464
high_variant,905,2075,70.303567598902
low_variant,905,2075,39.2230608965836
constant_fertility,905,2075,52.8696013731659
instant_replacement,905,2075,59.415295822347
zero_migration,905,2075,52.3003124055442
constant_mortality,905,2075,55.9908744817789
no_change,905,2075,54.346593408048
high_variant,905,2080,69.4692187546783
low_variant,905,2080,39.4891440132944
constant_fertility,905,2080,52.6364376543623
instant_replacement,905,2080,58.6978278940307
zero_migration,905,2080,52.1560040484751
constant_mortality,905,2080,55.8805086081078
no_change,905,2080,54.2006948537191
high_variant,905,2085,68.4118674868262
low_variant,905,2085,39.8833716489201
constant_fertility,905,2085,52.2918610948485
instant_replacement,905,2085,57.9611960959303
zero_migration,905,2085,51.9102027329929
constant_mortality,905,2085,55.6367930971654
no_change,905,2085,53.9495183367126
high_variant,905,2090,68.3302824326086
low_variant,905,2090,39.9258472916075
constant_fertility,905,2090,52.1313268351498
instant_replacement,905,2090,58.0502686831401
zero_migration,905,2090,51.9898931527541
constant_mortality,905,2090,55.5982892887522
no_change,905,2090,53.8689423897691
high_variant,905,2095,68.7484462929994
low_variant,905,2095,39.6545566446917
constant_fertility,905,2095,52.0103214740013
instant_replacement,905,2095,58.2174013320791
zero_migration,905,2095,52.190869050612
constant_mortality,905,2095,55.6413857549364
no_change,905,2095,53.8183927107251
high_variant,905,2100,69.1229627083225
low_variant,905,2100,39.189413261519
constant_fertility,905,2100,51.8540633556443
instant_replacement,905,2100,58.1868779585215
zero_migration,905,2100,52.2808694195536
constant_mortality,905,2100,55.6256966222311
no_change,905,2100,53.7257073104459
