variant,continent,year,gender,potentialsupport2564_65
estimates,909,1950,male,12.686
estimates,909,1951,male,12.534
estimates,909,1952,male,12.46
estimates,909,1953,male,12.456
estimates,909,1954,male,12.511
estimates,909,1955,male,12.615
estimates,909,1956,male,12.364
estimates,909,1957,male,12.173
estimates,909,1958,male,12.047
estimates,909,1959,male,12.003
estimates,909,1960,male,12.051
estimates,909,1961,male,11.952
estimates,909,1962,male,11.958
estimates,909,1963,male,12.051
estimates,909,1964,male,12.214
estimates,909,1965,male,12.431
estimates,909,1966,male,12.395
estimates,909,1967,male,12.433
estimates,909,1968,male,12.542
estimates,909,1969,male,12.717
estimates,909,1970,male,12.947
estimates,909,1971,male,12.797
estimates,909,1972,male,12.713
estimates,909,1973,male,12.679
estimates,909,1974,male,12.68
estimates,909,1975,male,12.704
estimates,909,1976,male,12.438
estimates,909,1977,male,12.231
estimates,909,1978,male,12.068
estimates,909,1979,male,11.938
estimates,909,1980,male,11.827
estimates,909,1981,male,11.559
estimates,909,1982,male,11.331
estimates,909,1983,male,11.152
estimates,909,1984,male,11.038
estimates,909,1985,male,10.987
estimates,909,1986,male,10.852
estimates,909,1987,male,10.78
estimates,909,1988,male,10.735
estimates,909,1989,male,10.681
estimates,909,1990,male,10.599
estimates,909,1991,male,10.377
estimates,909,1992,male,10.165
estimates,909,1993,male,9.967
estimates,909,1994,male,9.793
estimates,909,1995,male,9.648
estimates,909,1996,male,9.452
estimates,909,1997,male,9.28
estimates,909,1998,male,9.133
estimates,909,1999,male,9.013
estimates,909,2000,male,8.918
estimates,909,2001,male,8.784
estimates,909,2002,male,8.684
estimates,909,2003,male,8.605
estimates,909,2004,male,8.536
estimates,909,2005,male,8.468
estimates,909,2006,male,8.379
estimates,909,2007,male,8.298
estimates,909,2008,male,8.225
estimates,909,2009,male,8.156
estimates,909,2010,male,8.089
estimates,909,2011,male,7.968
estimates,909,2012,male,7.854
estimates,909,2013,male,7.73
estimates,909,2014,male,7.581
estimates,909,2015,male,7.408
medium_variant,909,2015,male,7.408
medium_variant,909,2016,male,7.216
medium_variant,909,2017,male,7.02
medium_variant,909,2018,male,6.827
medium_variant,909,2019,male,6.65
medium_variant,909,2020,male,6.491
medium_variant,909,2021,male,6.33
medium_variant,909,2022,male,6.189
medium_variant,909,2023,male,6.06
medium_variant,909,2024,male,5.933
medium_variant,909,2025,male,5.804
medium_variant,909,2026,male,5.676
medium_variant,909,2027,male,5.554
medium_variant,909,2028,male,5.437
medium_variant,909,2029,male,5.324
medium_variant,909,2030,male,5.213
medium_variant,909,2031,male,5.11
medium_variant,909,2032,male,5.013
medium_variant,909,2033,male,4.923
medium_variant,909,2034,male,4.845
medium_variant,909,2035,male,4.776
medium_variant,909,2036,male,4.722
medium_variant,909,2037,male,4.68
medium_variant,909,2038,male,4.645
medium_variant,909,2039,male,4.61
medium_variant,909,2040,male,4.57
medium_variant,909,2041,male,4.53
medium_variant,909,2042,male,4.489
medium_variant,909,2043,male,4.451
medium_variant,909,2044,male,4.42
medium_variant,909,2045,male,4.395
medium_variant,909,2046,male,4.379
medium_variant,909,2047,male,4.374
medium_variant,909,2048,male,4.37
medium_variant,909,2049,male,4.36
medium_variant,909,2050,male,4.338
medium_variant,909,2051,male,4.309
medium_variant,909,2052,male,4.273
medium_variant,909,2053,male,4.233
medium_variant,909,2054,male,4.19
medium_variant,909,2055,male,4.145
medium_variant,909,2056,male,4.1
medium_variant,909,2057,male,4.058
medium_variant,909,2058,male,4.016
medium_variant,909,2059,male,3.972
medium_variant,909,2060,male,3.925
medium_variant,909,2061,male,3.881
medium_variant,909,2062,male,3.838
medium_variant,909,2063,male,3.796
medium_variant,909,2064,male,3.756
medium_variant,909,2065,male,3.718
medium_variant,909,2066,male,3.687
medium_variant,909,2067,male,3.662
medium_variant,909,2068,male,3.641
medium_variant,909,2069,male,3.62
medium_variant,909,2070,male,3.598
medium_variant,909,2071,male,3.583
medium_variant,909,2072,male,3.57
medium_variant,909,2073,male,3.556
medium_variant,909,2074,male,3.537
medium_variant,909,2075,male,3.51
medium_variant,909,2076,male,3.487
medium_variant,909,2077,male,3.462
medium_variant,909,2078,male,3.433
medium_variant,909,2079,male,3.404
medium_variant,909,2080,male,3.371
medium_variant,909,2081,male,3.345
medium_variant,909,2082,male,3.32
medium_variant,909,2083,male,3.295
medium_variant,909,2084,male,3.267
medium_variant,909,2085,male,3.233
medium_variant,909,2086,male,3.204
medium_variant,909,2087,male,3.175
medium_variant,909,2088,male,3.146
medium_variant,909,2089,male,3.114
medium_variant,909,2090,male,3.079
medium_variant,909,2091,male,3.052
medium_variant,909,2092,male,3.026
medium_variant,909,2093,male,3
medium_variant,909,2094,male,2.972
medium_variant,909,2095,male,2.94
medium_variant,909,2096,male,2.917
medium_variant,909,2097,male,2.895
medium_variant,909,2098,male,2.873
medium_variant,909,2099,male,2.848
medium_variant,909,2100,male,2.82
estimates,909,1950,female,10.367
estimates,909,1951,female,10.164
estimates,909,1952,female,9.992
estimates,909,1953,female,9.839
estimates,909,1954,female,9.697
estimates,909,1955,female,9.559
estimates,909,1956,female,9.331
estimates,909,1957,female,9.13
estimates,909,1958,female,8.954
estimates,909,1959,female,8.803
estimates,909,1960,female,8.678
estimates,909,1961,female,8.512
estimates,909,1962,female,8.38
estimates,909,1963,female,8.275
estimates,909,1964,female,8.192
estimates,909,1965,female,8.127
estimates,909,1966,female,8.089
estimates,909,1967,female,8.076
estimates,909,1968,female,8.088
estimates,909,1969,female,8.131
estimates,909,1970,female,8.206
estimates,909,1971,female,8.158
estimates,909,1972,female,8.139
estimates,909,1973,female,8.126
estimates,909,1974,female,8.103
estimates,909,1975,female,8.066
estimates,909,1976,female,7.987
estimates,909,1977,female,7.919
estimates,909,1978,female,7.854
estimates,909,1979,female,7.783
estimates,909,1980,female,7.705
estimates,909,1981,female,7.595
estimates,909,1982,female,7.487
estimates,909,1983,female,7.388
estimates,909,1984,female,7.304
estimates,909,1985,female,7.239
estimates,909,1986,female,7.191
estimates,909,1987,female,7.167
estimates,909,1988,female,7.153
estimates,909,1989,female,7.128
estimates,909,1990,female,7.084
estimates,909,1991,female,6.996
estimates,909,1992,female,6.902
estimates,909,1993,female,6.808
estimates,909,1994,female,6.722
estimates,909,1995,female,6.651
estimates,909,1996,female,6.587
estimates,909,1997,female,6.539
estimates,909,1998,female,6.504
estimates,909,1999,female,6.478
estimates,909,2000,female,6.458
estimates,909,2001,female,6.45
estimates,909,2002,female,6.452
estimates,909,2003,female,6.46
estimates,909,2004,female,6.466
estimates,909,2005,female,6.467
estimates,909,2006,female,6.465
estimates,909,2007,female,6.464
estimates,909,2008,female,6.462
estimates,909,2009,female,6.457
estimates,909,2010,female,6.444
estimates,909,2011,female,6.419
estimates,909,2012,female,6.392
estimates,909,2013,female,6.351
estimates,909,2014,female,6.285
estimates,909,2015,female,6.191
medium_variant,909,2015,female,6.191
medium_variant,909,2016,female,6.079
medium_variant,909,2017,female,5.952
medium_variant,909,2018,female,5.816
medium_variant,909,2019,female,5.682
medium_variant,909,2020,female,5.553
medium_variant,909,2021,female,5.431
medium_variant,909,2022,female,5.318
medium_variant,909,2023,female,5.208
medium_variant,909,2024,female,5.094
medium_variant,909,2025,female,4.975
medium_variant,909,2026,female,4.864
medium_variant,909,2027,female,4.755
medium_variant,909,2028,female,4.646
medium_variant,909,2029,female,4.539
medium_variant,909,2030,female,4.433
medium_variant,909,2031,female,4.345
medium_variant,909,2032,female,4.261
medium_variant,909,2033,female,4.182
medium_variant,909,2034,female,4.107
medium_variant,909,2035,female,4.038
medium_variant,909,2036,female,3.988
medium_variant,909,2037,female,3.945
medium_variant,909,2038,female,3.906
medium_variant,909,2039,female,3.864
medium_variant,909,2040,female,3.818
medium_variant,909,2041,female,3.782
medium_variant,909,2042,female,3.744
medium_variant,909,2043,female,3.708
medium_variant,909,2044,female,3.674
medium_variant,909,2045,female,3.645
medium_variant,909,2046,female,3.632
medium_variant,909,2047,female,3.625
medium_variant,909,2048,female,3.619
medium_variant,909,2049,female,3.606
medium_variant,909,2050,female,3.582
medium_variant,909,2051,female,3.562
medium_variant,909,2052,female,3.536
medium_variant,909,2053,female,3.504
medium_variant,909,2054,female,3.469
medium_variant,909,2055,female,3.429
medium_variant,909,2056,female,3.399
medium_variant,909,2057,female,3.37
medium_variant,909,2058,female,3.339
medium_variant,909,2059,female,3.306
medium_variant,909,2060,female,3.269
medium_variant,909,2061,female,3.243
medium_variant,909,2062,female,3.219
medium_variant,909,2063,female,3.194
medium_variant,909,2064,female,3.167
medium_variant,909,2065,female,3.137
medium_variant,909,2066,female,3.119
medium_variant,909,2067,female,3.102
medium_variant,909,2068,female,3.085
medium_variant,909,2069,female,3.067
medium_variant,909,2070,female,3.044
medium_variant,909,2071,female,3.034
medium_variant,909,2072,female,3.024
medium_variant,909,2073,female,3.01
medium_variant,909,2074,female,2.991
medium_variant,909,2075,female,2.963
medium_variant,909,2076,female,2.945
medium_variant,909,2077,female,2.924
medium_variant,909,2078,female,2.899
medium_variant,909,2079,female,2.871
medium_variant,909,2080,female,2.839
medium_variant,909,2081,female,2.818
medium_variant,909,2082,female,2.798
medium_variant,909,2083,female,2.776
medium_variant,909,2084,female,2.749
medium_variant,909,2085,female,2.716
medium_variant,909,2086,female,2.695
medium_variant,909,2087,female,2.672
medium_variant,909,2088,female,2.647
medium_variant,909,2089,female,2.619
medium_variant,909,2090,female,2.586
medium_variant,909,2091,female,2.565
medium_variant,909,2092,female,2.544
medium_variant,909,2093,female,2.522
medium_variant,909,2094,female,2.496
medium_variant,909,2095,female,2.466
medium_variant,909,2096,female,2.448
medium_variant,909,2097,female,2.431
medium_variant,909,2098,female,2.411
medium_variant,909,2099,female,2.388
medium_variant,909,2100,female,2.361
