variant,global,year,gender,oldagedependencyratio2569
estimates,900,1998,female,11.218
estimates,900,1999,female,11.277
estimates,900,2000,female,11.326
estimates,900,2001,female,11.434
estimates,900,2002,female,11.522
estimates,900,2003,female,11.597
estimates,900,2004,female,11.665
estimates,900,2005,female,11.726
estimates,900,2006,female,11.845
estimates,900,2007,female,11.959
estimates,900,2008,female,12.057
estimates,900,2009,female,12.126
estimates,900,2010,female,12.163
estimates,900,2011,female,12.212
estimates,900,2012,female,12.232
estimates,900,2013,female,12.249
estimates,900,2014,female,12.291
estimates,900,2015,female,12.371
medium_variant,900,2015,female,12.371
medium_variant,900,2016,female,12.519
medium_variant,900,2017,female,12.693
medium_variant,900,2018,female,12.9
medium_variant,900,2019,female,13.145
medium_variant,900,2020,female,13.432
medium_variant,900,2021,female,13.792
medium_variant,900,2022,female,14.188
medium_variant,900,2023,female,14.606
medium_variant,900,2024,female,15.026
medium_variant,900,2025,female,15.438
medium_variant,900,2026,female,15.859
medium_variant,900,2027,female,16.269
medium_variant,900,2028,female,16.679
medium_variant,900,2029,female,17.106
medium_variant,900,2030,female,17.556
medium_variant,900,2031,female,18.021
medium_variant,900,2032,female,18.5
medium_variant,900,2033,female,18.988
medium_variant,900,2034,female,19.484
medium_variant,900,2035,female,19.987
medium_variant,900,2036,female,20.481
medium_variant,900,2037,female,20.97
medium_variant,900,2038,female,21.457
medium_variant,900,2039,female,21.937
medium_variant,900,2040,female,22.407
medium_variant,900,2041,female,22.836
medium_variant,900,2042,female,23.253
medium_variant,900,2043,female,23.656
medium_variant,900,2044,female,24.044
medium_variant,900,2045,female,24.415
medium_variant,900,2046,female,24.741
medium_variant,900,2047,female,25.053
medium_variant,900,2048,female,25.364
medium_variant,900,2049,female,25.696
medium_variant,900,2050,female,26.064
medium_variant,900,2051,female,26.432
medium_variant,900,2052,female,26.825
medium_variant,900,2053,female,27.249
medium_variant,900,2054,female,27.705
medium_variant,900,2055,female,28.188
medium_variant,900,2056,female,28.649
medium_variant,900,2057,female,29.133
medium_variant,900,2058,female,29.623
medium_variant,900,2059,female,30.089
medium_variant,900,2060,female,30.513
medium_variant,900,2061,female,30.848
medium_variant,900,2062,female,31.146
medium_variant,900,2063,female,31.413
medium_variant,900,2064,female,31.654
medium_variant,900,2065,female,31.873
medium_variant,900,2066,female,32.009
medium_variant,900,2067,female,32.128
medium_variant,900,2068,female,32.238
medium_variant,900,2069,female,32.353
medium_variant,900,2070,female,32.487
medium_variant,900,2071,female,32.569
medium_variant,900,2072,female,32.667
medium_variant,900,2073,female,32.791
medium_variant,900,2074,female,32.948
medium_variant,900,2075,female,33.138
medium_variant,900,2076,female,33.274
medium_variant,900,2077,female,33.443
medium_variant,900,2078,female,33.651
medium_variant,900,2079,female,33.893
medium_variant,900,2080,female,34.162
medium_variant,900,2081,female,34.377
medium_variant,900,2082,female,34.634
medium_variant,900,2083,female,34.918
medium_variant,900,2084,female,35.215
medium_variant,900,2085,female,35.524
medium_variant,900,2086,female,35.765
medium_variant,900,2087,female,36.022
medium_variant,900,2088,female,36.295
medium_variant,900,2089,female,36.584
medium_variant,900,2090,female,36.889
medium_variant,900,2091,female,37.095
medium_variant,900,2092,female,37.313
medium_variant,900,2093,female,37.549
medium_variant,900,2094,female,37.809
medium_variant,900,2095,female,38.092
medium_variant,900,2096,female,38.257
medium_variant,900,2097,female,38.452
medium_variant,900,2098,female,38.679
medium_variant,900,2099,female,38.935
medium_variant,900,2100,female,39.21
