country,year,variant,gender,freq,agebroad,totaldeaths
854,1960,Estimates,male,5yearly,20_64,98.641
854,1960,Estimates,female,5yearly,20_69,89.299
854,1960,Estimates,male,5yearly,20_69,111.406
854,1960,Estimates,female,5yearly,25plus,96.007
854,1960,Estimates,male,5yearly,25plus,120.196
854,1960,Estimates,female,5yearly,25_69,78.543
854,1960,Estimates,male,5yearly,25_69,98.493
854,1960,Estimates,female,5yearly,40plus,68.871
854,1960,Estimates,male,5yearly,40plus,90.262
854,1960,Estimates,female,5yearly,50plus,54.03
854,1960,Estimates,male,5yearly,50plus,70.174
854,1960,Estimates,female,5yearly,60plus,37.661
854,1960,Estimates,male,5yearly,60plus,47.304
854,1960,Estimates,female,5yearly,65plus,27.711
854,1960,Estimates,male,5yearly,65plus,34.468
854,1960,Estimates,female,5yearly,70plus,17.464
854,1960,Estimates,male,5yearly,70plus,21.703
854,1960,Estimates,female,5yearly,80plus,2.866
854,1960,Estimates,male,5yearly,80plus,3.534
854,1960,Estimates,female,5yearly,90plus,0.039
854,1960,Estimates,male,5yearly,90plus,0.054
854,1965,Estimates,female,5yearly,0_4,180.125
854,1965,Estimates,male,5yearly,0_4,195.923
854,1965,Estimates,female,5yearly,0_14,205.992
854,1965,Estimates,male,5yearly,0_14,221.596
854,1965,Estimates,female,5yearly,0_19,215.184
854,1965,Estimates,male,5yearly,0_19,231.485
854,1965,Estimates,female,5yearly,0_24,225.673
854,1965,Estimates,male,5yearly,0_24,243.913
854,1965,Estimates,female,5yearly,5_14,25.867
854,1965,Estimates,male,5yearly,5_14,25.673
854,1965,Estimates,female,5yearly,15plus,120.924
854,1965,Estimates,male,5yearly,15plus,140.713
854,1965,Estimates,female,5yearly,15_24,19.681
854,1965,Estimates,male,5yearly,15_24,22.317
854,1965,Estimates,female,5yearly,15_49,60.385
854,1965,Estimates,male,5yearly,15_49,68.549
854,1965,Estimates,female,5yearly,15_59,77.429
854,1965,Estimates,male,5yearly,15_59,90.951
854,1965,Estimates,female,5yearly,15_64,88.286
854,1965,Estimates,male,5yearly,15_64,103.96
854,1965,Estimates,female,5yearly,20plus,111.732
854,1965,Estimates,male,5yearly,20plus,130.824
854,1965,Estimates,female,5yearly,20_64,79.094
854,1965,Estimates,male,5yearly,20_64,94.071
854,1965,Estimates,female,5yearly,20_69,90.63
854,1965,Estimates,male,5yearly,20_69,107.27
854,1965,Estimates,female,5yearly,25plus,101.243
854,1965,Estimates,male,5yearly,25plus,118.396
854,1965,Estimates,female,5yearly,25_69,80.141
854,1965,Estimates,male,5yearly,25_69,94.842
854,1965,Estimates,female,5yearly,40plus,74.986
854,1965,Estimates,male,5yearly,40plus,90.482
854,1965,Estimates,female,5yearly,50plus,60.539
854,1965,Estimates,male,5yearly,50plus,72.164
854,1965,Estimates,female,5yearly,60plus,43.495
854,1965,Estimates,male,5yearly,60plus,49.762
854,1965,Estimates,female,5yearly,65plus,32.638
854,1965,Estimates,male,5yearly,65plus,36.753
854,1965,Estimates,female,5yearly,70plus,21.102
854,1965,Estimates,male,5yearly,70plus,23.554
854,1965,Estimates,female,5yearly,80plus,3.912
854,1965,Estimates,male,5yearly,80plus,4.254
854,1965,Estimates,female,5yearly,90plus,0.076
854,1965,Estimates,male,5yearly,90plus,0.078
854,1970,Estimates,female,5yearly,0_4,183.1
854,1970,Estimates,male,5yearly,0_4,200.065
854,1970,Estimates,female,5yearly,0_14,209.378
854,1970,Estimates,male,5yearly,0_14,226.308
854,1970,Estimates,female,5yearly,0_19,218.495
854,1970,Estimates,male,5yearly,0_19,235.97
854,1970,Estimates,female,5yearly,0_24,228.65
854,1970,Estimates,male,5yearly,0_24,247.798
854,1970,Estimates,female,5yearly,5_14,26.278
854,1970,Estimates,male,5yearly,5_14,26.243
854,1970,Estimates,female,5yearly,15plus,125.13
854,1970,Estimates,male,5yearly,15plus,138.337
854,1970,Estimates,female,5yearly,15_24,19.272
854,1970,Estimates,male,5yearly,15_24,21.49
854,1970,Estimates,female,5yearly,15_49,58.393
854,1970,Estimates,male,5yearly,15_49,64.39
854,1970,Estimates,female,5yearly,15_59,75.513
854,1970,Estimates,male,5yearly,15_59,85.778
854,1970,Estimates,female,5yearly,15_64,86.999
854,1970,Estimates,male,5yearly,15_64,98.819
854,1970,Estimates,female,5yearly,20plus,116.013
854,1970,Estimates,male,5yearly,20plus,128.675
854,1970,Estimates,female,5yearly,20_64,77.882
854,1970,Estimates,male,5yearly,20_64,89.157
854,1970,Estimates,female,5yearly,20_69,90.61
854,1970,Estimates,male,5yearly,20_69,102.768
854,1970,Estimates,female,5yearly,25plus,105.858
854,1970,Estimates,male,5yearly,25plus,116.847
854,1970,Estimates,female,5yearly,25_69,80.455
854,1970,Estimates,male,5yearly,25_69,90.94
854,1970,Estimates,female,5yearly,40plus,80.494
854,1970,Estimates,male,5yearly,40plus,90.312
854,1970,Estimates,female,5yearly,50plus,66.737
854,1970,Estimates,male,5yearly,50plus,73.947
854,1970,Estimates,female,5yearly,60plus,49.617
854,1970,Estimates,male,5yearly,60plus,52.559
854,1970,Estimates,female,5yearly,65plus,38.131
854,1970,Estimates,male,5yearly,65plus,39.518
854,1970,Estimates,female,5yearly,70plus,25.403
854,1970,Estimates,male,5yearly,70plus,25.907
854,1970,Estimates,female,5yearly,80plus,5.168
854,1970,Estimates,male,5yearly,80plus,5.049
854,1970,Estimates,female,5yearly,90plus,0.154
854,1970,Estimates,male,5yearly,90plus,0.134
854,1975,Estimates,female,5yearly,0_4,185.935
854,1975,Estimates,male,5yearly,0_4,204.135
854,1975,Estimates,female,5yearly,0_14,211.386
