country,year,variant,gender,freq,agebroad,totaldeaths
56,1950,estimates,female,5yearly,0_4,16.2
56,1950,estimates,male,5yearly,0_4,21.73
56,1950,estimates,female,5yearly,0_14,17.372
56,1950,estimates,male,5yearly,0_14,23.406
56,1950,estimates,female,5yearly,0_19,18.182
56,1950,estimates,male,5yearly,0_19,24.841
56,1950,estimates,female,5yearly,0_24,19.519
56,1950,estimates,male,5yearly,0_24,27.171
56,1950,estimates,female,5yearly,5_14,1.172
56,1950,estimates,male,5yearly,5_14,1.676
56,1950,estimates,female,5yearly,15plus,234.217
56,1950,estimates,male,5yearly,15plus,260.85
56,1950,estimates,female,5yearly,15_24,2.147
56,1950,estimates,male,5yearly,15_24,3.765
56,1950,estimates,female,5yearly,15_49,19.519
56,1950,estimates,male,5yearly,15_49,31.163
56,1950,estimates,female,5yearly,15_59,42.688
56,1950,estimates,male,5yearly,15_59,69.981
56,1950,estimates,female,5yearly,15_64,61.36
56,1950,estimates,male,5yearly,15_64,96.473
56,1950,estimates,female,5yearly,20plus,233.407
56,1950,estimates,male,5yearly,20plus,259.415
56,1950,estimates,female,5yearly,20_64,60.55
56,1950,estimates,male,5yearly,20_64,95.038
56,1950,estimates,female,5yearly,20_69,87.479
56,1950,estimates,male,5yearly,20_69,128.087
56,1950,estimates,female,5yearly,25plus,232.07
56,1950,estimates,male,5yearly,25plus,257.085
56,1950,estimates,female,5yearly,25_69,86.142
56,1950,estimates,male,5yearly,25_69,125.757
56,1950,estimates,female,5yearly,40plus,225.67
56,1950,estimates,male,5yearly,40plus,247.598
56,1950,estimates,female,5yearly,50plus,214.698
56,1950,estimates,male,5yearly,50plus,229.687
56,1950,estimates,female,5yearly,60plus,191.529
56,1950,estimates,male,5yearly,60plus,190.869
56,1950,estimates,female,5yearly,65plus,172.857
56,1950,estimates,male,5yearly,65plus,164.377
56,1950,estimates,female,5yearly,70plus,145.928
56,1950,estimates,male,5yearly,70plus,131.328
56,1950,estimates,female,5yearly,80plus,66.627
56,1950,estimates,male,5yearly,80plus,51.158
56,1950,estimates,female,5yearly,90plus,9.04
56,1950,estimates,male,5yearly,90plus,4.993
56,1955,estimates,female,5yearly,0_4,13.017
56,1955,estimates,male,5yearly,0_4,17.835
56,1955,estimates,female,5yearly,0_14,14.17
56,1955,estimates,male,5yearly,0_14,19.527
56,1955,estimates,female,5yearly,0_19,14.826
56,1955,estimates,male,5yearly,0_19,20.851
56,1955,estimates,female,5yearly,0_24,15.758
56,1955,estimates,male,5yearly,0_24,22.943
56,1955,estimates,female,5yearly,5_14,1.153
56,1955,estimates,male,5yearly,5_14,1.692
56,1955,estimates,female,5yearly,15plus,238.618
56,1955,estimates,male,5yearly,15plus,268.476
56,1955,estimates,female,5yearly,15_24,1.588
56,1955,estimates,male,5yearly,15_24,3.416
56,1955,estimates,female,5yearly,15_49,15.468
56,1955,estimates,male,5yearly,15_49,26.83
56,1955,estimates,female,5yearly,15_59,37.479
56,1955,estimates,male,5yearly,15_59,66.676
56,1955,estimates,female,5yearly,15_64,56.019
56,1955,estimates,male,5yearly,15_64,95.721
56,1955,estimates,female,5yearly,20plus,237.962
56,1955,estimates,male,5yearly,20plus,267.152
56,1955,estimates,female,5yearly,20_64,55.363
56,1955,estimates,male,5yearly,20_64,94.397
56,1955,estimates,female,5yearly,20_69,81.522
56,1955,estimates,male,5yearly,20_69,128.203
56,1955,estimates,female,5yearly,25plus,237.03
56,1955,estimates,male,5yearly,25plus,265.06
56,1955,estimates,female,5yearly,25_69,80.59
56,1955,estimates,male,5yearly,25_69,126.111
56,1955,estimates,female,5yearly,40plus,231.781
56,1955,estimates,male,5yearly,40plus,256.324
56,1955,estimates,female,5yearly,50plus,223.15
56,1955,estimates,male,5yearly,50plus,241.646
56,1955,estimates,female,5yearly,60plus,201.139
56,1955,estimates,male,5yearly,60plus,201.8
56,1955,estimates,female,5yearly,65plus,182.599
56,1955,estimates,male,5yearly,65plus,172.755
56,1955,estimates,female,5yearly,70plus,156.44
56,1955,estimates,male,5yearly,70plus,138.949
56,1955,estimates,female,5yearly,80plus,76.024
56,1955,estimates,male,5yearly,80plus,57.658
56,1955,estimates,female,5yearly,90plus,10.908
56,1955,estimates,male,5yearly,90plus,6.134
56,1960,estimates,female,5yearly,0_4,10.699
56,1960,estimates,male,5yearly,0_4,14.371
56,1960,estimates,female,5yearly,0_14,11.755
56,1960,estimates,male,5yearly,0_14,16.046
56,1960,estimates,female,5yearly,0_19,12.39
56,1960,estimates,male,5yearly,0_19,17.629
56,1960,estimates,female,5yearly,0_24,13.2
56,1960,estimates,male,5yearly,0_24,19.78
56,1960,estimates,female,5yearly,5_14,1.056
56,1960,estimates,male,5yearly,5_14,1.675
56,1960,estimates,female,5yearly,15plus,250.01
56,1960,estimates,male,5yearly,15plus,285.553
56,1960,estimates,female,5yearly,15_24,1.445
56,1960,estimates,male,5yearly,15_24,3.734
56,1960,estimates,female,5yearly,15_49,13.881
56,1960,estimates,male,5yearly,15_49,25.916
56,1960,estimates,female,5yearly,15_59,34.18
56,1960,estimates,male,5yearly,15_59,66.185
56,1960,estimates,female,5yearly,15_64,53.309
56,1960,estimates,male,5yearly,15_64,100.151
56,1960,estimates,female,5yearly,20plus,249.375
56,1960,estimates,male,5yearly,20plus,283.97
56,1960,estimates,female,5yearly,20_64,52.674
56,1960,estimates,male,5yearly,20_64,98.568
56,1960,estimates,female,5yearly,20_69,80.355
56,1960,estimates,male,5yearly,20_69,137.051
56,1960,estimates,female,5yearly,25plus,248.565
56,1960,estimates,male,5yearly,25plus,281.819
56,1960,estimates,female,5yearly,25_69,79.545
56,1960,estimates,male,5yearly,25_69,134.9
56,1960,estimates,female,5yearly,40plus,243.649
56,1960,estimates,male,5yearly,40plus,272.798
56,1960,estimates,female,5yearly,50plus,236.129
56,1960,estimates,male,5yearly,50plus,259.637
56,1960,estimates,female,5yearly,60plus,215.83
56,1960,estimates,male,5yearly,60plus,219.368
56,1960,estimates,female,5yearly,65plus,196.701
56,1960,estimates,male,5yearly,65plus,185.402
56,1960,estimates,female,5yearly,70plus,169.02
56,1960,estimates,male,5yearly,70plus,146.919
56,1960,estimates,female,5yearly,80plus,85.776
56,1960,estimates,male,5yearly,80plus,63.803
56,1960,estimates,female,5yearly,90plus,13.422
56,1960,estimates,male,5yearly,90plus,7.72
56,1965,estimates,female,5yearly,0_4,8.201
56,1965,estimates,male,5yearly,0_4,11.344
56,1965,estimates,female,5yearly,0_14,9.316
56,1965,estimates,male,5yearly,0_14,13.077
56,1965,estimates,female,5yearly,0_19,10.084
56,1965,estimates,male,5yearly,0_19,14.902
56,1965,estimates,female,5yearly,0_24,10.992
56,1965,estimates,male,5yearly,0_24,17.215
56,1965,estimates,female,5yearly,5_14,1.115
56,1965,estimates,male,5yearly,5_14,1.733
56,1965,estimates,female,5yearly,15plus,266.81
56,1965,estimates,male,5yearly,15plus,302.319
56,1965,estimates,female,5yearly,15_24,1.676
56,1965,estimates,male,5yearly,15_24,4.138
56,1965,estimates,female,5yearly,15_49,14.108
56,1965,estimates,male,5yearly,15_49,26.063
56,1965,estimates,female,5yearly,15_59,32.734
56,1965,estimates,male,5yearly,15_59,62.899
56,1965,estimates,female,5yearly,15_64,51.862
56,1965,estimates,male,5yearly,15_64,98.977
56,1965,estimates,female,5yearly,20plus,266.042
56,1965,estimates,male,5yearly,20plus,300.494
56,1965,estimates,female,5yearly,20_64,51.094
56,1965,estimates,male,5yearly,20_64,97.152
56,1965,estimates,female,5yearly,20_69,80.526
56,1965,estimates,male,5yearly,20_69,142.295
56,1965,estimates,female,5yearly,25plus,265.134
56,1965,estimates,male,5yearly,25plus,298.181
56,1965,estimates,female,5yearly,25_69,79.618
56,1965,estimates,male,5yearly,25_69,139.982
56,1965,estimates,female,5yearly,40plus,260.797
56,1965,estimates,male,5yearly,40plus,290.205
56,1965,estimates,female,5yearly,50plus,252.702
56,1965,estimates,male,5yearly,50plus,276.256
56,1965,estimates,female,5yearly,60plus,234.076
56,1965,estimates,male,5yearly,60plus,239.42
56,1965,estimates,female,5yearly,65plus,214.948
56,1965,estimates,male,5yearly,65plus,203.342
56,1965,estimates,female,5yearly,70plus,185.516
56,1965,estimates,male,5yearly,70plus,158.199
56,1965,estimates,female,5yearly,80plus,96.022
56,1965,estimates,male,5yearly,80plus,67.009
56,1965,estimates,female,5yearly,90plus,16.386
56,1965,estimates,male,5yearly,90plus,8.912
56,1970,estimates,female,5yearly,0_4,6.174
56,1970,estimates,male,5yearly,0_4,8.502
56,1970,estimates,female,5yearly,0_14,7.198
56,1970,estimates,male,5yearly,0_14,10.239
56,1970,estimates,female,5yearly,0_19,8.036
56,1970,estimates,male,5yearly,0_19,12.358
56,1970,estimates,female,5yearly,0_24,9.04
56,1970,estimates,male,5yearly,0_24,15.109
56,1970,estimates,female,5yearly,5_14,1.024
56,1970,estimates,male,5yearly,5_14,1.737
56,1970,estimates,female,5yearly,15plus,272.358
56,1970,estimates,male,5yearly,15plus,304.02
56,1970,estimates,female,5yearly,15_24,1.842
56,1970,estimates,male,5yearly,15_24,4.87
56,1970,estimates,female,5yearly,15_49,14.146
56,1970,estimates,male,5yearly,15_49,26.984
56,1970,estimates,female,5yearly,15_59,30.44
56,1970,estimates,male,5yearly,15_59,58.624
56,1970,estimates,female,5yearly,15_64,47.701
56,1970,estimates,male,5yearly,15_64,91.691
56,1970,estimates,female,5yearly,20plus,271.52
56,1970,estimates,male,5yearly,20plus,301.901
56,1970,estimates,female,5yearly,20_64,46.863
56,1970,estimates,male,5yearly,20_64,89.572
56,1970,estimates,female,5yearly,20_69,74.764
56,1970,estimates,male,5yearly,20_69,135.563
56,1970,estimates,female,5yearly,25plus,270.516
56,1970,estimates,male,5yearly,25plus,299.15
56,1970,estimates,female,5yearly,25_69,73.76
56,1970,estimates,male,5yearly,25_69,132.812
56,1970,estimates,female,5yearly,40plus,266.505
56,1970,estimates,male,5yearly,40plus,291.532
56,1970,estimates,female,5yearly,50plus,258.212
56,1970,estimates,male,5yearly,50plus,277.036
56,1970,estimates,female,5yearly,60plus,241.918
56,1970,estimates,male,5yearly,60plus,245.396
56,1970,estimates,female,5yearly,65plus,224.657
56,1970,estimates,male,5yearly,65plus,212.329
56,1970,estimates,female,5yearly,70plus,196.756
56,1970,estimates,male,5yearly,70plus,166.338
56,1970,estimates,female,5yearly,80plus,103.58
56,1970,estimates,male,5yearly,80plus,67.508
56,1970,estimates,female,5yearly,90plus,18.845
56,1970,estimates,male,5yearly,90plus,9.808
56,1975,estimates,female,5yearly,0_4,4.351
56,1975,estimates,male,5yearly,0_4,5.879
56,1975,estimates,female,5yearly,0_14,5.243
56,1975,estimates,male,5yearly,0_14,7.289
56,1975,estimates,female,5yearly,0_19,6.09
56,1975,estimates,male,5yearly,0_19,9.427
56,1975,estimates,female,5yearly,0_24,7.115
56,1975,estimates,male,5yearly,0_24,12.29
56,1975,estimates,female,5yearly,5_14,0.892
56,1975,estimates,male,5yearly,5_14,1.41
56,1975,estimates,female,5yearly,15plus,271.093
56,1975,estimates,male,5yearly,15plus,298.03
56,1975,estimates,female,5yearly,15_24,1.872
56,1975,estimates,male,5yearly,15_24,5.001
56,1975,estimates,female,5yearly,15_49,13.689
56,1975,estimates,male,5yearly,15_49,25.581
56,1975,estimates,female,5yearly,15_59,30.102
56,1975,estimates,male,5yearly,15_59,58.123
56,1975,estimates,female,5yearly,15_64,43.138
56,1975,estimates,male,5yearly,15_64,84.401
56,1975,estimates,female,5yearly,20plus,270.246
56,1975,estimates,male,5yearly,20plus,295.892
56,1975,estimates,female,5yearly,20_64,42.291
56,1975,estimates,male,5yearly,20_64,82.263
56,1975,estimates,female,5yearly,20_69,66.112
56,1975,estimates,male,5yearly,20_69,123.88
56,1975,estimates,female,5yearly,25plus,269.221
56,1975,estimates,male,5yearly,25plus,293.029
56,1975,estimates,female,5yearly,25_69,65.087
56,1975,estimates,male,5yearly,25_69,121.017
56,1975,estimates,female,5yearly,40plus,264.998
56,1975,estimates,male,5yearly,40plus,285.255
56,1975,estimates,female,5yearly,50plus,257.404
56,1975,estimates,male,5yearly,50plus,272.449
56,1975,estimates,female,5yearly,60plus,240.991
56,1975,estimates,male,5yearly,60plus,239.907
56,1975,estimates,female,5yearly,65plus,227.955
56,1975,estimates,male,5yearly,65plus,213.629
56,1975,estimates,female,5yearly,70plus,204.134
56,1975,estimates,male,5yearly,70plus,172.012
56,1975,estimates,female,5yearly,80plus,112.661
56,1975,estimates,male,5yearly,80plus,69.681
56,1975,estimates,female,5yearly,90plus,21.385
56,1975,estimates,male,5yearly,90plus,10.209
56,1980,estimates,female,5yearly,0_4,3.269
56,1980,estimates,male,5yearly,0_4,4.577
56,1980,estimates,female,5yearly,0_14,3.955
56,1980,estimates,male,5yearly,0_14,5.615
56,1980,estimates,female,5yearly,0_19,4.631
56,1980,estimates,male,5yearly,0_19,7.361
56,1980,estimates,female,5yearly,0_24,5.54
56,1980,estimates,male,5yearly,0_24,10.065
56,1980,estimates,female,5yearly,5_14,0.686
56,1980,estimates,male,5yearly,5_14,1.038
56,1980,estimates,female,5yearly,15plus,269.171
56,1980,estimates,male,5yearly,15plus,288.247
56,1980,estimates,female,5yearly,15_24,1.585
56,1980,estimates,male,5yearly,15_24,4.45
56,1980,estimates,female,5yearly,15_49,12.422
56,1980,estimates,male,5yearly,15_49,24.138
56,1980,estimates,female,5yearly,15_59,28.617
56,1980,estimates,male,5yearly,15_59,56.231
56,1980,estimates,female,5yearly,15_64,41.01
