variant,continent,year,dependencyratio1564
estimates,904,1950,78.098
estimates,904,1951,78.904
estimates,904,1952,79.716
estimates,904,1953,80.464
estimates,904,1954,81.092
estimates,904,1955,81.6
estimates,904,1956,82.779
estimates,904,1957,83.658
estimates,904,1958,84.373
estimates,904,1959,85.053
estimates,904,1960,85.744
estimates,904,1961,86.528
estimates,904,1962,87.364
estimates,904,1963,88.113
estimates,904,1964,88.561
estimates,904,1965,88.611
estimates,904,1966,88.94
estimates,904,1967,88.744
estimates,904,1968,88.204
estimates,904,1969,87.565
estimates,904,1970,86.937
estimates,904,1971,86.336
estimates,904,1972,85.769
estimates,904,1973,85.165
estimates,904,1974,84.409
estimates,904,1975,83.466
estimates,904,1976,82.719
estimates,904,1977,81.803
estimates,904,1978,80.778
estimates,904,1979,79.729
estimates,904,1980,78.7
estimates,904,1981,77.857
estimates,904,1982,76.982
estimates,904,1983,76.092
estimates,904,1984,75.183
estimates,904,1985,74.247
estimates,904,1986,73.377
estimates,904,1987,72.469
estimates,904,1988,71.527
estimates,904,1989,70.557
estimates,904,1990,69.562
estimates,904,1991,68.617
estimates,904,1992,67.642
estimates,904,1993,66.638
estimates,904,1994,65.615
estimates,904,1995,64.587
estimates,904,1996,63.654
estimates,904,1997,62.743
estimates,904,1998,61.844
estimates,904,1999,60.95
estimates,904,2000,60.063
estimates,904,2001,59.297
estimates,904,2002,58.522
estimates,904,2003,57.752
estimates,904,2004,57.003
estimates,904,2005,56.275
estimates,904,2006,55.54
estimates,904,2007,54.801
estimates,904,2008,54.07
estimates,904,2009,53.367
estimates,904,2010,52.707
estimates,904,2011,52.035
estimates,904,2012,51.454
estimates,904,2013,50.937
estimates,904,2014,50.451
estimates,904,2015,49.988
medium_variant,904,2015,49.988
medium_variant,904,2016,49.67
medium_variant,904,2017,49.341
medium_variant,904,2018,49.033
medium_variant,904,2019,48.793
medium_variant,904,2020,48.639
medium_variant,904,2021,48.531
medium_variant,904,2022,48.5
medium_variant,904,2023,48.533
medium_variant,904,2024,48.606
medium_variant,904,2025,48.706
medium_variant,904,2026,48.829
medium_variant,904,2027,48.981
medium_variant,904,2028,49.155
medium_variant,904,2029,49.349
medium_variant,904,2030,49.561
medium_variant,904,2031,49.765
medium_variant,904,2032,49.986
medium_variant,904,2033,50.225
medium_variant,904,2034,50.481
medium_variant,904,2035,50.756
medium_variant,904,2036,51.012
medium_variant,904,2037,51.286
medium_variant,904,2038,51.588
medium_variant,904,2039,51.931
medium_variant,904,2040,52.323
