variant,region,year,totalpopulationannualdoubletime
estimates,941,1950,36.334
estimates,941,1951,36.405
estimates,941,1952,36.221
estimates,941,1953,35.507
estimates,941,1954,34.498
estimates,941,1955,33.395
estimates,941,1956,32.354
estimates,941,1957,31.472
estimates,941,1958,30.798
estimates,941,1959,30.33
estimates,941,1960,30.004
estimates,941,1961,29.715
estimates,941,1962,29.342
estimates,941,1963,28.805
estimates,941,1964,28.158
estimates,941,1965,27.474
estimates,941,1966,26.882
estimates,941,1967,26.61
estimates,941,1968,26.815
estimates,941,1969,27.458
estimates,941,1970,28.359
estimates,941,1971,29.255
estimates,941,1972,29.854
estimates,941,1973,29.95
estimates,941,1974,29.56
estimates,941,1975,28.951
estimates,941,1976,28.387
estimates,941,1977,27.969
estimates,941,1978,27.715
estimates,941,1979,27.615
estimates,941,1980,27.575
estimates,941,1981,27.506
estimates,941,1982,27.373
estimates,941,1983,27.175
estimates,941,1984,26.919
estimates,941,1985,26.671
estimates,941,1986,26.469
estimates,941,1987,26.251
estimates,941,1988,25.964
estimates,941,1989,25.636
estimates,941,1990,25.297
estimates,941,1991,25.012
estimates,941,1992,24.918
estimates,941,1993,25.115
estimates,941,1994,25.582
estimates,941,1995,26.21
estimates,941,1996,26.853
estimates,941,1997,27.358
estimates,941,1998,27.619
estimates,941,1999,27.64
estimates,941,2000,27.538
estimates,941,2001,27.455
estimates,941,2002,27.498
estimates,941,2003,27.723
estimates,941,2004,28.121
estimates,941,2005,28.614
estimates,941,2006,29.087
estimates,941,2007,29.421
estimates,941,2008,29.538
estimates,941,2009,29.451
estimates,941,2010,29.272
estimates,941,2011,29.124
estimates,941,2012,29.062
estimates,941,2013,29.109
estimates,941,2014,29.265
estimates,941,2015,29.478
medium_variant,941,2015,29.478
medium_variant,941,2016,29.697
medium_variant,941,2017,29.929
medium_variant,941,2018,30.193
medium_variant,941,2019,30.484
medium_variant,941,2020,30.799
medium_variant,941,2021,31.13
medium_variant,941,2022,31.466
medium_variant,941,2023,31.796
medium_variant,941,2024,32.121
medium_variant,941,2025,32.447
medium_variant,941,2026,32.785
medium_variant,941,2027,33.134
medium_variant,941,2028,33.491
medium_variant,941,2029,33.856
medium_variant,941,2030,34.23
medium_variant,941,2031,34.614
medium_variant,941,2032,35.01
medium_variant,941,2033,35.419
medium_variant,941,2034,35.841
medium_variant,941,2035,36.277
medium_variant,941,2036,36.725
medium_variant,941,2037,37.187
medium_variant,941,2038,37.664
medium_variant,941,2039,38.155
medium_variant,941,2040,38.662
medium_variant,941,2041,39.182
medium_variant,941,2042,39.719
medium_variant,941,2043,40.275
medium_variant,941,2044,40.851
medium_variant,941,2045,41.445
medium_variant,941,2046,42.054
medium_variant,941,2047,42.675
medium_variant,941,2048,43.306
medium_variant,941,2049,43.947
medium_variant,941,2050,44.601
medium_variant,941,2051,45.272
medium_variant,941,2052,45.962
medium_variant,941,2053,46.674
medium_variant,941,2054,47.408
medium_variant,941,2055,48.162
medium_variant,941,2056,48.937
medium_variant,941,2057,49.731
medium_variant,941,2058,50.545
medium_variant,941,2059,51.382
medium_variant,941,2060,52.241
medium_variant,941,2061,53.123
medium_variant,941,2062,54.031
medium_variant,941,2063,54.962
medium_variant,941,2064,55.92
medium_variant,941,2065,56.905
medium_variant,941,2066,57.92
medium_variant,941,2067,58.965
medium_variant,941,2068,60.043
medium_variant,941,2069,61.154
medium_variant,941,2070,62.299
medium_variant,941,2071,63.48
medium_variant,941,2072,64.706
medium_variant,941,2073,65.985
medium_variant,941,2074,67.32
medium_variant,941,2075,68.706
medium_variant,941,2076,70.139
medium_variant,941,2077,71.613
medium_variant,941,2078,73.128
medium_variant,941,2079,74.683
medium_variant,941,2080,76.285
medium_variant,941,2081,77.939
medium_variant,941,2082,79.648
medium_variant,941,2083,81.413
medium_variant,941,2084,83.234
medium_variant,941,2085,85.116
medium_variant,941,2086,87.061
medium_variant,941,2087,89.071
medium_variant,941,2088,91.147
medium_variant,941,2089,93.293
medium_variant,941,2090,95.514
medium_variant,941,2091,97.814
medium_variant,941,2092,100.201
medium_variant,941,2093,102.679
medium_variant,941,2094,105.254
medium_variant,941,2095,107.931
medium_variant,941,2096,110.714
medium_variant,941,2097,113.61
medium_variant,941,2098,116.624
medium_variant,941,2099,119.762
