variant,region,year,gender,oldagedependencyratio2569
estimates,924,1950,male,10.626
estimates,924,1951,male,10.817
estimates,924,1952,male,10.937
estimates,924,1953,male,10.994
estimates,924,1954,male,10.992
estimates,924,1955,male,10.934
estimates,924,1956,male,11.096
estimates,924,1957,male,11.196
estimates,924,1958,male,11.238
estimates,924,1959,male,11.226
estimates,924,1960,male,11.168
estimates,924,1961,male,11.355
estimates,924,1962,male,11.483
estimates,924,1963,male,11.558
estimates,924,1964,male,11.584
estimates,924,1965,male,11.569
estimates,924,1966,male,11.806
estimates,924,1967,male,11.981
estimates,924,1968,male,12.105
estimates,924,1969,male,12.191
estimates,924,1970,male,12.249
estimates,924,1971,male,12.579
estimates,924,1972,male,12.849
estimates,924,1973,male,13.065
estimates,924,1974,male,13.238
estimates,924,1975,male,13.38
estimates,924,1976,male,13.787
estimates,924,1977,male,14.144
estimates,924,1978,male,14.443
estimates,924,1979,male,14.667
estimates,924,1980,male,14.808
estimates,924,1981,male,15.168
estimates,924,1982,male,15.442
estimates,924,1983,male,15.619
estimates,924,1984,male,15.681
estimates,924,1985,male,15.623
estimates,924,1986,male,15.735
estimates,924,1987,male,15.722
estimates,924,1988,male,15.634
estimates,924,1989,male,15.534
estimates,924,1990,male,15.457
estimates,924,1991,male,15.654
estimates,924,1992,male,15.839
estimates,924,1993,male,15.991
estimates,924,1994,male,16.081
estimates,924,1995,male,16.099
estimates,924,1996,male,16.294
estimates,924,1997,male,16.419
estimates,924,1998,male,16.488
estimates,924,1999,male,16.514
estimates,924,2000,male,16.509
estimates,924,2001,male,16.714
estimates,924,2002,male,16.875
estimates,924,2003,male,17.002
estimates,924,2004,male,17.099
estimates,924,2005,male,17.171
estimates,924,2006,male,17.443
estimates,924,2007,male,17.687
estimates,924,2008,male,17.915
estimates,924,2009,male,18.145
estimates,924,2010,male,18.393
estimates,924,2011,male,18.795
estimates,924,2012,male,19.19
estimates,924,2013,male,19.6
estimates,924,2014,male,20.054
estimates,924,2015,male,20.569
medium_variant,924,2015,male,20.569
medium_variant,924,2016,male,21.241
medium_variant,924,2017,male,21.952
medium_variant,924,2018,male,22.661
medium_variant,924,2019,male,23.311
medium_variant,924,2020,male,23.879
medium_variant,924,2021,male,24.441
medium_variant,924,2022,male,24.916
medium_variant,924,2023,male,25.347
medium_variant,924,2024,male,25.795
medium_variant,924,2025,male,26.295
medium_variant,924,2026,male,26.87
medium_variant,924,2027,male,27.468
medium_variant,924,2028,male,28.093
medium_variant,924,2029,male,28.742
medium_variant,924,2030,male,29.416
medium_variant,924,2031,male,30.109
medium_variant,924,2032,male,30.797
medium_variant,924,2033,male,31.477
medium_variant,924,2034,male,32.146
medium_variant,924,2035,male,32.802
medium_variant,924,2036,male,33.412
medium_variant,924,2037,male,33.981
medium_variant,924,2038,male,34.51
medium_variant,924,2039,male,34.994
medium_variant,924,2040,male,35.435
medium_variant,924,2041,male,35.8
medium_variant,924,2042,male,36.091
medium_variant,924,2043,male,36.33
medium_variant,924,2044,male,36.554
medium_variant,924,2045,male,36.802
medium_variant,924,2046,male,36.992
medium_variant,924,2047,male,37.165
medium_variant,924,2048,male,37.356
medium_variant,924,2049,male,37.594
medium_variant,924,2050,male,37.893
medium_variant,924,2051,male,38.138
medium_variant,924,2052,male,38.406
medium_variant,924,2053,male,38.706
medium_variant,924,2054,male,39.047
medium_variant,924,2055,male,39.449
medium_variant,924,2056,male,39.8
medium_variant,924,2057,male,40.159
medium_variant,924,2058,male,40.53
medium_variant,924,2059,male,40.921
medium_variant,924,2060,male,41.343
medium_variant,924,2061,male,41.673
medium_variant,924,2062,male,41.977
medium_variant,924,2063,male,42.264
medium_variant,924,2064,male,42.541
medium_variant,924,2065,male,42.823
medium_variant,924,2066,male,42.938
medium_variant,924,2067,male,43.003
medium_variant,924,2068,male,43.062
medium_variant,924,2069,male,43.159
medium_variant,924,2070,male,43.329
medium_variant,924,2071,male,43.35
medium_variant,924,2072,male,43.388
medium_variant,924,2073,male,43.475
medium_variant,924,2074,male,43.652
medium_variant,924,2075,male,43.953
medium_variant,924,2076,male,44.136
medium_variant,924,2077,male,44.383
medium_variant,924,2078,male,44.699
medium_variant,924,2079,male,45.084
medium_variant,924,2080,male,45.55
