variant,country,year,totaldeaths
estimates,368,1950,186.315
estimates,368,1951,181.581
estimates,368,1952,172.528
estimates,368,1953,164.303
estimates,368,1954,156.908
estimates,368,1955,150.339
estimates,368,1956,144.585
estimates,368,1957,139.622
estimates,368,1958,135.411
estimates,368,1959,131.886
estimates,368,1960,128.962
estimates,368,1961,126.543
estimates,368,1962,124.522
estimates,368,1963,122.797
estimates,368,1964,121.292
estimates,368,1965,119.972
estimates,368,1966,118.845
estimates,368,1967,117.957
estimates,368,1968,117.326
estimates,368,1969,116.926
estimates,368,1970,116.649
estimates,368,1971,116.363
estimates,368,1972,116.042
estimates,368,1973,115.741
estimates,368,1974,115.576
estimates,368,1975,115.944
estimates,368,1976,117.337
estimates,368,1977,119.961
estimates,368,1978,123.757
estimates,368,1979,128.439
estimates,368,1980,133.353
estimates,368,1981,137.658
estimates,368,1982,140.656
estimates,368,1983,141.91
estimates,368,1984,141.331
estimates,368,1985,139.104
estimates,368,1986,135.699
estimates,368,1987,131.892
estimates,368,1988,128.351
estimates,368,1989,125.416
estimates,368,1990,123.29
estimates,368,1991,121.986
estimates,368,1992,121.279
estimates,368,1993,120.996
estimates,368,1994,121.141
estimates,368,1995,121.721
estimates,368,1996,122.74
estimates,368,1997,124.2
estimates,368,1998,126.104
estimates,368,1999,128.454
estimates,368,2000,131.334
estimates,368,2001,134.854
estimates,368,2002,139.003
estimates,368,2003,143.681
estimates,368,2004,148.722
estimates,368,2005,153.852
estimates,368,2006,158.757
estimates,368,2007,163.207
estimates,368,2008,167.056
estimates,368,2009,170.252
estimates,368,2010,172.848
estimates,368,2011,174.997
estimates,368,2012,176.975
estimates,368,2013,179.018
estimates,368,2014,181.241
estimates,368,2015,183.711
medium_variant,368,2015,183.711
medium_variant,368,2016,186.428
medium_variant,368,2017,189.317
medium_variant,368,2018,192.331
medium_variant,368,2019,195.483
medium_variant,368,2020,198.782
medium_variant,368,2021,202.237
medium_variant,368,2022,205.863
medium_variant,368,2023,209.681
medium_variant,368,2024,213.713
medium_variant,368,2025,217.98
medium_variant,368,2026,222.5
medium_variant,368,2027,227.281
medium_variant,368,2028,232.335
medium_variant,368,2029,237.673
medium_variant,368,2030,243.309
medium_variant,368,2031,249.248
medium_variant,368,2032,255.486
medium_variant,368,2033,262.013
medium_variant,368,2034,268.823
medium_variant,368,2035,275.907
medium_variant,368,2036,283.249
medium_variant,368,2037,290.841
medium_variant,368,2038,298.676
medium_variant,368,2039,306.751
medium_variant,368,2040,315.077
medium_variant,368,2041,323.671
medium_variant,368,2042,332.543
medium_variant,368,2043,341.697
medium_variant,368,2044,351.126
medium_variant,368,2045,360.824
medium_variant,368,2046,370.782
medium_variant,368,2047,380.978
medium_variant,368,2048,391.385
medium_variant,368,2049,401.974
medium_variant,368,2050,412.729
medium_variant,368,2051,423.639
medium_variant,368,2052,434.692
medium_variant,368,2053,445.866
medium_variant,368,2054,457.134
medium_variant,368,2055,468.462
medium_variant,368,2056,479.82
medium_variant,368,2057,491.198
medium_variant,368,2058,502.589
medium_variant,368,2059,513.988
medium_variant,368,2060,525.396
medium_variant,368,2061,536.821
medium_variant,368,2062,548.287
medium_variant,368,2063,559.822
medium_variant,368,2064,571.446
medium_variant,368,2065,583.177
medium_variant,368,2066,595.031
medium_variant,368,2067,607.014
medium_variant,368,2068,619.131
medium_variant,368,2069,631.39
medium_variant,368,2070,643.789
medium_variant,368,2071,656.316
medium_variant,368,2072,668.964
medium_variant,368,2073,681.734
medium_variant,368,2074,694.636
medium_variant,368,2075,707.697
medium_variant,368,2076,720.947
medium_variant,368,2077,734.406
medium_variant,368,2078,748.08
medium_variant,368,2079,761.963
medium_variant,368,2080,776.034
medium_variant,368,2081,790.264
medium_variant,368,2082,804.616
medium_variant,368,2083,819.063
medium_variant,368,2084,833.592
medium_variant,368,2085,848.196
medium_variant,368,2086,862.875
medium_variant,368,2087,877.653
medium_variant,368,2088,892.551
medium_variant,368,2089,907.584
medium_variant,368,2090,922.766
medium_variant,368,2091,938.109
medium_variant,368,2092,953.622
medium_variant,368,2093,969.313
medium_variant,368,2094,985.187
medium_variant,368,2095,1001.247
medium_variant,368,2096,1017.496
medium_variant,368,2097,1033.934
medium_variant,368,2098,1050.561
medium_variant,368,2099,1067.378
