variant,country,year,totaldeaths
estimates,324,1950,106.701
estimates,324,1951,106.596
estimates,324,1952,106.401
estimates,324,1953,106.236
estimates,324,1954,106.102
estimates,324,1955,105.999
estimates,324,1956,105.933
estimates,324,1957,105.91
estimates,324,1958,105.942
estimates,324,1959,106.051
estimates,324,1960,106.259
estimates,324,1961,106.587
estimates,324,1962,107.048
estimates,324,1963,107.64
estimates,324,1964,108.339
estimates,324,1965,109.119
estimates,324,1966,109.95
estimates,324,1967,110.776
estimates,324,1968,111.534
estimates,324,1969,112.167
estimates,324,1970,112.595
estimates,324,1971,112.747
estimates,324,1972,112.613
estimates,324,1973,112.207
estimates,324,1974,111.557
estimates,324,1975,110.718
estimates,324,1976,109.769
estimates,324,1977,108.798
estimates,324,1978,107.881
estimates,324,1979,107.062
estimates,324,1980,106.324
estimates,324,1981,105.61
estimates,324,1982,104.876
estimates,324,1983,104.129
estimates,324,1984,103.432
estimates,324,1985,102.891
estimates,324,1986,102.631
estimates,324,1987,102.757
estimates,324,1988,103.348
estimates,324,1989,104.441
estimates,324,1990,106.074
estimates,324,1991,108.255
estimates,324,1992,110.885
estimates,324,1993,113.835
estimates,324,1994,116.993
estimates,324,1995,120.295
estimates,324,1996,123.707
estimates,324,1997,127.133
estimates,324,1998,130.415
estimates,324,1999,133.358
estimates,324,2000,135.638
estimates,324,2001,136.931
estimates,324,2002,137.127
estimates,324,2003,136.248
estimates,324,2004,134.402
estimates,324,2005,131.859
estimates,324,2006,128.998
estimates,324,2007,126.219
estimates,324,2008,123.836
estimates,324,2009,121.99
estimates,324,2010,120.695
estimates,324,2011,119.822
estimates,324,2012,119.101
estimates,324,2013,118.321
estimates,324,2014,117.426
estimates,324,2015,116.405
medium_variant,324,2015,116.405
medium_variant,324,2016,115.293
medium_variant,324,2017,114.187
medium_variant,324,2018,113.164
medium_variant,324,2019,112.249
medium_variant,324,2020,111.454
medium_variant,324,2021,110.776
medium_variant,324,2022,110.194
medium_variant,324,2023,109.693
medium_variant,324,2024,109.276
medium_variant,324,2025,108.948
medium_variant,324,2026,108.716
medium_variant,324,2027,108.587
medium_variant,324,2028,108.565
medium_variant,324,2029,108.653
medium_variant,324,2030,108.851
medium_variant,324,2031,109.154
medium_variant,324,2032,109.557
medium_variant,324,2033,110.06
medium_variant,324,2034,110.662
medium_variant,324,2035,111.368
medium_variant,324,2036,112.182
medium_variant,324,2037,113.109
medium_variant,324,2038,114.154
medium_variant,324,2039,115.32
medium_variant,324,2040,116.608
medium_variant,324,2041,118.017
medium_variant,324,2042,119.546
medium_variant,324,2043,121.194
medium_variant,324,2044,122.961
medium_variant,324,2045,124.852
medium_variant,324,2046,126.868
medium_variant,324,2047,129.013
medium_variant,324,2048,131.287
medium_variant,324,2049,133.69
medium_variant,324,2050,136.219
medium_variant,324,2051,138.871
medium_variant,324,2052,141.642
medium_variant,324,2053,144.532
medium_variant,324,2054,147.54
medium_variant,324,2055,150.671
medium_variant,324,2056,153.933
medium_variant,324,2057,157.329
medium_variant,324,2058,160.861
medium_variant,324,2059,164.526
medium_variant,324,2060,168.325
medium_variant,324,2061,172.255
medium_variant,324,2062,176.309
medium_variant,324,2063,180.475
medium_variant,324,2064,184.741
medium_variant,324,2065,189.096
medium_variant,324,2066,193.528
medium_variant,324,2067,198.031
medium_variant,324,2068,202.597
medium_variant,324,2069,207.222
medium_variant,324,2070,211.903
medium_variant,324,2071,216.644
medium_variant,324,2072,221.451
medium_variant,324,2073,226.326
medium_variant,324,2074,231.265
medium_variant,324,2075,236.262
medium_variant,324,2076,241.309
medium_variant,324,2077,246.401
medium_variant,324,2078,251.531
medium_variant,324,2079,256.696
medium_variant,324,2080,261.897
medium_variant,324,2081,267.14
medium_variant,324,2082,272.429
medium_variant,324,2083,277.765
medium_variant,324,2084,283.146
medium_variant,324,2085,288.57
medium_variant,324,2086,294.034
medium_variant,324,2087,299.532
medium_variant,324,2088,305.054
medium_variant,324,2089,310.59
medium_variant,324,2090,316.131
medium_variant,324,2091,321.67
medium_variant,324,2092,327.199
medium_variant,324,2093,332.714
medium_variant,324,2094,338.212
medium_variant,324,2095,343.69
medium_variant,324,2096,349.147
medium_variant,324,2097,354.583
medium_variant,324,2098,359.997
medium_variant,324,2099,365.389
