variant,country,year,totaldeaths
estimates,768,1950,44.735
estimates,768,1951,44.291
estimates,768,1952,43.422
estimates,768,1953,42.589
estimates,768,1954,41.791
estimates,768,1955,41.03
estimates,768,1956,40.31
estimates,768,1957,39.635
estimates,768,1958,39.014
estimates,768,1959,38.464
estimates,768,1960,38.004
estimates,768,1961,37.652
estimates,768,1962,37.425
estimates,768,1963,37.33
estimates,768,1964,37.363
estimates,768,1965,37.52
estimates,768,1966,37.79
estimates,768,1967,38.141
estimates,768,1968,38.54
estimates,768,1969,38.954
estimates,768,1970,39.346
estimates,768,1971,39.679
estimates,768,1972,39.942
estimates,768,1973,40.133
estimates,768,1974,40.253
estimates,768,1975,40.312
estimates,768,1976,40.331
estimates,768,1977,40.346
estimates,768,1978,40.389
estimates,768,1979,40.482
estimates,768,1980,40.642
estimates,768,1981,40.878
estimates,768,1982,41.184
estimates,768,1983,41.555
estimates,768,1984,41.992
estimates,768,1985,42.477
estimates,768,1986,42.981
estimates,768,1987,43.499
estimates,768,1988,44.045
estimates,768,1989,44.651
estimates,768,1990,45.392
estimates,768,1991,46.359
estimates,768,1992,47.599
estimates,768,1993,49.126
estimates,768,1994,50.914
estimates,768,1995,52.916
estimates,768,1996,55.063
estimates,768,1997,57.245
estimates,768,1998,59.352
estimates,768,1999,61.304
estimates,768,2000,63.032
estimates,768,2001,64.495
estimates,768,2002,65.703
estimates,768,2003,66.666
estimates,768,2004,67.373
estimates,768,2005,67.791
estimates,768,2006,67.889
estimates,768,2007,67.7
estimates,768,2008,67.287
estimates,768,2009,66.727
estimates,768,2010,66.128
estimates,768,2011,65.605
estimates,768,2012,65.244
estimates,768,2013,65.108
estimates,768,2014,65.234
estimates,768,2015,65.62
medium_variant,768,2015,65.62
medium_variant,768,2016,66.226
medium_variant,768,2017,66.965
medium_variant,768,2018,67.764
medium_variant,768,2019,68.596
medium_variant,768,2020,69.445
medium_variant,768,2021,70.312
medium_variant,768,2022,71.22
medium_variant,768,2023,72.186
medium_variant,768,2024,73.209
medium_variant,768,2025,74.287
medium_variant,768,2026,75.421
medium_variant,768,2027,76.605
medium_variant,768,2028,77.839
medium_variant,768,2029,79.121
medium_variant,768,2030,80.451
medium_variant,768,2031,81.829
medium_variant,768,2032,83.257
medium_variant,768,2033,84.736
medium_variant,768,2034,86.265
medium_variant,768,2035,87.845
medium_variant,768,2036,89.473
medium_variant,768,2037,91.15
medium_variant,768,2038,92.875
medium_variant,768,2039,94.65
medium_variant,768,2040,96.477
medium_variant,768,2041,98.36
medium_variant,768,2042,100.3
medium_variant,768,2043,102.297
medium_variant,768,2044,104.349
medium_variant,768,2045,106.45
medium_variant,768,2046,108.596
medium_variant,768,2047,110.782
medium_variant,768,2048,113.003
medium_variant,768,2049,115.254
medium_variant,768,2050,117.534
medium_variant,768,2051,119.846
medium_variant,768,2052,122.191
medium_variant,768,2053,124.57
medium_variant,768,2054,126.982
medium_variant,768,2055,129.424
medium_variant,768,2056,131.896
medium_variant,768,2057,134.394
medium_variant,768,2058,136.916
medium_variant,768,2059,139.457
medium_variant,768,2060,142.013
medium_variant,768,2061,144.58
medium_variant,768,2062,147.156
medium_variant,768,2063,149.742
medium_variant,768,2064,152.339
medium_variant,768,2065,154.946
medium_variant,768,2066,157.566
medium_variant,768,2067,160.202
medium_variant,768,2068,162.862
medium_variant,768,2069,165.553
medium_variant,768,2070,168.283
medium_variant,768,2071,171.058
medium_variant,768,2072,173.884
medium_variant,768,2073,176.763
medium_variant,768,2074,179.698
medium_variant,768,2075,182.693
medium_variant,768,2076,185.752
medium_variant,768,2077,188.87
medium_variant,768,2078,192.036
medium_variant,768,2079,195.241
medium_variant,768,2080,198.474
medium_variant,768,2081,201.726
medium_variant,768,2082,204.984
medium_variant,768,2083,208.237
medium_variant,768,2084,211.472
medium_variant,768,2085,214.682
medium_variant,768,2086,217.863
medium_variant,768,2087,221.016
medium_variant,768,2088,224.139
medium_variant,768,2089,227.228
medium_variant,768,2090,230.278
medium_variant,768,2091,233.286
medium_variant,768,2092,236.249
medium_variant,768,2093,239.167
medium_variant,768,2094,242.038
medium_variant,768,2095,244.863
medium_variant,768,2096,247.641
medium_variant,768,2097,250.372
medium_variant,768,2098,253.055
medium_variant,768,2099,255.692
