variant,country,year,totaldeaths
estimates,498,1950,35.268
estimates,498,1951,35.219
estimates,498,1952,35.131
estimates,498,1953,35.064
estimates,498,1954,35.017
estimates,498,1955,34.989
estimates,498,1956,34.976
estimates,498,1957,34.973
estimates,498,1958,34.972
estimates,498,1959,34.956
estimates,498,1960,34.909
estimates,498,1961,34.815
estimates,498,1962,34.666
estimates,498,1963,34.466
estimates,498,1964,34.235
estimates,498,1965,34.007
estimates,498,1966,33.824
estimates,498,1967,33.73
estimates,498,1968,33.758
estimates,498,1969,33.929
estimates,498,1970,34.253
estimates,498,1971,34.727
estimates,498,1972,35.323
estimates,498,1973,36.017
estimates,498,1974,36.797
estimates,498,1975,37.686
estimates,498,1976,38.718
estimates,498,1977,39.888
estimates,498,1978,41.155
estimates,498,1979,42.454
estimates,498,1980,43.654
estimates,498,1981,44.608
estimates,498,1982,45.234
estimates,498,1983,45.505
estimates,498,1984,45.446
estimates,498,1985,45.154
estimates,498,1986,44.775
estimates,498,1987,44.475
estimates,498,1988,44.379
estimates,498,1989,44.538
estimates,498,1990,44.973
estimates,498,1991,45.652
estimates,498,1992,46.464
estimates,498,1993,47.302
estimates,498,1994,48.104
estimates,498,1995,48.789
estimates,498,1996,49.289
estimates,498,1997,49.591
estimates,498,1998,49.705
estimates,498,1999,49.65
estimates,498,2000,49.496
estimates,498,2001,49.341
estimates,498,2002,49.265
estimates,498,2003,49.31
estimates,498,2004,49.47
estimates,498,2005,49.669
estimates,498,2006,49.792
estimates,498,2007,49.737
estimates,498,2008,49.45
estimates,498,2009,48.943
estimates,498,2010,48.289
estimates,498,2011,47.598
estimates,498,2012,46.999
estimates,498,2013,46.581
estimates,498,2014,46.376
estimates,498,2015,46.375
medium_variant,498,2015,46.375
medium_variant,498,2016,46.526
medium_variant,498,2017,46.739
medium_variant,498,2018,46.942
medium_variant,498,2019,47.113
medium_variant,498,2020,47.246
medium_variant,498,2021,47.356
medium_variant,498,2022,47.48
medium_variant,498,2023,47.646
medium_variant,498,2024,47.862
medium_variant,498,2025,48.133
medium_variant,498,2026,48.459
medium_variant,498,2027,48.83
medium_variant,498,2028,49.233
medium_variant,498,2029,49.662
medium_variant,498,2030,50.109
medium_variant,498,2031,50.569
medium_variant,498,2032,51.038
medium_variant,498,2033,51.504
medium_variant,498,2034,51.956
medium_variant,498,2035,52.385
medium_variant,498,2036,52.783
medium_variant,498,2037,53.145
medium_variant,498,2038,53.467
medium_variant,498,2039,53.742
medium_variant,498,2040,53.967
medium_variant,498,2041,54.136
medium_variant,498,2042,54.255
medium_variant,498,2043,54.327
medium_variant,498,2044,54.355
medium_variant,498,2045,54.341
medium_variant,498,2046,54.286
medium_variant,498,2047,54.195
medium_variant,498,2048,54.077
medium_variant,498,2049,53.94
medium_variant,498,2050,53.792
medium_variant,498,2051,53.639
medium_variant,498,2052,53.487
medium_variant,498,2053,53.342
medium_variant,498,2054,53.212
medium_variant,498,2055,53.105
medium_variant,498,2056,53.028
medium_variant,498,2057,52.979
medium_variant,498,2058,52.956
medium_variant,498,2059,52.954
medium_variant,498,2060,52.971
medium_variant,498,2061,53.002
medium_variant,498,2062,53.038
medium_variant,498,2063,53.067
medium_variant,498,2064,53.078
medium_variant,498,2065,53.062
medium_variant,498,2066,53.015
medium_variant,498,2067,52.931
medium_variant,498,2068,52.804
medium_variant,498,2069,52.619
medium_variant,498,2070,52.365
medium_variant,498,2071,52.029
medium_variant,498,2072,51.607
medium_variant,498,2073,51.098
medium_variant,498,2074,50.5
medium_variant,498,2075,49.812
medium_variant,498,2076,49.037
medium_variant,498,2077,48.184
medium_variant,498,2078,47.27
medium_variant,498,2079,46.31
medium_variant,498,2080,45.313
medium_variant,498,2081,44.29
medium_variant,498,2082,43.249
medium_variant,498,2083,42.206
medium_variant,498,2084,41.175
medium_variant,498,2085,40.17
medium_variant,498,2086,39.201
medium_variant,498,2087,38.272
medium_variant,498,2088,37.387
medium_variant,498,2089,36.557
medium_variant,498,2090,35.786
medium_variant,498,2091,35.077
medium_variant,498,2092,34.431
medium_variant,498,2093,33.848
medium_variant,498,2094,33.326
medium_variant,498,2095,32.866
medium_variant,498,2096,32.466
medium_variant,498,2097,32.127
medium_variant,498,2098,31.848
medium_variant,498,2099,31.63
