variant,country,year,populationnaturalchange
estimates,740,1950,7.245
estimates,740,1951,7.348
estimates,740,1952,7.568
estimates,740,1953,7.808
estimates,740,1954,8.069
estimates,740,1955,8.349
estimates,740,1956,8.648
estimates,740,1957,8.962
estimates,740,1958,9.285
estimates,740,1959,9.609
estimates,740,1960,9.918
estimates,740,1961,10.201
estimates,740,1962,10.443
estimates,740,1963,10.631
estimates,740,1964,10.758
estimates,740,1965,10.817
estimates,740,1966,10.809
estimates,740,1967,10.744
estimates,740,1968,10.631
estimates,740,1969,10.476
estimates,740,1970,10.279
estimates,740,1971,10.035
estimates,740,1972,9.75
estimates,740,1973,9.437
estimates,740,1974,9.109
estimates,740,1975,8.793
estimates,740,1976,8.513
estimates,740,1977,8.284
estimates,740,1978,8.116
estimates,740,1979,8.013
estimates,740,1980,7.971
estimates,740,1981,7.977
estimates,740,1982,8.009
estimates,740,1983,8.049
estimates,740,1984,8.087
estimates,740,1985,8.119
estimates,740,1986,8.148
estimates,740,1987,8.178
estimates,740,1988,8.214
estimates,740,1989,8.249
estimates,740,1990,8.275
estimates,740,1991,8.286
estimates,740,1992,8.275
estimates,740,1993,8.239
estimates,740,1994,8.175
estimates,740,1995,8.087
estimates,740,1996,7.976
estimates,740,1997,7.849
estimates,740,1998,7.716
estimates,740,1999,7.58
estimates,740,2000,7.447
estimates,740,2001,7.321
estimates,740,2002,7.203
estimates,740,2003,7.094
estimates,740,2004,6.995
estimates,740,2005,6.907
estimates,740,2006,6.831
estimates,740,2007,6.763
estimates,740,2008,6.701
estimates,740,2009,6.643
estimates,740,2010,6.583
estimates,740,2011,6.519
estimates,740,2012,6.45
estimates,740,2013,6.373
estimates,740,2014,6.287
estimates,740,2015,6.192
medium_variant,740,2015,6.192
medium_variant,740,2016,6.086
medium_variant,740,2017,5.974
medium_variant,740,2018,5.856
medium_variant,740,2019,5.733
medium_variant,740,2020,5.607
medium_variant,740,2021,5.476
medium_variant,740,2022,5.34
medium_variant,740,2023,5.2
medium_variant,740,2024,5.056
medium_variant,740,2025,4.909
medium_variant,740,2026,4.758
medium_variant,740,2027,4.605
medium_variant,740,2028,4.45
medium_variant,740,2029,4.293
medium_variant,740,2030,4.134
medium_variant,740,2031,3.974
medium_variant,740,2032,3.812
medium_variant,740,2033,3.65
medium_variant,740,2034,3.487
medium_variant,740,2035,3.325
medium_variant,740,2036,3.164
medium_variant,740,2037,3.005
medium_variant,740,2038,2.848
medium_variant,740,2039,2.694
medium_variant,740,2040,2.542
medium_variant,740,2041,2.393
medium_variant,740,2042,2.246
medium_variant,740,2043,2.102
medium_variant,740,2044,1.961
medium_variant,740,2045,1.823
medium_variant,740,2046,1.689
medium_variant,740,2047,1.56
medium_variant,740,2048,1.435
medium_variant,740,2049,1.316
medium_variant,740,2050,1.201
medium_variant,740,2051,1.09
medium_variant,740,2052,0.984
medium_variant,740,2053,0.881
medium_variant,740,2054,0.782
medium_variant,740,2055,0.685
medium_variant,740,2056,0.591
medium_variant,740,2057,0.499
medium_variant,740,2058,0.409
medium_variant,740,2059,0.32
medium_variant,740,2060,0.234
medium_variant,740,2061,0.149
medium_variant,740,2062,0.066
medium_variant,740,2063,-0.015
medium_variant,740,2064,-0.096
medium_variant,740,2065,-0.175
medium_variant,740,2066,-0.255
medium_variant,740,2067,-0.333
medium_variant,740,2068,-0.412
medium_variant,740,2069,-0.49
medium_variant,740,2070,-0.568
medium_variant,740,2071,-0.645
medium_variant,740,2072,-0.719
medium_variant,740,2073,-0.791
medium_variant,740,2074,-0.86
medium_variant,740,2075,-0.927
medium_variant,740,2076,-0.991
medium_variant,740,2077,-1.053
medium_variant,740,2078,-1.115
medium_variant,740,2079,-1.174
medium_variant,740,2080,-1.231
medium_variant,740,2081,-1.285
medium_variant,740,2082,-1.336
medium_variant,740,2083,-1.384
medium_variant,740,2084,-1.427
medium_variant,740,2085,-1.467
medium_variant,740,2086,-1.503
medium_variant,740,2087,-1.536
medium_variant,740,2088,-1.567
medium_variant,740,2089,-1.595
medium_variant,740,2090,-1.621
medium_variant,740,2091,-1.646
medium_variant,740,2092,-1.668
medium_variant,740,2093,-1.691
medium_variant,740,2094,-1.712
medium_variant,740,2095,-1.731
medium_variant,740,2096,-1.75
medium_variant,740,2097,-1.767
medium_variant,740,2098,-1.784
medium_variant,740,2099,-1.8
