variant,country,year,populationnaturalchange
estimates,28,1950,1.225
estimates,28,1951,1.242
estimates,28,1952,1.272
estimates,28,1953,1.3
estimates,28,1954,1.322
estimates,28,1955,1.341
estimates,28,1956,1.356
estimates,28,1957,1.369
estimates,28,1958,1.379
estimates,28,1959,1.389
estimates,28,1960,1.401
estimates,28,1961,1.416
estimates,28,1962,1.437
estimates,28,1963,1.462
estimates,28,1964,1.491
estimates,28,1965,1.522
estimates,28,1966,1.551
estimates,28,1967,1.574
estimates,28,1968,1.588
estimates,28,1969,1.59
estimates,28,1970,1.575
estimates,28,1971,1.541
estimates,28,1972,1.49
estimates,28,1973,1.423
estimates,28,1974,1.347
estimates,28,1975,1.267
estimates,28,1976,1.192
estimates,28,1977,1.128
estimates,28,1978,1.079
estimates,28,1979,1.046
estimates,28,1980,1.029
estimates,28,1981,1.02
estimates,28,1982,1.014
estimates,28,1983,1.005
estimates,28,1984,0.991
estimates,28,1985,0.97
estimates,28,1986,0.945
estimates,28,1987,0.917
estimates,28,1988,0.892
estimates,28,1989,0.871
estimates,28,1990,0.857
estimates,28,1991,0.856
estimates,28,1992,0.868
estimates,28,1993,0.894
estimates,28,1994,0.93
estimates,28,1995,0.975
estimates,28,1996,1.025
estimates,28,1997,1.073
estimates,28,1998,1.117
estimates,28,1999,1.152
estimates,28,2000,1.175
estimates,28,2001,1.186
estimates,28,2002,1.188
estimates,28,2003,1.182
estimates,28,2004,1.17
estimates,28,2005,1.154
estimates,28,2006,1.135
estimates,28,2007,1.117
estimates,28,2008,1.101
estimates,28,2009,1.087
estimates,28,2010,1.077
estimates,28,2011,1.07
estimates,28,2012,1.066
estimates,28,2013,1.063
estimates,28,2014,1.06
estimates,28,2015,1.057
medium_variant,28,2015,1.057
medium_variant,28,2016,1.055
medium_variant,28,2017,1.051
medium_variant,28,2018,1.047
medium_variant,28,2019,1.042
medium_variant,28,2020,1.034
medium_variant,28,2021,1.025
medium_variant,28,2022,1.014
medium_variant,28,2023,1.002
medium_variant,28,2024,0.986
medium_variant,28,2025,0.969
medium_variant,28,2026,0.949
medium_variant,28,2027,0.928
medium_variant,28,2028,0.905
medium_variant,28,2029,0.879
medium_variant,28,2030,0.853
medium_variant,28,2031,0.825
medium_variant,28,2032,0.795
medium_variant,28,2033,0.765
medium_variant,28,2034,0.733
medium_variant,28,2035,0.701
medium_variant,28,2036,0.669
medium_variant,28,2037,0.636
medium_variant,28,2038,0.603
medium_variant,28,2039,0.57
medium_variant,28,2040,0.538
medium_variant,28,2041,0.504
medium_variant,28,2042,0.473
medium_variant,28,2043,0.441
medium_variant,28,2044,0.41
medium_variant,28,2045,0.38
medium_variant,28,2046,0.351
medium_variant,28,2047,0.324
medium_variant,28,2048,0.296
medium_variant,28,2049,0.272
medium_variant,28,2050,0.247
medium_variant,28,2051,0.225
medium_variant,28,2052,0.204
medium_variant,28,2053,0.185
medium_variant,28,2054,0.167
medium_variant,28,2055,0.151
medium_variant,28,2056,0.136
medium_variant,28,2057,0.123
medium_variant,28,2058,0.113
medium_variant,28,2059,0.103
medium_variant,28,2060,0.094
medium_variant,28,2061,0.087
medium_variant,28,2062,0.08
medium_variant,28,2063,0.075
medium_variant,28,2064,0.07
medium_variant,28,2065,0.066
medium_variant,28,2066,0.061
medium_variant,28,2067,0.055
medium_variant,28,2068,0.049
medium_variant,28,2069,0.043
medium_variant,28,2070,0.034
medium_variant,28,2071,0.024
medium_variant,28,2072,0.014
medium_variant,28,2073,0.002
medium_variant,28,2074,-0.011
medium_variant,28,2075,-0.024
medium_variant,28,2076,-0.037
medium_variant,28,2077,-0.052
medium_variant,28,2078,-0.067
medium_variant,28,2079,-0.081
medium_variant,28,2080,-0.096
medium_variant,28,2081,-0.11
medium_variant,28,2082,-0.123
medium_variant,28,2083,-0.136
medium_variant,28,2084,-0.148
medium_variant,28,2085,-0.159
medium_variant,28,2086,-0.17
medium_variant,28,2087,-0.179
medium_variant,28,2088,-0.188
medium_variant,28,2089,-0.196
medium_variant,28,2090,-0.203
medium_variant,28,2091,-0.21
medium_variant,28,2092,-0.216
medium_variant,28,2093,-0.221
medium_variant,28,2094,-0.225
medium_variant,28,2095,-0.229
medium_variant,28,2096,-0.232
medium_variant,28,2097,-0.233
medium_variant,28,2098,-0.235
medium_variant,28,2099,-0.235
