variant,country,year,populationnaturalchange
estimates,24,1950,114.122
estimates,24,1951,113.7
estimates,24,1952,113.149
estimates,24,1953,113.187
estimates,24,1954,113.815
estimates,24,1955,115.025
estimates,24,1956,116.799
estimates,24,1957,119.108
estimates,24,1958,121.901
estimates,24,1959,125.089
estimates,24,1960,128.567
estimates,24,1961,132.237
estimates,24,1962,136.009
estimates,24,1963,139.845
estimates,24,1964,143.776
estimates,24,1965,147.902
estimates,24,1966,152.368
estimates,24,1967,157.347
estimates,24,1968,162.97
estimates,24,1969,169.303
estimates,24,1970,176.425
estimates,24,1971,184.388
estimates,24,1972,193.081
estimates,24,1973,202.347
estimates,24,1974,212.031
estimates,24,1975,221.883
estimates,24,1976,231.636
estimates,24,1977,241.131
estimates,24,1978,250.293
estimates,24,1979,259.12
estimates,24,1980,267.761
estimates,24,1981,276.466
estimates,24,1982,285.497
estimates,24,1983,295.018
estimates,24,1984,305.044
estimates,24,1985,315.415
estimates,24,1986,325.862
estimates,24,1987,336.147
estimates,24,1988,346.155
estimates,24,1989,355.941
estimates,24,1990,365.533
estimates,24,1991,375.002
estimates,24,1992,384.672
estimates,24,1993,394.965
estimates,24,1994,406.286
estimates,24,1995,419.147
estimates,24,1996,434.021
estimates,24,1997,451.135
estimates,24,1998,470.613
estimates,24,1999,492.514
estimates,24,2000,516.922
estimates,24,2001,543.821
estimates,24,2002,572.774
estimates,24,2003,603.214
estimates,24,2004,634.621
estimates,24,2005,666.426
estimates,24,2006,698.121
estimates,24,2007,729.334
estimates,24,2008,759.722
estimates,24,2009,788.962
estimates,24,2010,816.756
estimates,24,2011,842.969
estimates,24,2012,867.864
estimates,24,2013,891.778
estimates,24,2014,914.949
estimates,24,2015,937.694
medium_variant,24,2015,937.694
medium_variant,24,2016,960.353
medium_variant,24,2017,983.231
medium_variant,24,2018,1006.592
medium_variant,24,2019,1030.629
medium_variant,24,2020,1055.469
medium_variant,24,2021,1081.129
medium_variant,24,2022,1107.412
medium_variant,24,2023,1134.121
medium_variant,24,2024,1161.155
medium_variant,24,2025,1188.419
medium_variant,24,2026,1215.834
medium_variant,24,2027,1243.316
medium_variant,24,2028,1270.763
medium_variant,24,2029,1298.068
medium_variant,24,2030,1325.156
medium_variant,24,2031,1351.995
medium_variant,24,2032,1378.577
medium_variant,24,2033,1404.873
medium_variant,24,2034,1430.816
medium_variant,24,2035,1456.343
medium_variant,24,2036,1481.41
medium_variant,24,2037,1505.995
medium_variant,24,2038,1530.073
medium_variant,24,2039,1553.606
medium_variant,24,2040,1576.562
medium_variant,24,2041,1598.924
medium_variant,24,2042,1620.705
medium_variant,24,2043,1641.928
medium_variant,24,2044,1662.599
medium_variant,24,2045,1682.738
medium_variant,24,2046,1702.369
medium_variant,24,2047,1721.515
medium_variant,24,2048,1740.193
medium_variant,24,2049,1758.415
medium_variant,24,2050,1776.188
medium_variant,24,2051,1793.511
medium_variant,24,2052,1810.368
medium_variant,24,2053,1826.739
medium_variant,24,2054,1842.615
medium_variant,24,2055,1857.998
medium_variant,24,2056,1872.896
medium_variant,24,2057,1887.301
medium_variant,24,2058,1901.187
medium_variant,24,2059,1914.518
medium_variant,24,2060,1927.268
medium_variant,24,2061,1939.419
medium_variant,24,2062,1950.931
medium_variant,24,2063,1961.75
medium_variant,24,2064,1971.813
medium_variant,24,2065,1981.054
medium_variant,24,2066,1989.415
medium_variant,24,2067,1996.869
medium_variant,24,2068,2003.393
medium_variant,24,2069,2008.961
medium_variant,24,2070,2013.563
medium_variant,24,2071,2017.201
medium_variant,24,2072,2019.912
medium_variant,24,2073,2021.737
medium_variant,24,2074,2022.701
medium_variant,24,2075,2022.839
medium_variant,24,2076,2022.184
medium_variant,24,2077,2020.751
medium_variant,24,2078,2018.542
medium_variant,24,2079,2015.555
medium_variant,24,2080,2011.754
medium_variant,24,2081,2007.092
medium_variant,24,2082,2001.532
medium_variant,24,2083,1995.064
medium_variant,24,2084,1987.709
medium_variant,24,2085,1979.512
medium_variant,24,2086,1970.539
medium_variant,24,2087,1960.854
medium_variant,24,2088,1950.504
medium_variant,24,2089,1939.506
medium_variant,24,2090,1927.851
medium_variant,24,2091,1915.514
medium_variant,24,2092,1902.46
medium_variant,24,2093,1888.654
medium_variant,24,2094,1874.065
medium_variant,24,2095,1858.676
medium_variant,24,2096,1842.476
medium_variant,24,2097,1825.459
medium_variant,24,2098,1807.622
medium_variant,24,2099,1788.966
