variant,country,year,populationnaturalchange
estimates,604,1950,201.001
estimates,604,1951,204.168
estimates,604,1952,210.862
estimates,604,1953,218.271
estimates,604,1954,226.397
estimates,604,1955,235.228
estimates,604,1956,244.731
estimates,604,1957,254.848
estimates,604,1958,265.473
estimates,604,1959,276.428
estimates,604,1960,287.495
estimates,604,1961,298.443
estimates,604,1962,309.031
estimates,604,1963,319.073
estimates,604,1964,328.478
estimates,604,1965,337.199
estimates,604,1966,345.273
estimates,604,1967,352.92
estimates,604,1968,360.376
estimates,604,1969,367.802
estimates,604,1970,375.511
estimates,604,1971,383.835
estimates,604,1972,392.84
estimates,604,1973,402.432
estimates,604,1974,412.408
estimates,604,1975,422.265
estimates,604,1976,431.364
estimates,604,1977,439.237
estimates,604,1978,445.65
estimates,604,1979,450.639
estimates,604,1980,454.599
estimates,604,1981,458.172
estimates,604,1982,462.018
estimates,604,1983,466.565
estimates,604,1984,471.878
estimates,604,1985,477.809
estimates,604,1986,483.998
estimates,604,1987,489.843
estimates,604,1988,494.82
estimates,604,1989,498.659
estimates,604,1990,501.103
estimates,604,1991,502.02
estimates,604,1992,501.583
estimates,604,1993,500.021
estimates,604,1994,497.494
estimates,604,1995,494.215
estimates,604,1996,490.421
estimates,604,1997,486.359
estimates,604,1998,482.255
estimates,604,1999,478.283
estimates,604,2000,474.511
estimates,604,2001,470.9
estimates,604,2002,467.351
estimates,604,2003,463.823
estimates,604,2004,460.398
estimates,604,2005,457.293
estimates,604,2006,454.773
estimates,604,2007,452.932
estimates,604,2008,451.724
estimates,604,2009,450.992
estimates,604,2010,450.424
estimates,604,2011,449.626
estimates,604,2012,448.216
estimates,604,2013,445.911
estimates,604,2014,442.578
estimates,604,2015,438.189
medium_variant,604,2015,438.189
medium_variant,604,2016,432.857
medium_variant,604,2017,426.877
medium_variant,604,2018,420.52
medium_variant,604,2019,413.915
medium_variant,604,2020,407.153
medium_variant,604,2021,400.274
medium_variant,604,2022,393.258
medium_variant,604,2023,386.106
medium_variant,604,2024,378.863
medium_variant,604,2025,371.57
medium_variant,604,2026,364.246
medium_variant,604,2027,356.893
medium_variant,604,2028,349.515
medium_variant,604,2029,342.131
medium_variant,604,2030,334.755
medium_variant,604,2031,327.399
medium_variant,604,2032,320.054
medium_variant,604,2033,312.709
medium_variant,604,2034,305.353
medium_variant,604,2035,297.982
medium_variant,604,2036,290.589
medium_variant,604,2037,283.157
medium_variant,604,2038,275.663
medium_variant,604,2039,268.087
medium_variant,604,2040,260.4
medium_variant,604,2041,252.575
medium_variant,604,2042,244.605
medium_variant,604,2043,236.482
medium_variant,604,2044,228.207
medium_variant,604,2045,219.771
medium_variant,604,2046,211.172
medium_variant,604,2047,202.433
medium_variant,604,2048,193.59
medium_variant,604,2049,184.674
medium_variant,604,2050,175.722
medium_variant,604,2051,166.766
medium_variant,604,2052,157.835
medium_variant,604,2053,148.954
medium_variant,604,2054,140.152
medium_variant,604,2055,131.443
medium_variant,604,2056,122.828
medium_variant,604,2057,114.294
medium_variant,604,2058,105.839
medium_variant,604,2059,97.467
medium_variant,604,2060,89.191
medium_variant,604,2061,81.017
medium_variant,604,2062,72.951
medium_variant,604,2063,65
medium_variant,604,2064,57.173
medium_variant,604,2065,49.476
medium_variant,604,2066,41.912
medium_variant,604,2067,34.479
medium_variant,604,2068,27.176
medium_variant,604,2069,20.002
medium_variant,604,2070,12.947
medium_variant,604,2071,5.995
medium_variant,604,2072,-0.855
medium_variant,604,2073,-7.595
medium_variant,604,2074,-14.208
medium_variant,604,2075,-20.666
medium_variant,604,2076,-26.933
medium_variant,604,2077,-32.983
medium_variant,604,2078,-38.798
medium_variant,604,2079,-44.373
medium_variant,604,2080,-49.719
medium_variant,604,2081,-54.859
medium_variant,604,2082,-59.825
medium_variant,604,2083,-64.634
medium_variant,604,2084,-69.288
medium_variant,604,2085,-73.768
medium_variant,604,2086,-78.041
medium_variant,604,2087,-82.084
medium_variant,604,2088,-85.889
medium_variant,604,2089,-89.468
medium_variant,604,2090,-92.847
medium_variant,604,2091,-96.061
medium_variant,604,2092,-99.143
medium_variant,604,2093,-102.123
medium_variant,604,2094,-105.029
medium_variant,604,2095,-107.876
medium_variant,604,2096,-110.67
medium_variant,604,2097,-113.419
medium_variant,604,2098,-116.122
medium_variant,604,2099,-118.78
