variant,country,year,populationnaturalchange
estimates,8,1950,26.215
estimates,8,1951,27.523
estimates,8,1952,30.121
estimates,8,1953,32.687
estimates,8,1954,35.219
estimates,8,1955,37.713
estimates,8,1956,40.152
estimates,8,1957,42.517
estimates,8,1958,44.77
estimates,8,1959,46.837
estimates,8,1960,48.644
estimates,8,1961,50.116
estimates,8,1962,51.189
estimates,8,1963,51.84
estimates,8,1964,52.104
estimates,8,1965,52.063
estimates,8,1966,51.832
estimates,8,1967,51.55
estimates,8,1968,51.334
estimates,8,1969,51.25
estimates,8,1970,51.328
estimates,8,1971,51.554
estimates,8,1972,51.861
estimates,8,1973,52.196
estimates,8,1974,52.552
estimates,8,1975,52.923
estimates,8,1976,53.309
estimates,8,1977,53.721
estimates,8,1978,54.174
estimates,8,1979,54.684
estimates,8,1980,55.321
estimates,8,1981,56.174
estimates,8,1982,57.251
estimates,8,1983,58.495
estimates,8,1984,59.803
estimates,8,1985,61.003
estimates,8,1986,61.896
estimates,8,1987,62.316
estimates,8,1988,62.149
estimates,8,1989,61.342
estimates,8,1990,59.884
estimates,8,1991,57.821
estimates,8,1992,55.318
estimates,8,1993,52.54
estimates,8,1994,49.599
estimates,8,1995,46.602
estimates,8,1996,43.63
estimates,8,1997,40.713
estimates,8,1998,37.882
estimates,8,1999,35.176
estimates,8,2000,32.585
estimates,8,2001,30.056
estimates,8,2002,27.546
estimates,8,2003,25.051
estimates,8,2004,22.622
estimates,8,2005,20.374
estimates,8,2006,18.452
estimates,8,2007,16.941
estimates,8,2008,15.875
estimates,8,2009,15.228
estimates,8,2010,14.91
estimates,8,2011,14.786
estimates,8,2012,14.693
estimates,8,2013,14.503
estimates,8,2014,14.155
estimates,8,2015,13.636
medium_variant,8,2015,13.636
medium_variant,8,2016,12.981
medium_variant,8,2017,12.285
medium_variant,8,2018,11.615
medium_variant,8,2019,10.984
medium_variant,8,2020,10.393
medium_variant,8,2021,9.828
medium_variant,8,2022,9.258
medium_variant,8,2023,8.654
medium_variant,8,2024,8.005
medium_variant,8,2025,7.299
medium_variant,8,2026,6.529
medium_variant,8,2027,5.7
medium_variant,8,2028,4.821
medium_variant,8,2029,3.898
medium_variant,8,2030,2.935
medium_variant,8,2031,1.936
medium_variant,8,2032,0.913
medium_variant,8,2033,-0.119
medium_variant,8,2034,-1.143
medium_variant,8,2035,-2.143
medium_variant,8,2036,-3.108
medium_variant,8,2037,-4.029
medium_variant,8,2038,-4.898
medium_variant,8,2039,-5.706
medium_variant,8,2040,-6.443
medium_variant,8,2041,-7.107
medium_variant,8,2042,-7.702
medium_variant,8,2043,-8.236
medium_variant,8,2044,-8.71
medium_variant,8,2045,-9.13
medium_variant,8,2046,-9.498
medium_variant,8,2047,-9.821
medium_variant,8,2048,-10.108
medium_variant,8,2049,-10.367
medium_variant,8,2050,-10.603
medium_variant,8,2051,-10.822
medium_variant,8,2052,-11.025
medium_variant,8,2053,-11.218
medium_variant,8,2054,-11.407
medium_variant,8,2055,-11.595
medium_variant,8,2056,-11.789
medium_variant,8,2057,-11.985
medium_variant,8,2058,-12.188
medium_variant,8,2059,-12.4
medium_variant,8,2060,-12.624
medium_variant,8,2061,-12.861
medium_variant,8,2062,-13.112
medium_variant,8,2063,-13.374
medium_variant,8,2064,-13.645
medium_variant,8,2065,-13.922
medium_variant,8,2066,-14.207
medium_variant,8,2067,-14.494
medium_variant,8,2068,-14.777
medium_variant,8,2069,-15.051
medium_variant,8,2070,-15.31
medium_variant,8,2071,-15.551
medium_variant,8,2072,-15.767
medium_variant,8,2073,-15.959
medium_variant,8,2074,-16.122
medium_variant,8,2075,-16.256
medium_variant,8,2076,-16.362
medium_variant,8,2077,-16.441
medium_variant,8,2078,-16.498
medium_variant,8,2079,-16.531
medium_variant,8,2080,-16.542
medium_variant,8,2081,-16.531
medium_variant,8,2082,-16.494
medium_variant,8,2083,-16.436
medium_variant,8,2084,-16.353
medium_variant,8,2085,-16.246
medium_variant,8,2086,-16.115
medium_variant,8,2087,-15.96
medium_variant,8,2088,-15.782
medium_variant,8,2089,-15.579
medium_variant,8,2090,-15.354
medium_variant,8,2091,-15.107
medium_variant,8,2092,-14.835
medium_variant,8,2093,-14.541
medium_variant,8,2094,-14.225
medium_variant,8,2095,-13.888
medium_variant,8,2096,-13.527
medium_variant,8,2097,-13.143
medium_variant,8,2098,-12.738
medium_variant,8,2099,-12.311
