variant,country,year,gender,childdependencyratio2569
estimates,226,1950,male,123.195
estimates,226,1951,male,125.461
estimates,226,1952,male,128.13
estimates,226,1953,male,130.081
estimates,226,1954,male,131.107
estimates,226,1955,male,131.493
estimates,226,1956,male,134.077
estimates,226,1957,male,135.438
estimates,226,1958,male,136.276
estimates,226,1959,male,137.107
estimates,226,1960,male,138.071
estimates,226,1961,male,139.442
estimates,226,1962,male,140.814
estimates,226,1963,male,142.043
estimates,226,1964,male,142.952
estimates,226,1965,male,143.526
estimates,226,1966,male,145.49
estimates,226,1967,male,147.116
estimates,226,1968,male,148.281
estimates,226,1969,male,148.652
estimates,226,1970,male,147.812
estimates,226,1971,male,149.893
estimates,226,1972,male,151.173
estimates,226,1973,male,151.731
estimates,226,1974,male,152.023
estimates,226,1975,male,152.617
estimates,226,1976,male,151.974
estimates,226,1977,male,151.505
estimates,226,1978,male,151.436
estimates,226,1979,male,152.09
estimates,226,1980,male,154.081
estimates,226,1981,male,156.109
estimates,226,1982,male,158.128
estimates,226,1983,male,160.19
estimates,226,1984,male,161.87
estimates,226,1985,male,162.684
estimates,226,1986,male,165.804
estimates,226,1987,male,167.771
estimates,226,1988,male,168.863
estimates,226,1989,male,169.5
estimates,226,1990,male,169.954
estimates,226,1991,male,169.743
estimates,226,1992,male,169.045
estimates,226,1993,male,167.856
estimates,226,1994,male,166.224
estimates,226,1995,male,164.296
estimates,226,1996,male,165.79
estimates,226,1997,male,165.905
estimates,226,1998,male,164.65
estimates,226,1999,male,162.118
estimates,226,2000,male,158.415
estimates,226,2001,male,157.981
estimates,226,2002,male,155.919
estimates,226,2003,male,152.594
estimates,226,2004,male,148.324
estimates,226,2005,male,143.39
estimates,226,2006,male,141.962
estimates,226,2007,male,139.192
estimates,226,2008,male,135.404
estimates,226,2009,male,130.936
estimates,226,2010,male,126.002
estimates,226,2011,male,125.593
estimates,226,2012,male,124.12
estimates,226,2013,male,121.777
estimates,226,2014,male,118.764
estimates,226,2015,male,115.188
medium_variant,226,2015,male,115.188
medium_variant,226,2016,male,116.755
medium_variant,226,2017,male,117.175
medium_variant,226,2018,male,116.516
medium_variant,226,2019,male,114.836
medium_variant,226,2020,male,112.196
medium_variant,226,2021,male,113.401
medium_variant,226,2022,male,113.746
medium_variant,226,2023,male,113.354
medium_variant,226,2024,male,112.364
medium_variant,226,2025,male,110.83
medium_variant,226,2026,male,110.652
medium_variant,226,2027,male,110.302
medium_variant,226,2028,male,109.687
medium_variant,226,2029,male,108.673
medium_variant,226,2030,male,107.173
medium_variant,226,2031,male,106.261
medium_variant,226,2032,male,105.182
medium_variant,226,2033,male,103.94
medium_variant,226,2034,male,102.55
medium_variant,226,2035,male,101.02
medium_variant,226,2036,male,100.381
medium_variant,226,2037,male,99.605
medium_variant,226,2038,male,98.666
medium_variant,226,2039,male,97.519
medium_variant,226,2040,male,96.141
medium_variant,226,2041,male,95.269
medium_variant,226,2042,male,94.269
medium_variant,226,2043,male,93.15
medium_variant,226,2044,male,91.922
medium_variant,226,2045,male,90.591
medium_variant,226,2046,male,89.701
medium_variant,226,2047,male,88.753
medium_variant,226,2048,male,87.766
medium_variant,226,2049,male,86.766
medium_variant,226,2050,male,85.759
medium_variant,226,2051,male,85.214
medium_variant,226,2052,male,84.66
medium_variant,226,2053,male,84.087
medium_variant,226,2054,male,83.48
medium_variant,226,2055,male,82.826
medium_variant,226,2056,male,82.555
medium_variant,226,2057,male,82.239
medium_variant,226,2058,male,81.872
medium_variant,226,2059,male,81.444
medium_variant,226,2060,male,80.947
medium_variant,226,2061,male,80.763
medium_variant,226,2062,male,80.515
medium_variant,226,2063,male,80.187
medium_variant,226,2064,male,79.754
medium_variant,226,2065,male,79.198
medium_variant,226,2066,male,78.863
medium_variant,226,2067,male,78.425
medium_variant,226,2068,male,77.897
medium_variant,226,2069,male,77.297
medium_variant,226,2070,male,76.634
medium_variant,226,2071,male,76.216
medium_variant,226,2072,male,75.74
medium_variant,226,2073,male,75.203
medium_variant,226,2074,male,74.603
medium_variant,226,2075,male,73.937
medium_variant,226,2076,male,73.469
medium_variant,226,2077,male,72.951
medium_variant,226,2078,male,72.385
