continent,year,variant,age5yearinterval,population
903,1950,estimates,"Region, subregion, country or area *",AFRICA
903,1950,estimates,0_4,38705.13
903,1950,estimates,5_9,29830.8
903,1950,estimates,10_14,25987.871
903,1950,estimates,15_19,23239.664
903,1950,estimates,20_24,20348.62
903,1950,estimates,25_29,17383.181
903,1950,estimates,30_34,14877.315
903,1950,estimates,35_39,12610.645
903,1950,estimates,40_44,10838.845
903,1950,estimates,45_49,9081.022
903,1950,estimates,50_54,7588.283
903,1950,estimates,55_59,6065.865
903,1950,estimates,60_64,4686.607
903,1950,estimates,65_69,3392.073
903,1950,estimates,70_74,2198.478
903,1950,estimates,75_79,1153.826
903,1950,estimates,80plus,681.794
903,1955,estimates,"Region, subregion, country or area *",AFRICA
903,1955,estimates,0_4,44304.214
903,1955,estimates,5_9,33955.606
903,1955,estimates,10_14,28662.422
903,1955,estimates,15_19,25171.813
903,1955,estimates,20_24,22259.345
903,1955,estimates,25_29,19309.155
903,1955,estimates,30_34,16427.09
903,1955,estimates,35_39,13998.472
903,1955,estimates,40_44,11788.561
903,1955,estimates,45_49,10059.652
903,1955,estimates,50_54,8303.683
903,1955,estimates,55_59,6754.713
903,1955,estimates,60_64,5143.279
903,1955,estimates,65_69,3666.228
903,1955,estimates,70_74,2327.36
903,1955,estimates,75_79,1224.136
903,1955,estimates,80plus,639.296
903,1960,estimates,"Region, subregion, country or area *",AFRICA
903,1960,estimates,0_4,50491.498
903,1960,estimates,5_9,39491.394
903,1960,estimates,10_14,32763.119
903,1960,estimates,15_19,27753.231
903,1960,estimates,20_24,24131.407
903,1960,estimates,25_29,21216.818
903,1960,estimates,30_34,18373.786
903,1960,estimates,35_39,15557.699
903,1960,estimates,40_44,13159.582
903,1960,estimates,45_49,11002.731
903,1960,estimates,50_54,9253.85
903,1960,estimates,55_59,7443.205
903,1960,estimates,60_64,5789.528
903,1960,estimates,65_69,4083.559
903,1960,estimates,70_74,2576.687
903,1960,estimates,75_79,1348.278
903,1960,estimates,80plus,705.634
903,1965,estimates,"Region, subregion, country or area *",AFRICA
903,1965,estimates,0_4,57690.106
903,1965,estimates,5_9,45574.716
903,1965,estimates,10_14,38252.246
903,1965,estimates,15_19,31714.457
903,1965,estimates,20_24,26590.665
903,1965,estimates,25_29,23023.907
903,1965,estimates,30_34,20250.409
903,1965,estimates,35_39,17471.335
903,1965,estimates,40_44,14687.997
903,1965,estimates,45_49,12332.629
903,1965,estimates,50_54,10163.265
903,1965,estimates,55_59,8346.735
903,1965,estimates,60_64,6429.663
903,1965,estimates,65_69,4657.853
903,1965,estimates,70_74,2922.771
903,1965,estimates,75_79,1540.583
903,1965,estimates,80plus,821.297
903,1970,estimates,"Region, subregion, country or area *",AFRICA
903,1970,estimates,0_4,65452.817
903,1970,estimates,5_9,52547.319
903,1970,estimates,10_14,44249.246
903,1970,estimates,15_19,37199.381
903,1970,estimates,20_24,30464.167
903,1970,estimates,25_29,25436.919
903,1970,estimates,30_34,22027.732
903,1970,estimates,35_39,19319.564
903,1970,estimates,40_44,16580.406
903,1970,estimates,45_49,13834.882
903,1970,estimates,50_54,11455.477
903,1970,estimates,55_59,9216.91
903,1970,estimates,60_64,7271.6
