continent,year,variant,age5yearinterval,population
909,1950,estimates,0_4,1530.197
909,1950,estimates,5_9,1216.778
909,1950,estimates,10_14,1026.222
909,1950,estimates,15_19,949.655
909,1950,estimates,20_24,1014.068
909,1950,estimates,25_29,1019.24
909,1950,estimates,30_34,923.328
909,1950,estimates,35_39,903.244
909,1950,estimates,40_44,797.377
909,1950,estimates,45_49,691.602
909,1950,estimates,50_54,615.284
909,1950,estimates,55_59,546.212
909,1950,estimates,60_64,482.157
909,1950,estimates,65_69,376.394
909,1950,estimates,70_74,264.624
909,1950,estimates,75_79,160.222
909,1950,estimates,80plus,131.172
909,1955,estimates,0_4,1735.566
909,1955,estimates,5_9,1550.01
909,1955,estimates,10_14,1247.221
909,1955,estimates,15_19,1050.457
909,1955,estimates,20_24,986.331
909,1955,estimates,25_29,1071.284
909,1955,estimates,30_34,1070.35
909,1955,estimates,35_39,947.798
909,1955,estimates,40_44,918.664
909,1955,estimates,45_49,793.214
909,1955,estimates,50_54,671.608
909,1955,estimates,55_59,578.834
909,1955,estimates,60_64,499.308
909,1955,estimates,65_69,417.123
909,1955,estimates,70_74,301.634
909,1955,estimates,75_79,188.081
909,1955,estimates,80plus,149.23
909,1960,estimates,0_4,1934.541
909,1960,estimates,5_9,1742.832
909,1960,estimates,10_14,1586.366
909,1960,estimates,15_19,1265.882
909,1960,estimates,20_24,1095.278
909,1960,estimates,25_29,1037.36
909,1960,estimates,30_34,1106.302
909,1960,estimates,35_39,1088.171
909,1960,estimates,40_44,950.731
909,1960,estimates,45_49,908.994
909,1960,estimates,50_54,768.366
909,1960,estimates,55_59,633.292
909,1960,estimates,60_64,533.588
909,1960,estimates,65_69,436.235
909,1960,estimates,70_74,341.234
909,1960,estimates,75_79,218.096
909,1960,estimates,80plus,177.956
909,1965,estimates,0_4,2081.892
909,1965,estimates,5_9,1951.361
909,1965,estimates,10_14,1776.623
909,1965,estimates,15_19,1613.897
909,1965,estimates,20_24,1309.437
909,1965,estimates,25_29,1146.74
909,1965,estimates,30_34,1066.286
909,1965,estimates,35_39,1122.174
909,1965,estimates,40_44,1089.561
909,1965,estimates,45_49,937.173
909,1965,estimates,50_54,878.132
909,1965,estimates,55_59,729.371
909,1965,estimates,60_64,583.524
909,1965,estimates,65_69,471.544
909,1965,estimates,70_74,357.48
909,1965,estimates,75_79,246.838
909,1965,estimates,80plus,209.2
909,1970,estimates,0_4,2217.967
909,1970,estimates,5_9,2147.139
909,1970,estimates,10_14,2054.021
909,1970,estimates,15_19,1812.472
909,1970,estimates,20_24,1712.652
909,1970,estimates,25_29,1380.176
909,1970,estimates,30_34,1202.314
909,1970,estimates,35_39,1098.171
909,1970,estimates,40_44,1153.435
909,1970,estimates,45_49,1100.482
909,1970,estimates,50_54,917.546
909,1970,estimates,55_59,836.855
909,1970,estimates,60_64,681.696
909,1970,estimates,65_69,520.944
909,1970,estimates,70_74,387.76
909,1970,estimates,75_79,258.105
909,1970,estimates,80plus,236.299
909,1975,estimates,0_4,2331.857
909,1975,estimates,5_9,2203.398
909,1975,estimates,10_14,2185.324
909,1975,estimates,15_19,2035.78
909,1975,estimates,20_24,1840.668
909,1975,estimates,25_29,1727.088
909,1975,estimates,30_34,1409.252
909,1975,estimates,35_39,1221.508
909,1975,estimates,40_44,1110.572
909,1975,estimates,45_49,1124.149
909,1975,estimates,50_54,1057.009
909,1975,estimates,55_59,871.343
909,1975,estimates,60_64,781.134
909,1975,estimates,65_69,606.198
909,1975,estimates,70_74,441.114
909,1975,estimates,75_79,287.466
909,1975,estimates,80plus,272.995
909,1980,estimates,0_4,2240.934
909,1980,estimates,5_9,2325.854
909,1980,estimates,10_14,2224.36
909,1980,estimates,15_19,2184.659
909,1980,estimates,20_24,2016.912
909,1980,estimates,25_29,1848.531
909,1980,estimates,30_34,1737.219
909,1980,estimates,35_39,1397.421
909,1980,estimates,40_44,1194.122
909,1980,estimates,45_49,1077.98
909,1980,estimates,50_54,1083.485
909,1980,estimates,55_59,999.947
909,1980,estimates,60_64,810.258
909,1980,estimates,65_69,702.037
909,1980,estimates,70_74,510.787
909,1980,estimates,75_79,333.684
909,1980,estimates,80plus,316.878
909,1985,estimates,0_4,2388.919
909,1985,estimates,5_9,2263.664
909,1985,estimates,10_14,2365.562
909,1985,estimates,15_19,2243.59
909,1985,estimates,20_24,2186.895
909,1985,estimates,25_29,2049.751
909,1985,estimates,30_34,1901.414
909,1985,estimates,35_39,1768.85
909,1985,estimates,40_44,1405.826
909,1985,estimates,45_49,1186.777
909,1985,estimates,50_54,1055.957
909,1985,estimates,55_59,1041.236
909,1985,estimates,60_64,947.669
909,1985,estimates,65_69,739.054
909,1985,estimates,70_74,605.67
909,1985,estimates,75_79,401.663
909,1985,estimates,80plus,376.9
909,1990,estimates,0_4,2533.445
909,1990,estimates,5_9,2424.067
909,1990,estimates,10_14,2310.487
909,1990,estimates,15_19,2397.902
909,1990,estimates,20_24,2248.85
909,1990,estimates,25_29,2231.577
909,1990,estimates,30_34,2124.385
909,1990,estimates,35_39,1936.942
909,1990,estimates,40_44,1791.767
909,1990,estimates,45_49,1405.249
909,1990,estimates,50_54,1168.981
909,1990,estimates,55_59,1031.81
909,1990,estimates,60_64,996.741
909,1990,estimates,65_69,873.831
909,1990,estimates,70_74,647.256
909,1990,estimates,75_79,485.337
909,1990,estimates,80_84,283.378
909,1990,estimates,85_89,126.853
909,1990,estimates,90_94,42.351
909,1990,estimates,95_99,9.255
909,1990,estimates,100plus,0.997
909,1995,estimates,0_4,2681.49
909,1995,estimates,5_9,2549.481
909,1995,estimates,10_14,2459.378
909,1995,estimates,15_19,2343.859
909,1995,estimates,20_24,2396.168
909,1995,estimates,25_29,2260.683
909,1995,estimates,30_34,2283.751
909,1995,estimates,35_39,2154.048
909,1995,estimates,40_44,1961.932
909,1995,estimates,45_49,1779.564
909,1995,estimates,50_54,1378.857
909,1995,estimates,55_59,1136.879
909,1995,estimates,60_64,988.421
909,1995,estimates,65_69,923.393
909,1995,estimates,70_74,774.073
909,1995,estimates,75_79,526.903
909,1995,estimates,80_84,353.295
909,1995,estimates,85_89,165.659
909,1995,estimates,90_94,54.467
909,1995,estimates,95_99,11.598
909,1995,estimates,100plus,1.415
909,2000,estimates,0_4,2760.662
909,2000,estimates,5_9,2715.54
909,2000,estimates,10_14,2581.493
909,2000,estimates,15_19,2466.781
909,2000,estimates,20_24,2288.474
909,2000,estimates,25_29,2390.522
909,2000,estimates,30_34,2282.055
909,2000,estimates,35_39,2339.601
909,2000,estimates,40_44,2159.228
909,2000,estimates,45_49,1943.654
909,2000,estimates,50_54,1772.705
909,2000,estimates,55_59,1338.552
909,2000,estimates,60_64,1099.012
909,2000,estimates,65_69,922.478
909,2000,estimates,70_74,831.849
909,2000,estimates,75_79,651.906
909,2000,estimates,80_84,381.82
909,2000,estimates,85_89,213.883
909,2000,estimates,90_94,72.701
909,2000,estimates,95_99,14.789
909,2000,estimates,100plus,1.717
909,2005,estimates,0_4,2819.515
909,2005,estimates,5_9,2779.113
909,2005,estimates,10_14,2747.614
909,2005,estimates,15_19,2623.653
909,2005,estimates,20_24,2549.962
909,2005,estimates,25_29,2332.508
909,2005,estimates,30_34,2460.851
909,2005,estimates,35_39,2334.308
909,2005,estimates,40_44,2373.113
909,2005,estimates,45_49,2171.816
909,2005,estimates,50_54,1910.396
909,2005,estimates,55_59,1734.033
909,2005,estimates,60_64,1289.694
909,2005,estimates,65_69,1034.958
909,2005,estimates,70_74,833.95
909,2005,estimates,75_79,707.332
909,2005,estimates,80_84,503.029
909,2005,estimates,85_89,241.057
909,2005,estimates,90_94,98.097
909,2005,estimates,95_99,20.43
909,2005,estimates,100plus,2.208
909,2010,estimates,0_4,3101.37
909,2010,estimates,5_9,2874.697
909,2010,estimates,10_14,2832.529
909,2010,estimates,15_19,2817.777
909,2010,estimates,20_24,2841.419
909,2010,estimates,25_29,2748.45
909,2010,estimates,30_34,2477.003
909,2010,estimates,35_39,2559.422
909,2010,estimates,40_44,2386.165
909,2010,estimates,45_49,2375.973
909,2010,estimates,50_54,2143.053
909,2010,estimates,55_59,1866.236
909,2010,estimates,60_64,1669.092
909,2010,estimates,65_69,1229.619
909,2010,estimates,70_74,951.787
909,2010,estimates,75_79,722.572
909,2010,estimates,80_84,561.763
909,2010,estimates,85_89,329.286
909,2010,estimates,90_94,115.548
909,2010,estimates,95_99,28.727
909,2010,estimates,100plus,3.078
909,2015,constant_fertility,0_4,3225.113
909,2015,constant_mortality,0_4,3225.113
909,2015,estimates,0_4,3225.113
909,2015,high_variant,0_4,3225.113
909,2015,instant_replacement,0_4,3225.113
909,2015,low_variant,0_4,3225.113
909,2015,medium_variant,0_4,3225.113
909,2015,momentum,0_4,3225.113
909,2015,no_change,0_4,3225.113
909,2015,zero_migration,0_4,3225.113
909,2015,constant_fertility,5_9,3149.712
909,2015,constant_mortality,5_9,3149.712
909,2015,estimates,5_9,3149.712
909,2015,high_variant,5_9,3149.712
909,2015,instant_replacement,5_9,3149.712
909,2015,low_variant,5_9,3149.712
909,2015,medium_variant,5_9,3149.712
909,2015,momentum,5_9,3149.712
909,2015,no_change,5_9,3149.712
909,2015,zero_migration,5_9,3149.712
909,2015,constant_fertility,10_14,2938.738
909,2015,constant_mortality,10_14,2938.738
909,2015,estimates,10_14,2938.738
909,2015,high_variant,10_14,2938.738
909,2015,instant_replacement,10_14,2938.738
909,2015,low_variant,10_14,2938.738
909,2015,medium_variant,10_14,2938.738
909,2015,momentum,10_14,2938.738
909,2015,no_change,10_14,2938.738
909,2015,zero_migration,10_14,2938.738
909,2015,constant_fertility,15_19,2927.586
909,2015,constant_mortality,15_19,2927.586
909,2015,estimates,15_19,2927.586
909,2015,high_variant,15_19,2927.586
909,2015,instant_replacement,15_19,2927.586
909,2015,low_variant,15_19,2927.586
909,2015,medium_variant,15_19,2927.586
909,2015,momentum,15_19,2927.586
909,2015,no_change,15_19,2927.586
909,2015,zero_migration,15_19,2927.586
909,2015,constant_fertility,20_24,2990.886
909,2015,constant_mortality,20_24,2990.886
909,2015,estimates,20_24,2990.886
909,2015,high_variant,20_24,2990.886
909,2015,instant_replacement,20_24,2990.886
909,2015,low_variant,20_24,2990.886
909,2015,medium_variant,20_24,2990.886
909,2015,momentum,20_24,2990.886
909,2015,no_change,20_24,2990.886
909,2015,zero_migration,20_24,2990.886
909,2015,constant_fertility,25_29,2953.819
909,2015,constant_mortality,25_29,2953.819
909,2015,estimates,25_29,2953.819
909,2015,high_variant,25_29,2953.819
909,2015,instant_replacement,25_29,2953.819
909,2015,low_variant,25_29,2953.819
909,2015,medium_variant,25_29,2953.819
909,2015,momentum,25_29,2953.819
909,2015,no_change,25_29,2953.819
909,2015,zero_migration,25_29,2953.819
909,2015,constant_fertility,30_34,2843.593
909,2015,constant_mortality,30_34,2843.593
909,2015,estimates,30_34,2843.593
909,2015,high_variant,30_34,2843.593
909,2015,instant_replacement,30_34,2843.593
909,2015,low_variant,30_34,2843.593
909,2015,medium_variant,30_34,2843.593
909,2015,momentum,30_34,2843.593
909,2015,no_change,30_34,2843.593
909,2015,zero_migration,30_34,2843.593
909,2015,constant_fertility,35_39,2559.166
909,2015,constant_mortality,35_39,2559.166
909,2015,estimates,35_39,2559.166
909,2015,high_variant,35_39,2559.166
909,2015,instant_replacement,35_39,2559.166
909,2015,low_variant,35_39,2559.166
909,2015,medium_variant,35_39,2559.166
909,2015,momentum,35_39,2559.166
909,2015,no_change,35_39,2559.166
909,2015,zero_migration,35_39,2559.166
909,2015,constant_fertility,40_44,2586.818
909,2015,constant_mortality,40_44,2586.818
909,2015,estimates,40_44,2586.818
909,2015,high_variant,40_44,2586.818
909,2015,instant_replacement,40_44,2586.818
909,2015,low_variant,40_44,2586.818
909,2015,medium_variant,40_44,2586.818
909,2015,momentum,40_44,2586.818
909,2015,no_change,40_44,2586.818
909,2015,zero_migration,40_44,2586.818
909,2015,constant_fertility,45_49,2404.398
909,2015,constant_mortality,45_49,2404.398
909,2015,estimates,45_49,2404.398
909,2015,high_variant,45_49,2404.398
909,2015,instant_replacement,45_49,2404.398
909,2015,low_variant,45_49,2404.398
909,2015,medium_variant,45_49,2404.398
909,2015,momentum,45_49,2404.398
909,2015,no_change,45_49,2404.398
909,2015,zero_migration,45_49,2404.398
909,2015,constant_fertility,50_54,2340.317
909,2015,constant_mortality,50_54,2340.317
909,2015,estimates,50_54,2340.317
909,2015,high_variant,50_54,2340.317
909,2015,instant_replacement,50_54,2340.317
909,2015,low_variant,50_54,2340.317
909,2015,medium_variant,50_54,2340.317
909,2015,momentum,50_54,2340.317
909,2015,no_change,50_54,2340.317
909,2015,zero_migration,50_54,2340.317
909,2015,constant_fertility,55_59,2102.443
909,2015,constant_mortality,55_59,2102.443
909,2015,estimates,55_59,2102.443
909,2015,high_variant,55_59,2102.443
909,2015,instant_replacement,55_59,2102.443
909,2015,low_variant,55_59,2102.443
909,2015,medium_variant,55_59,2102.443
909,2015,momentum,55_59,2102.443
909,2015,no_change,55_59,2102.443
909,2015,zero_migration,55_59,2102.443
909,2015,constant_fertility,60_64,1807.565
909,2015,constant_mortality,60_64,1807.565
909,2015,estimates,60_64,1807.565
909,2015,high_variant,60_64,1807.565
909,2015,instant_replacement,60_64,1807.565
909,2015,low_variant,60_64,1807.565
909,2015,medium_variant,60_64,1807.565
909,2015,momentum,60_64,1807.565
909,2015,no_change,60_64,1807.565
909,2015,zero_migration,60_64,1807.565
909,2015,constant_fertility,65_69,1572.608
909,2015,constant_mortality,65_69,1572.608
909,2015,estimates,65_69,1572.608
909,2015,high_variant,65_69,1572.608
