variant,country,year,gender,oldagedependencyratio2064
estimates,258,1950,male,4.67
estimates,258,1951,male,4.906
estimates,258,1952,male,5.083
estimates,258,1953,male,5.328
estimates,258,1954,male,5.511
estimates,258,1955,male,5.701
estimates,258,1956,male,6.045
estimates,258,1957,male,6.356
estimates,258,1958,male,6.651
estimates,258,1959,male,6.935
estimates,258,1960,male,7.225
estimates,258,1961,male,7.267
estimates,258,1962,male,7.302
estimates,258,1963,male,7.372
estimates,258,1964,male,7.422
estimates,258,1965,male,7.45
estimates,258,1966,male,7.432
estimates,258,1967,male,7.414
estimates,258,1968,male,7.434
estimates,258,1969,male,7.488
estimates,258,1970,male,7.545
estimates,258,1971,male,7.579
estimates,258,1972,male,7.554
estimates,258,1973,male,7.516
estimates,258,1974,male,7.459
estimates,258,1975,male,7.408
estimates,258,1976,male,7.429
estimates,258,1977,male,7.457
estimates,258,1978,male,7.44
estimates,258,1979,male,7.397
estimates,258,1980,male,7.279
estimates,258,1981,male,7.025
estimates,258,1982,male,6.675
estimates,258,1983,male,6.235
estimates,258,1984,male,5.791
estimates,258,1985,male,5.421
estimates,258,1986,male,5.512
estimates,258,1987,male,5.66
estimates,258,1988,male,5.817
estimates,258,1989,male,5.915
estimates,258,1990,male,5.974
estimates,258,1991,male,5.972
estimates,258,1992,male,5.96
estimates,258,1993,male,5.963
estimates,258,1994,male,6.011
estimates,258,1995,male,6.084
estimates,258,1996,male,6.263
estimates,258,1997,male,6.488
estimates,258,1998,male,6.728
estimates,258,1999,male,6.989
estimates,258,2000,male,7.238
estimates,258,2001,male,7.459
estimates,258,2002,male,7.663
estimates,258,2003,male,7.858
estimates,258,2004,male,8.071
estimates,258,2005,male,8.305
estimates,258,2006,male,8.655
estimates,258,2007,male,9.026
estimates,258,2008,male,9.405
estimates,258,2009,male,9.764
estimates,258,2010,male,10.083
estimates,258,2011,male,10.335
estimates,258,2012,male,10.547
estimates,258,2013,male,10.758
estimates,258,2014,male,11.017
estimates,258,2015,male,11.34
medium_variant,258,2015,male,11.34
medium_variant,258,2016,male,11.708
medium_variant,258,2017,male,12.128
medium_variant,258,2018,male,12.585
medium_variant,258,2019,male,13.081
medium_variant,258,2020,male,13.593
medium_variant,258,2021,male,14.185
medium_variant,258,2022,male,14.803
medium_variant,258,2023,male,15.452
