variant,country,year,gender,oldagedependencyratio2064
estimates,266,1950,male,11.774
estimates,266,1951,male,11.874
estimates,266,1952,male,11.898
estimates,266,1953,male,11.855
estimates,266,1954,male,11.744
estimates,266,1955,male,11.572
estimates,266,1956,male,11.706
estimates,266,1957,male,11.773
estimates,266,1958,male,11.775
estimates,266,1959,male,11.727
estimates,266,1960,male,11.622
estimates,266,1961,male,11.752
estimates,266,1962,male,11.825
estimates,266,1963,male,11.836
estimates,266,1964,male,11.788
estimates,266,1965,male,11.684
estimates,266,1966,male,11.821
estimates,266,1967,male,11.902
estimates,266,1968,male,11.93
estimates,266,1969,male,11.916
estimates,266,1970,male,11.86
estimates,266,1971,male,12.032
estimates,266,1972,male,12.156
estimates,266,1973,male,12.239
estimates,266,1974,male,12.281
estimates,266,1975,male,12.286
estimates,266,1976,male,12.434
estimates,266,1977,male,12.537
estimates,266,1978,male,12.594
estimates,266,1979,male,12.614
estimates,266,1980,male,12.597
estimates,266,1981,male,12.705
estimates,266,1982,male,12.77
estimates,266,1983,male,12.792
estimates,266,1984,male,12.773
estimates,266,1985,male,12.709
estimates,266,1986,male,12.748
estimates,266,1987,male,12.733
estimates,266,1988,male,12.688
estimates,266,1989,male,12.626
estimates,266,1990,male,12.559
estimates,266,1991,male,12.565
estimates,266,1992,male,12.547
estimates,266,1993,male,12.505
estimates,266,1994,male,12.438
estimates,266,1995,male,12.35
estimates,266,1996,male,12.288
estimates,266,1997,male,12.193
estimates,266,1998,male,12.067
estimates,266,1999,male,11.913
estimates,266,2000,male,11.734
estimates,266,2001,male,11.533
estimates,266,2002,male,11.298
estimates,266,2003,male,11.039
estimates,266,2004,male,10.761
estimates,266,2005,male,10.474
estimates,266,2006,male,10.113
estimates,266,2007,male,9.747
estimates,266,2008,male,9.388
estimates,266,2009,male,9.048
estimates,266,2010,male,8.736
estimates,266,2011,male,8.519
estimates,266,2012,male,8.31
estimates,266,2013,male,8.109
estimates,266,2014,male,7.911
estimates,266,2015,male,7.724
medium_variant,266,2015,male,7.724
medium_variant,266,2016,male,7.7
medium_variant,266,2017,male,7.676
medium_variant,266,2018,male,7.652
medium_variant,266,2019,male,7.632
medium_variant,266,2020,male,7.621
medium_variant,266,2021,male,7.655
medium_variant,266,2022,male,7.694
medium_variant,266,2023,male,7.741
medium_variant,266,2024,male,7.8
medium_variant,266,2025,male,7.876
medium_variant,266,2026,male,7.996
medium_variant,266,2027,male,8.125
medium_variant,266,2028,male,8.27
medium_variant,266,2029,male,8.436
medium_variant,266,2030,male,8.628
medium_variant,266,2031,male,8.862
medium_variant,266,2032,male,9.112
medium_variant,266,2033,male,9.378
medium_variant,266,2034,male,9.665
medium_variant,266,2035,male,9.977
medium_variant,266,2036,male,10.317
medium_variant,266,2037,male,10.671
medium_variant,266,2038,male,11.042
medium_variant,266,2039,male,11.43
medium_variant,266,2040,male,11.839
medium_variant,266,2041,male,12.255
medium_variant,266,2042,male,12.68
medium_variant,266,2043,male,13.115
medium_variant,266,2044,male,13.567
medium_variant,266,2045,male,14.038
medium_variant,266,2046,male,14.5
medium_variant,266,2047,male,14.964
medium_variant,266,2048,male,15.429
medium_variant,266,2049,male,15.888
medium_variant,266,2050,male,16.341
medium_variant,266,2051,male,16.763
medium_variant,266,2052,male,17.166
medium_variant,266,2053,male,17.547
medium_variant,266,2054,male,17.901
medium_variant,266,2055,male,18.227
medium_variant,266,2056,male,18.506
medium_variant,266,2057,male,18.749
medium_variant,266,2058,male,18.96
medium_variant,266,2059,male,19.148
medium_variant,266,2060,male,19.318
medium_variant,266,2061,male,19.463
medium_variant,266,2062,male,19.585
medium_variant,266,2063,male,19.69
medium_variant,266,2064,male,19.785
medium_variant,266,2065,male,19.877
medium_variant,266,2066,male,19.979
medium_variant,266,2067,male,20.072
medium_variant,266,2068,male,20.171
medium_variant,266,2069,male,20.294
medium_variant,266,2070,male,20.455
medium_variant,266,2071,male,20.672
medium_variant,266,2072,male,20.909
medium_variant,266,2073,male,21.178
medium_variant,266,2074,male,21.493
medium_variant,266,2075,male,21.864
medium_variant,266,2076,male,22.308
medium_variant,266,2077,male,22.788
medium_variant,266,2078,male,23.296
medium_variant,266,2079,male,23.816
medium_variant,266,2080,male,24.34
medium_variant,266,2081,male,24.878
medium_variant,266,2082,male,25.403
medium_variant,266,2083,male,25.917
medium_variant,266,2084,male,26.421
medium_variant,266,2085,male,26.917
medium_variant,266,2086,male,27.389
medium_variant,266,2087,male,27.834
medium_variant,266,2088,male,28.262
medium_variant,266,2089,male,28.684
medium_variant,266,2090,male,29.108
medium_variant,266,2091,male,29.499
medium_variant,266,2092,male,29.876
medium_variant,266,2093,male,30.246
medium_variant,266,2094,male,30.619
medium_variant,266,2095,male,31.004
medium_variant,266,2096,male,31.356
medium_variant,266,2097,male,31.701
medium_variant,266,2098,male,32.05
medium_variant,266,2099,male,32.411
medium_variant,266,2100,male,32.794
estimates,266,1950,female,14.236
estimates,266,1951,female,14.328
estimates,266,1952,female,14.348
estimates,266,1953,female,14.296
estimates,266,1954,female,14.18
estimates,266,1955,female,14.005
estimates,266,1956,female,14.138
estimates,266,1957,female,14.199
estimates,266,1958,female,14.203
estimates,266,1959,female,14.152
estimates,266,1960,female,14.051
estimates,266,1961,female,14.112
estimates,266,1962,female,14.105
estimates,266,1963,female,14.036
estimates,266,1964,female,13.904
estimates,266,1965,female,13.724
estimates,266,1966,female,13.693
estimates,266,1967,female,13.611
estimates,266,1968,female,13.493
estimates,266,1969,female,13.341
estimates,266,1970,female,13.158
estimates,266,1971,female,13.338
estimates,266,1972,female,13.479
estimates,266,1973,female,13.579
estimates,266,1974,female,13.633
estimates,266,1975,female,13.65
estimates,266,1976,female,13.776
estimates,266,1977,female,13.854
estimates,266,1978,female,13.9
estimates,266,1979,female,13.939
estimates,266,1980,female,13.995
estimates,266,1981,female,14.193
estimates,266,1982,female,14.387
estimates,266,1983,female,14.562
estimates,266,1984,female,14.697
estimates,266,1985,female,14.79
estimates,266,1986,female,14.958
estimates,266,1987,female,15.072
estimates,266,1988,female,15.152
estimates,266,1989,female,15.22
estimates,266,1990,female,15.295
estimates,266,1991,female,15.424
estimates,266,1992,female,15.534
estimates,266,1993,female,15.617
estimates,266,1994,female,15.669
estimates,266,1995,female,15.688
estimates,266,1996,female,15.727
estimates,266,1997,female,15.721
estimates,266,1998,female,15.671
estimates,266,1999,female,15.573
estimates,266,2000,female,15.426
estimates,266,2001,female,15.235
estimates,266,2002,female,14.984
estimates,266,2003,female,14.691
estimates,266,2004,female,14.371
estimates,266,2005,female,14.035
estimates,266,2006,female,13.714
estimates,266,2007,female,13.372
estimates,266,2008,female,13.014
estimates,266,2009,female,12.642
estimates,266,2010,female,12.262
estimates,266,2011,female,11.878
estimates,266,2012,female,11.487
estimates,266,2013,female,11.099
estimates,266,2014,female,10.73
estimates,266,2015,female,10.387
medium_variant,266,2015,female,10.387
medium_variant,266,2016,female,10.238
medium_variant,266,2017,female,10.097
medium_variant,266,2018,female,9.966
medium_variant,266,2019,female,9.844
medium_variant,266,2020,female,9.729
medium_variant,266,2021,female,9.668
medium_variant,266,2022,female,9.609
medium_variant,266,2023,female,9.563
medium_variant,266,2024,female,9.533
medium_variant,266,2025,female,9.528
medium_variant,266,2026,female,9.575
medium_variant,266,2027,female,9.637
medium_variant,266,2028,female,9.717
medium_variant,266,2029,female,9.818
medium_variant,266,2030,female,9.942
medium_variant,266,2031,female,10.104
medium_variant,266,2032,female,10.281
medium_variant,266,2033,female,10.473
medium_variant,266,2034,female,10.681
medium_variant,266,2035,female,10.905
medium_variant,266,2036,female,11.141
medium_variant,266,2037,female,11.387
medium_variant,266,2038,female,11.649
medium_variant,266,2039,female,11.933
medium_variant,266,2040,female,12.242
medium_variant,266,2041,female,12.556
medium_variant,266,2042,female,12.887
medium_variant,266,2043,female,13.24
medium_variant,266,2044,female,13.619
medium_variant,266,2045,female,14.028
medium_variant,266,2046,female,14.429
medium_variant,266,2047,female,14.849
medium_variant,266,2048,female,15.286
medium_variant,266,2049,female,15.744
medium_variant,266,2050,female,16.219
medium_variant,266,2051,female,16.668
medium_variant,266,2052,female,17.125
medium_variant,266,2053,female,17.586
medium_variant,266,2054,female,18.045
medium_variant,266,2055,female,18.499
medium_variant,266,2056,female,18.899
medium_variant,266,2057,female,19.286
medium_variant,266,2058,female,19.662
medium_variant,266,2059,female,20.028
medium_variant,266,2060,female,20.388
medium_variant,266,2061,female,20.689
medium_variant,266,2062,female,20.978
medium_variant,266,2063,female,21.261
medium_variant,266,2064,female,21.545
medium_variant,266,2065,female,21.838
medium_variant,266,2066,female,22.082
medium_variant,266,2067,female,22.326
medium_variant,266,2068,female,22.588
medium_variant,266,2069,female,22.886
medium_variant,266,2070,female,23.233
medium_variant,266,2071,female,23.564
medium_variant,266,2072,female,23.928
medium_variant,266,2073,female,24.337
medium_variant,266,2074,female,24.807
medium_variant,266,2075,female,25.348
medium_variant,266,2076,female,25.891
medium_variant,266,2077,female,26.484
medium_variant,266,2078,female,27.12
medium_variant,266,2079,female,27.784
medium_variant,266,2080,female,28.466
medium_variant,266,2081,female,29.089
medium_variant,266,2082,female,29.71
medium_variant,266,2083,female,30.332
medium_variant,266,2084,female,30.956
medium_variant,266,2085,female,31.589
medium_variant,266,2086,female,32.127
medium_variant,266,2087,female,32.647
medium_variant,266,2088,female,33.161
medium_variant,266,2089,female,33.685
medium_variant,266,2090,female,34.23
medium_variant,266,2091,female,34.667
medium_variant,266,2092,female,35.102
medium_variant,266,2093,female,35.547
medium_variant,266,2094,female,36.013
medium_variant,266,2095,female,36.512
medium_variant,266,2096,female,36.896
medium_variant,266,2097,female,37.291
medium_variant,266,2098,female,37.706
medium_variant,266,2099,female,38.154
medium_variant,266,2100,female,38.645
