continent,year,variant,gender,freq,agebroad,percentagetotaldeaths
909,1960,Estimates,male,5yearly,0_24,23.7634053685028
909,1960,Estimates,female,5yearly,5_14,2.54023499523658
909,1960,Estimates,male,5yearly,5_14,2.58932982895662
909,1960,Estimates,female,5yearly,15plus,79.8457923150206
909,1960,Estimates,male,5yearly,15plus,79.8960987840605
909,1960,Estimates,female,5yearly,15_24,3.58158145442998
909,1960,Estimates,male,5yearly,15_24,3.6595041525634
909,1960,Estimates,female,5yearly,15_49,15.5632899333122
909,1960,Estimates,male,5yearly,15_49,17.2952061520673
909,1960,Estimates,female,5yearly,15_59,24.0774849158463
909,1960,Estimates,male,5yearly,15_59,29.4033470624535
909,1960,Estimates,female,5yearly,15_64,29.9899650682756
909,1960,Estimates,male,5yearly,15_64,37.6047366489603
909,1960,Estimates,female,5yearly,20plus,78.2346141632264
909,1960,Estimates,male,5yearly,20plus,78.2324082407523
909,1960,Estimates,female,5yearly,20_64,28.3787869164814
909,1960,Estimates,male,5yearly,20_64,35.941046105652
909,1960,Estimates,female,5yearly,20_69,36.0627500793903
909,1960,Estimates,male,5yearly,20_69,45.2829298994815
909,1960,Estimates,female,5yearly,25plus,76.2642108605907
909,1960,Estimates,male,5yearly,25plus,76.2365946314972
909,1960,Estimates,female,5yearly,25_69,34.0923467767545
909,1960,Estimates,male,5yearly,25_69,43.2871162902264
909,1960,Estimates,female,5yearly,40plus,70.0046999047316
909,1960,Estimates,male,5yearly,40plus,69.7442037349494
909,1960,Estimates,female,5yearly,50plus,64.2825023817085
909,1960,Estimates,male,5yearly,50plus,62.6008926319933
909,1960,Estimates,female,5yearly,60plus,55.7683073991743
909,1960,Estimates,male,5yearly,60plus,50.4927517216071
909,1960,Estimates,female,5yearly,65plus,49.855827246745
909,1960,Estimates,male,5yearly,65plus,42.2913621351003
909,1960,Estimates,female,5yearly,70plus,42.1718640838361
909,1960,Estimates,male,5yearly,70plus,32.9494783412708
909,1960,Estimates,female,5yearly,80plus,20.9158463004128
909,1960,Estimates,male,5yearly,80plus,13.0015929606311
909,1960,Estimates,female,5yearly,90plus,3.74823753572563
909,1960,Estimates,male,5yearly,90plus,1.76148233494816
909,1965,Estimates,female,5yearly,0_4,15.6258417022586
909,1965,Estimates,male,5yearly,0_4,15.3649267649377
909,1965,Estimates,female,5yearly,0_14,17.8306206471969
909,1965,Estimates,male,5yearly,0_14,17.6735674878462
909,1965,Estimates,female,5yearly,0_19,19.3240409403979
909,1965,Estimates,male,5yearly,0_19,19.3807598966828
909,1965,Estimates,female,5yearly,0_24,21.1048424333372
