continent,year,variant,gender,freq,agebroad,percentagetotaldeaths
904,1950,estimates,female,5yearly,0_4,48.50672883516
904,1950,estimates,male,5yearly,0_4,50.6164262439248
904,1950,estimates,female,5yearly,0_14,53.2540933109554
904,1950,estimates,male,5yearly,0_14,55.1747888556571
904,1950,estimates,female,5yearly,0_19,55.203455476738
904,1950,estimates,male,5yearly,0_19,57.1037512107875
904,1950,estimates,female,5yearly,0_24,57.6290589893499
904,1950,estimates,male,5yearly,0_24,59.5215955629949
904,1950,estimates,female,5yearly,5_14,4.74736447579543
904,1950,estimates,male,5yearly,5_14,4.55836261173232
904,1950,estimates,female,5yearly,15plus,46.7459066890446
904,1950,estimates,male,5yearly,15plus,44.8252111443429
904,1950,estimates,female,5yearly,15_24,4.37496567839448
904,1950,estimates,male,5yearly,15_24,4.3468067073378
904,1950,estimates,female,5yearly,15_49,17.4165456095502
904,1950,estimates,male,5yearly,15_49,17.7243753823539
904,1950,estimates,female,5yearly,15_59,23.8381292556915
904,1950,estimates,male,5yearly,15_59,24.860945306393
904,1950,estimates,female,5yearly,15_64,27.6695307265017
904,1950,estimates,male,5yearly,15_64,28.8666338833566
904,1950,estimates,female,5yearly,20plus,44.796544523262
904,1950,estimates,male,5yearly,20plus,42.8962487892125
904,1950,estimates,female,5yearly,20_64,25.7201685607192
904,1950,estimates,male,5yearly,20_64,26.9376715282262
904,1950,estimates,female,5yearly,20_69,29.9749673588403
904,1950,estimates,male,5yearly,20_69,31.0988507077796
904,1950,estimates,female,5yearly,25plus,42.3709410106501
904,1950,estimates,male,5yearly,25plus,40.4784044370051
904,1950,estimates,female,5yearly,25_69,27.5493638462284
904,1950,estimates,male,5yearly,25_69,28.6810063555722
904,1950,estimates,female,5yearly,40plus,34.6982654498238
904,1950,estimates,male,5yearly,40plus,32.8931793367434
904,1950,estimates,female,5yearly,50plus,29.3293610794944
904,1950,estimates,male,5yearly,50plus,27.1008357619889
904,1950,estimates,female,5yearly,60plus,22.9077774333531
904,1950,estimates,male,5yearly,60plus,19.9642658379499
904,1950,estimates,female,5yearly,65plus,19.0763759625429
904,1950,estimates,male,5yearly,65plus,15.9585772609863
904,1950,estimates,female,5yearly,70plus,14.8215771644217
904,1950,estimates,male,5yearly,70plus,11.7973980814329
904,1950,estimates,female,5yearly,80plus,6.26611239961962
904,1950,estimates,male,5yearly,80plus,4.3397039518404
904,1950,estimates,female,5yearly,90plus,1.47922743903958
904,1950,estimates,male,5yearly,90plus,0.872669765149713
904,1955,estimates,female,5yearly,0_4,48.116103940957
904,1955,estimates,male,5yearly,0_4,50.3918789327798
904,1955,estimates,female,5yearly,0_14,52.7719440502737
904,1955,estimates,male,5yearly,0_14,54.8272663978035
904,1955,estimates,female,5yearly,0_19,54.573672395282
904,1955,estimates,male,5yearly,0_19,56.6273399629547
904,1955,estimates,female,5yearly,0_24,56.8133882920017
904,1955,estimates,male,5yearly,0_24,58.8833598255455
904,1955,estimates,female,5yearly,5_14,4.6558401093167
904,1955,estimates,male,5yearly,5_14,4.43538746502371
904,1955,estimates,female,5yearly,15plus,47.2280559497263
904,1955,estimates,male,5yearly,15plus,45.1727336021965
904,1955,estimates,female,5yearly,15_24,4.04144424172805
904,1955,estimates,male,5yearly,15_24,4.05609342774194
904,1955,estimates,female,5yearly,15_49,16.7920955620124
904,1955,estimates,male,5yearly,15_49,17.0300040723566
904,1955,estimates,female,5yearly,15_59,23.4301266602098
904,1955,estimates,male,5yearly,15_59,24.3664989556376
904,1955,estimates,female,5yearly,15_64,27.5089157675819
904,1955,estimates,male,5yearly,15_64,28.6329361690948
904,1955,estimates,female,5yearly,20plus,45.426327604718
904,1955,estimates,male,5yearly,20plus,43.3726600370453
904,1955,estimates,female,5yearly,20_64,25.7071874225736
904,1955,estimates,male,5yearly,20_64,26.8328626039436
904,1955,estimates,female,5yearly,20_69,30.2256759090329
904,1955,estimates,male,5yearly,20_69,31.248348068258
904,1955,estimates,female,5yearly,25plus,43.1866117079983
904,1955,estimates,male,5yearly,25plus,41.1166401744545
904,1955,estimates,female,5yearly,25_69,27.9859600123131
904,1955,estimates,male,5yearly,25_69,28.9923282056671
904,1955,estimates,female,5yearly,40plus,35.7472351735478
904,1955,estimates,male,5yearly,40plus,33.7560921140785
904,1955,estimates,female,5yearly,50plus,30.4359603877139
904,1955,estimates,male,5yearly,50plus,28.1427295298399
904,1955,estimates,female,5yearly,60plus,23.7979292895166
904,1955,estimates,male,5yearly,60plus,20.8062346465589
904,1955,estimates,female,5yearly,65plus,19.7191401821444
904,1955,estimates,male,5yearly,65plus,16.5397974331017
904,1955,estimates,female,5yearly,70plus,15.2006516956851
904,1955,estimates,male,5yearly,70plus,12.1243119687874
904,1955,estimates,female,5yearly,80plus,6.03178893468778
904,1955,estimates,male,5yearly,80plus,4.15962324133311
904,1955,estimates,female,5yearly,90plus,0.886080891351518
904,1955,estimates,male,5yearly,90plus,0.507166033918789
904,1960,estimates,female,5yearly,0_4,46.6246687571736
904,1960,estimates,male,5yearly,0_4,48.8588133161386
904,1960,estimates,female,5yearly,0_14,51.1317022371763
904,1960,estimates,male,5yearly,0_14,53.1812688269636
