global,variant,freq,year,mortality15to50per1000aliveat15
900,estimates,5yearly,1950,239.80243003095
900,estimates,5yearly,1955,216.218601701852
900,estimates,5yearly,1960,198.532459124464
900,estimates,5yearly,1965,160.679548586442
900,estimates,5yearly,1970,134.26023046148
900,estimates,5yearly,1975,121.244383340106
900,estimates,5yearly,1980,112.582735278285
900,estimates,5yearly,1985,103.903642736
900,estimates,5yearly,1990,101.456912512213
900,estimates,5yearly,1995,100.645837368799
900,estimates,5yearly,2000,98.3665593393904
900,estimates,5yearly,2005,89.8900487342564
900,estimates,5yearly,2010,79.9205243574698
900,medium_variant,5yearly,2015,74.6409722083443
900,medium_variant,5yearly,2020,70.862893935559
900,medium_variant,5yearly,2025,66.9821369518233
900,medium_variant,5yearly,2030,62.9550265552192
900,medium_variant,5yearly,2035,59.5848901745198
900,medium_variant,5yearly,2040,56.8482811701754
900,medium_variant,5yearly,2045,53.8179295440253
900,medium_variant,5yearly,2050,50.8447111528227
900,medium_variant,5yearly,2055,48.0387318561883
900,medium_variant,5yearly,2060,45.4464912442766
900,medium_variant,5yearly,2065,43.0383858474586
900,medium_variant,5yearly,2070,40.7567306369264
900,medium_variant,5yearly,2075,38.4630146963105
900,medium_variant,5yearly,2080,36.3275525493378
900,medium_variant,5yearly,2085,34.2650196015115
900,medium_variant,5yearly,2090,32.2773564082648
900,medium_variant,5yearly,2095,30.3496104797495
900,estimates,5yearly,Regi,WORLD
900,medium_variant,5yearly,Regi,WORLD
