region,variant,freq,year,lifeexpectancyat80
934,estimates,5yearly,1950,4.61867594146237
934,estimates,5yearly,1955,4.52316265356056
934,estimates,5yearly,1960,4.96918966012665
934,estimates,5yearly,1965,5.46025705709189
934,estimates,5yearly,1970,5.54914631875732
934,estimates,5yearly,1975,5.68259056009654
934,estimates,5yearly,1980,5.82873052767546
934,estimates,5yearly,1985,5.99702649705223
934,estimates,5yearly,1990,6.25394532098103
934,estimates,5yearly,1995,6.46038783892777
934,estimates,5yearly,2000,6.72598799208598
934,estimates,5yearly,2005,7.00741624882111
934,estimates,5yearly,2010,7.28805223904624
934,medium_variant,5yearly,2015,7.52336485842266
934,medium_variant,5yearly,2020,7.73789526952176
934,medium_variant,5yearly,2025,7.95830308778484
934,medium_variant,5yearly,2030,8.19826688170278
934,medium_variant,5yearly,2035,8.43801887132064
934,medium_variant,5yearly,2040,8.69681077839267
934,medium_variant,5yearly,2045,8.95458060155432
934,medium_variant,5yearly,2050,9.18571287382279
934,medium_variant,5yearly,2055,9.40554274686454
934,medium_variant,5yearly,2060,9.62878410111266
934,medium_variant,5yearly,2065,9.84470315250387
934,medium_variant,5yearly,2070,10.0290714672061
934,medium_variant,5yearly,2075,10.1954102796878
934,medium_variant,5yearly,2080,10.3530923480226
934,medium_variant,5yearly,2085,10.5232107514507
934,medium_variant,5yearly,2090,10.7074238457711
934,medium_variant,5yearly,2095,10.915706613881
