region,variant,freq,year,lifeexpectancyat80
1517,estimates,5yearly,1950,4.76660034964744
1517,estimates,5yearly,1955,4.7467308476248
1517,estimates,5yearly,1960,5.15729744346346
1517,estimates,5yearly,1965,5.57462834907459
1517,estimates,5yearly,1970,5.64025613600775
1517,estimates,5yearly,1975,5.7667814225631
1517,estimates,5yearly,1980,5.86896359289155
1517,estimates,5yearly,1985,6.02013891757934
1517,estimates,5yearly,1990,6.19056718882734
1517,estimates,5yearly,1995,6.34953055489561
1517,estimates,5yearly,2000,6.5929830338604
1517,estimates,5yearly,2005,6.87126448712245
1517,estimates,5yearly,2010,7.1802963118524
1517,medium_variant,5yearly,2015,7.40777319475122
1517,medium_variant,5yearly,2020,7.61668595290084
1517,medium_variant,5yearly,2025,7.82853640119311
1517,medium_variant,5yearly,2030,8.06158378981191
1517,medium_variant,5yearly,2035,8.28717429761515
1517,medium_variant,5yearly,2040,8.54647140400789
1517,medium_variant,5yearly,2045,8.80372899416198
1517,medium_variant,5yearly,2050,9.05217270163701
1517,medium_variant,5yearly,2055,9.28406535087812
1517,medium_variant,5yearly,2060,9.51364818113643
1517,medium_variant,5yearly,2065,9.73733436245821
1517,medium_variant,5yearly,2070,9.9351344463461
1517,medium_variant,5yearly,2075,10.0968491048055
1517,medium_variant,5yearly,2080,10.2619315875669
1517,medium_variant,5yearly,2085,10.4287356949624
1517,medium_variant,5yearly,2090,10.6148511805284
1517,medium_variant,5yearly,2095,10.8151176380152
