region,variant,freq,year,lifeexpectancyat80
5501,estimates,5yearly,1950,4.81721166153319
5501,estimates,5yearly,1955,5.0042502537818
5501,estimates,5yearly,1960,5.19307338408255
5501,estimates,5yearly,1965,5.34800421320557
5501,estimates,5yearly,1970,5.4827004403634
5501,estimates,5yearly,1975,5.58057345689768
5501,estimates,5yearly,1980,5.6426608507141
5501,estimates,5yearly,1985,5.71140194577072
5501,estimates,5yearly,1990,5.98738763057271
5501,estimates,5yearly,1995,6.30090096427734
5501,estimates,5yearly,2000,6.4790760099736
5501,estimates,5yearly,2005,6.64964136201354
5501,estimates,5yearly,2010,7.01995267047756
5501,medium_variant,5yearly,2015,7.21020620624337
5501,medium_variant,5yearly,2020,7.33549050147586
5501,medium_variant,5yearly,2025,7.44326818773368
5501,medium_variant,5yearly,2030,7.56152156810854
5501,medium_variant,5yearly,2035,7.67854255301694
5501,medium_variant,5yearly,2040,7.85324582515011
5501,medium_variant,5yearly,2045,8.06257627156864
5501,medium_variant,5yearly,2050,8.27623566027926
5501,medium_variant,5yearly,2055,8.49368925960916
5501,medium_variant,5yearly,2060,8.70058427237211
5501,medium_variant,5yearly,2065,8.90518069420554
5501,medium_variant,5yearly,2070,9.08907733078942
5501,medium_variant,5yearly,2075,9.26028487129217
5501,medium_variant,5yearly,2080,9.43575323955244
5501,medium_variant,5yearly,2085,9.6385092010353
5501,medium_variant,5yearly,2090,9.84523929394157
5501,medium_variant,5yearly,2095,10.0668440774029
5501,estimates,5yearly,Regi,Southern Asia
5501,medium_variant,5yearly,Regi,Southern Asia
