country,variant,freq,year,infantmortalityper1000livebirth
112,estimates,5yearly,1950,95.624
112,estimates,5yearly,1955,56.536
112,estimates,5yearly,1960,37.739
112,estimates,5yearly,1965,25.779
112,estimates,5yearly,1970,21.186
112,estimates,5yearly,1975,21.916
112,estimates,5yearly,1980,19.542
112,estimates,5yearly,1985,16.403
112,estimates,5yearly,1990,15.084
112,estimates,5yearly,1995,14.904
112,estimates,5yearly,2000,9.585
112,estimates,5yearly,2005,6.269
112,estimates,5yearly,2010,3.564
112,medium_variant,5yearly,2015,3.054
112,medium_variant,5yearly,2020,2.546
112,medium_variant,5yearly,2025,2.139
112,medium_variant,5yearly,2030,1.889
112,medium_variant,5yearly,2035,1.673
112,medium_variant,5yearly,2040,1.492
112,medium_variant,5yearly,2045,1.326
112,medium_variant,5yearly,2050,1.18
112,medium_variant,5yearly,2055,1.05
112,medium_variant,5yearly,2060,0.934
112,medium_variant,5yearly,2065,0.839
112,medium_variant,5yearly,2070,0.758
112,medium_variant,5yearly,2075,0.678
112,medium_variant,5yearly,2080,0.613
112,medium_variant,5yearly,2085,0.552
112,medium_variant,5yearly,2090,0.497
112,medium_variant,5yearly,2095,0.442
112,estimates,5yearly,Regi,Belarus
112,medium_variant,5yearly,Regi,Belarus
