country,variant,freq,year,infantmortalityper1000livebirth
583,estimates,5yearly,1950,96.506
583,estimates,5yearly,1955,86.514
583,estimates,5yearly,1960,76.899
583,estimates,5yearly,1965,67.645
583,estimates,5yearly,1970,58.322
583,estimates,5yearly,1975,49.355
583,estimates,5yearly,1980,47.021
583,estimates,5yearly,1985,44.625
583,estimates,5yearly,1990,42.289
583,estimates,5yearly,1995,39.974
583,estimates,5yearly,2000,37.923
583,estimates,5yearly,2005,34.865
583,estimates,5yearly,2010,33.206
583,medium_variant,5yearly,2015,31.037
583,medium_variant,5yearly,2020,29.023
583,medium_variant,5yearly,2025,27.175
583,medium_variant,5yearly,2030,25.473
583,medium_variant,5yearly,2035,24.017
583,medium_variant,5yearly,2040,22.61
583,medium_variant,5yearly,2045,21.292
583,medium_variant,5yearly,2050,20.008
583,medium_variant,5yearly,2055,18.866
583,medium_variant,5yearly,2060,17.737
583,medium_variant,5yearly,2065,16.572
583,medium_variant,5yearly,2070,15.426
583,medium_variant,5yearly,2075,14.454
583,medium_variant,5yearly,2080,13.487
583,medium_variant,5yearly,2085,12.59
583,medium_variant,5yearly,2090,11.698
583,medium_variant,5yearly,2095,10.861
583,estimates,5yearly,Regi,Micronesia (Fed. States of)
583,medium_variant,5yearly,Regi,Micronesia (Fed. States of)
