country,variant,freq,year,infantmortalityper1000livebirth
729,estimates,5yearly,1950,134.631
729,estimates,5yearly,1955,121.511
729,estimates,5yearly,1960,111.249
729,estimates,5yearly,1965,102.128
729,estimates,5yearly,1970,93.334
729,estimates,5yearly,1975,89.07
729,estimates,5yearly,1980,87.007
729,estimates,5yearly,1985,84.101
729,estimates,5yearly,1990,79.938
729,estimates,5yearly,1995,70.129
729,estimates,5yearly,2000,61.808
729,estimates,5yearly,2005,53.686
729,estimates,5yearly,2010,48.74
729,medium_variant,5yearly,2015,43.893
729,medium_variant,5yearly,2020,40.008
729,medium_variant,5yearly,2025,36.494
729,medium_variant,5yearly,2030,32.92
729,medium_variant,5yearly,2035,29.681
729,medium_variant,5yearly,2040,27.014
729,medium_variant,5yearly,2045,24.659
729,medium_variant,5yearly,2050,22.619
729,medium_variant,5yearly,2055,20.87
729,medium_variant,5yearly,2060,19.28
729,medium_variant,5yearly,2065,18.025
729,medium_variant,5yearly,2070,16.925
729,medium_variant,5yearly,2075,15.867
729,medium_variant,5yearly,2080,14.842
729,medium_variant,5yearly,2085,13.97
729,medium_variant,5yearly,2090,13.26
729,medium_variant,5yearly,2095,12.557
