country,variant,freq,year,infantmortalityper1000livebirth
634,estimates,5yearly,1950,105.92
634,estimates,5yearly,1955,87.129
634,estimates,5yearly,1960,68.715
634,estimates,5yearly,1965,50.744
634,estimates,5yearly,1970,36.638
634,estimates,5yearly,1975,29.148
634,estimates,5yearly,1980,23.174
634,estimates,5yearly,1985,18.409
634,estimates,5yearly,1990,14.721
634,estimates,5yearly,1995,11.78
634,estimates,5yearly,2000,9.41
634,estimates,5yearly,2005,7.774
634,estimates,5yearly,2010,7.158
634,medium_variant,5yearly,2015,6.287
634,medium_variant,5yearly,2020,5.677
634,medium_variant,5yearly,2025,5.147
634,medium_variant,5yearly,2030,4.692
634,medium_variant,5yearly,2035,4.292
634,medium_variant,5yearly,2040,3.946
634,medium_variant,5yearly,2045,3.641
634,medium_variant,5yearly,2050,3.376
634,medium_variant,5yearly,2055,3.166
634,medium_variant,5yearly,2060,2.971
634,medium_variant,5yearly,2065,2.791
634,medium_variant,5yearly,2070,2.631
634,medium_variant,5yearly,2075,2.481
634,medium_variant,5yearly,2080,2.341
634,medium_variant,5yearly,2085,2.206
634,medium_variant,5yearly,2090,2.086
634,medium_variant,5yearly,2095,1.971
634,estimates,5yearly,Regi,Qatar
634,medium_variant,5yearly,Regi,Qatar
