country,variant,freq,year,infantmortalityper1000livebirth
392,estimates,5yearly,1950,47.674
392,estimates,5yearly,1955,36.136
392,estimates,5yearly,1960,24.717
392,estimates,5yearly,1965,15.924
392,estimates,5yearly,1970,11.6
392,estimates,5yearly,1975,8.482
392,estimates,5yearly,1980,6.423
392,estimates,5yearly,1985,4.855
392,estimates,5yearly,1990,4.4
392,estimates,5yearly,1995,3.662
392,estimates,5yearly,2000,2.98
392,estimates,5yearly,2005,2.55
392,estimates,5yearly,2010,2.198
392,medium_variant,5yearly,2015,1.903
392,medium_variant,5yearly,2020,1.663
392,medium_variant,5yearly,2025,1.474
392,medium_variant,5yearly,2030,1.304
392,medium_variant,5yearly,2035,1.169
392,medium_variant,5yearly,2040,1.049
392,medium_variant,5yearly,2045,0.939
392,medium_variant,5yearly,2050,0.844
392,medium_variant,5yearly,2055,0.764
392,medium_variant,5yearly,2060,0.694
392,medium_variant,5yearly,2065,0.629
392,medium_variant,5yearly,2070,0.579
392,medium_variant,5yearly,2075,0.519
392,medium_variant,5yearly,2080,0.474
392,medium_variant,5yearly,2085,0.434
392,medium_variant,5yearly,2090,0.389
392,medium_variant,5yearly,2095,0.354
392,estimates,5yearly,Regi,Japan
392,medium_variant,5yearly,Regi,Japan
