country,variant,freq,year,infantmortalityper1000livebirth
776,estimates,5yearly,1950,58.923
776,estimates,5yearly,1955,52.956
776,estimates,5yearly,1960,47.206
776,estimates,5yearly,1965,42.01
776,estimates,5yearly,1970,37.283
776,estimates,5yearly,1975,33.876
776,estimates,5yearly,1980,30.583
776,estimates,5yearly,1985,27.787
776,estimates,5yearly,1990,26.373
776,estimates,5yearly,1995,24.953
776,estimates,5yearly,2000,23.473
776,estimates,5yearly,2005,22.03
776,estimates,5yearly,2010,20.614
776,medium_variant,5yearly,2015,19.211
776,medium_variant,5yearly,2020,17.889
776,medium_variant,5yearly,2025,16.615
776,medium_variant,5yearly,2030,15.419
776,medium_variant,5yearly,2035,14.345
776,medium_variant,5yearly,2040,13.331
776,medium_variant,5yearly,2045,12.357
776,medium_variant,5yearly,2050,11.483
776,medium_variant,5yearly,2055,10.661
776,medium_variant,5yearly,2060,9.883
776,medium_variant,5yearly,2065,9.181
776,medium_variant,5yearly,2070,8.536
776,medium_variant,5yearly,2075,7.935
776,medium_variant,5yearly,2080,7.385
776,medium_variant,5yearly,2085,6.895
776,medium_variant,5yearly,2090,6.431
776,medium_variant,5yearly,2095,6.028
776,estimates,5yearly,Regi,Tonga
776,medium_variant,5yearly,Regi,Tonga
