country,variant,freq,year,infantmortalityper1000livebirth
70,estimates,5yearly,1950,188.59
70,estimates,5yearly,1955,135.722
70,estimates,5yearly,1960,98.051
70,estimates,5yearly,1965,72.635
70,estimates,5yearly,1970,49.21
70,estimates,5yearly,1975,34.027
70,estimates,5yearly,1980,25.593
70,estimates,5yearly,1985,17.555
70,estimates,5yearly,1990,18.422
70,estimates,5yearly,1995,11.139
70,estimates,5yearly,2000,9.856
70,estimates,5yearly,2005,9.027
70,estimates,5yearly,2010,7.608
70,medium_variant,5yearly,2015,6.268
70,medium_variant,5yearly,2020,5.55
70,medium_variant,5yearly,2025,4.974
70,medium_variant,5yearly,2030,4.473
70,medium_variant,5yearly,2035,4.057
70,medium_variant,5yearly,2040,3.687
70,medium_variant,5yearly,2045,3.371
70,medium_variant,5yearly,2050,3.09
70,medium_variant,5yearly,2055,2.875
70,medium_variant,5yearly,2060,2.68
70,medium_variant,5yearly,2065,2.5
70,medium_variant,5yearly,2070,2.339
70,medium_variant,5yearly,2075,2.199
70,medium_variant,5yearly,2080,2.064
70,medium_variant,5yearly,2085,1.939
70,medium_variant,5yearly,2090,1.823
70,medium_variant,5yearly,2095,1.788
70,estimates,5yearly,Regi,Bosnia and Herzegovina
70,medium_variant,5yearly,Regi,Bosnia and Herzegovina
