country,variant,freq,year,infantmortalityper1000livebirth
233,estimates,5yearly,1950,84.891
233,estimates,5yearly,1955,50.105
233,estimates,5yearly,1960,33.42
233,estimates,5yearly,1965,23.487
233,estimates,5yearly,1970,21.138
233,estimates,5yearly,1975,21.839
233,estimates,5yearly,1980,20.302
233,estimates,5yearly,1985,18.256
233,estimates,5yearly,1990,16.334
233,estimates,5yearly,1995,11.987
233,estimates,5yearly,2000,7.264
233,estimates,5yearly,2005,4.749
233,estimates,5yearly,2010,3.195
233,medium_variant,5yearly,2015,2.77
233,medium_variant,5yearly,2020,2.504
233,medium_variant,5yearly,2025,2.274
233,medium_variant,5yearly,2030,2.078
233,medium_variant,5yearly,2035,1.907
233,medium_variant,5yearly,2040,1.787
233,medium_variant,5yearly,2045,1.671
233,medium_variant,5yearly,2050,1.571
233,medium_variant,5yearly,2055,1.476
233,medium_variant,5yearly,2060,1.39
233,medium_variant,5yearly,2065,1.315
233,medium_variant,5yearly,2070,1.245
233,medium_variant,5yearly,2075,1.174
233,medium_variant,5yearly,2080,1.124
233,medium_variant,5yearly,2085,1.074
233,medium_variant,5yearly,2090,1.029
233,medium_variant,5yearly,2095,0.989
233,estimates,5yearly,Regi,Estonia
233,medium_variant,5yearly,Regi,Estonia
