country,variant,freq,year,infantmortalityper1000livebirth
426,estimates,5yearly,1950,169.273
426,estimates,5yearly,1955,150.356
426,estimates,5yearly,1960,134.281
426,estimates,5yearly,1965,130.272
426,estimates,5yearly,1970,123.101
426,estimates,5yearly,1975,109.729
426,estimates,5yearly,1980,93.952
426,estimates,5yearly,1985,83.827
426,estimates,5yearly,1990,70.646
426,estimates,5yearly,1995,81.199
426,estimates,5yearly,2000,86.826
426,estimates,5yearly,2005,74.069
426,estimates,5yearly,2010,59.825
426,medium_variant,5yearly,2015,49.334
426,medium_variant,5yearly,2020,41.145
426,medium_variant,5yearly,2025,36.092
426,medium_variant,5yearly,2030,31.697
426,medium_variant,5yearly,2035,27.748
426,medium_variant,5yearly,2040,24.174
426,medium_variant,5yearly,2045,21.364
426,medium_variant,5yearly,2050,19.176
426,medium_variant,5yearly,2055,17.107
426,medium_variant,5yearly,2060,15.229
426,medium_variant,5yearly,2065,13.512
426,medium_variant,5yearly,2070,11.975
426,medium_variant,5yearly,2075,11.019
426,medium_variant,5yearly,2080,10.338
426,medium_variant,5yearly,2085,9.691
426,medium_variant,5yearly,2090,9.085
426,medium_variant,5yearly,2095,8.509
