country,variant,freq,year,infantmortalityper1000livebirth
270,estimates,5yearly,1950,156.242
270,estimates,5yearly,1955,150.029
270,estimates,5yearly,1960,144.142
270,estimates,5yearly,1965,127.46
270,estimates,5yearly,1970,113.43
270,estimates,5yearly,1975,100.961
270,estimates,5yearly,1980,89.953
270,estimates,5yearly,1985,81.563
270,estimates,5yearly,1990,76.084
270,estimates,5yearly,1995,67.134
270,estimates,5yearly,2000,59.381
270,estimates,5yearly,2005,52.383
270,estimates,5yearly,2010,49.846
270,medium_variant,5yearly,2015,44.86
270,medium_variant,5yearly,2020,41.219
270,medium_variant,5yearly,2025,38.183
270,medium_variant,5yearly,2030,35.603
270,medium_variant,5yearly,2035,33.309
270,medium_variant,5yearly,2040,31.304
270,medium_variant,5yearly,2045,29.551
270,medium_variant,5yearly,2050,27.978
270,medium_variant,5yearly,2055,26.266
270,medium_variant,5yearly,2060,24.708
270,medium_variant,5yearly,2065,23.321
270,medium_variant,5yearly,2070,21.975
270,medium_variant,5yearly,2075,20.693
270,medium_variant,5yearly,2080,19.632
270,medium_variant,5yearly,2085,18.62
270,medium_variant,5yearly,2090,17.614
270,medium_variant,5yearly,2095,16.682
270,estimates,5yearly,Regi,Gambia
270,medium_variant,5yearly,Regi,Gambia
