country,variant,freq,year,infantmortalityper1000livebirth
175,estimates,5yearly,1950,141.852
175,estimates,5yearly,1955,109.484
175,estimates,5yearly,1960,82.073
175,estimates,5yearly,1965,61.281
175,estimates,5yearly,1970,45.703
175,estimates,5yearly,1975,34.025
175,estimates,5yearly,1980,25.291
175,estimates,5yearly,1985,18.771
175,estimates,5yearly,1990,13.908
175,estimates,5yearly,1995,10.297
175,estimates,5yearly,2000,7.623
175,estimates,5yearly,2005,5.635
175,estimates,5yearly,2010,4.196
175,medium_variant,5yearly,2015,3.59
175,medium_variant,5yearly,2020,3.184
175,medium_variant,5yearly,2025,2.884
175,medium_variant,5yearly,2030,2.618
175,medium_variant,5yearly,2035,2.388
175,medium_variant,5yearly,2040,2.183
175,medium_variant,5yearly,2045,2.003
175,medium_variant,5yearly,2050,1.847
175,medium_variant,5yearly,2055,1.697
175,medium_variant,5yearly,2060,1.582
175,medium_variant,5yearly,2065,1.477
175,medium_variant,5yearly,2070,1.377
175,medium_variant,5yearly,2075,1.287
175,medium_variant,5yearly,2080,1.202
175,medium_variant,5yearly,2085,1.121
175,medium_variant,5yearly,2090,1.046
175,medium_variant,5yearly,2095,0.971
175,estimates,5yearly,Regi,Mayotte
175,medium_variant,5yearly,Regi,Mayotte
