country,variant,freq,year,infantmortalityper1000livebirth
44,estimates,5yearly,1950,70.563
44,estimates,5yearly,1955,58.289
44,estimates,5yearly,1960,48.123
44,estimates,5yearly,1965,39.707
44,estimates,5yearly,1970,32.741
44,estimates,5yearly,1975,26.984
44,estimates,5yearly,1980,22.228
44,estimates,5yearly,1985,18.298
44,estimates,5yearly,1990,15.558
44,estimates,5yearly,1995,14.158
44,estimates,5yearly,2000,11.576
44,estimates,5yearly,2005,10.04
44,estimates,5yearly,2010,9.061
44,medium_variant,5yearly,2015,7.976
44,medium_variant,5yearly,2020,7.165
44,medium_variant,5yearly,2025,6.659
44,medium_variant,5yearly,2030,6.193
44,medium_variant,5yearly,2035,5.792
44,medium_variant,5yearly,2040,5.421
44,medium_variant,5yearly,2045,5.075
44,medium_variant,5yearly,2050,4.775
44,medium_variant,5yearly,2055,4.494
44,medium_variant,5yearly,2060,4.228
44,medium_variant,5yearly,2065,4.013
44,medium_variant,5yearly,2070,3.817
44,medium_variant,5yearly,2075,3.622
44,medium_variant,5yearly,2080,3.437
44,medium_variant,5yearly,2085,3.271
44,medium_variant,5yearly,2090,3.111
44,medium_variant,5yearly,2095,2.96
44,estimates,5yearly,Regi,Bahamas
44,medium_variant,5yearly,Regi,Bahamas
