country,variant,freq,year,infantmortalityper1000livebirth
40,estimates,5yearly,1950,53.133
40,estimates,5yearly,1955,42.411
40,estimates,5yearly,1960,31.853
40,estimates,5yearly,1965,26.116
40,estimates,5yearly,1970,23.792
40,estimates,5yearly,1975,16.248
40,estimates,5yearly,1980,12.205
40,estimates,5yearly,1985,9.153
40,estimates,5yearly,1990,6.877
40,estimates,5yearly,1995,4.742
40,estimates,5yearly,2000,4.475
40,estimates,5yearly,2005,3.762
40,estimates,5yearly,2010,3.328
40,medium_variant,5yearly,2015,2.183
40,medium_variant,5yearly,2020,1.87
40,medium_variant,5yearly,2025,1.624
40,medium_variant,5yearly,2030,1.459
40,medium_variant,5yearly,2035,1.324
40,medium_variant,5yearly,2040,1.209
40,medium_variant,5yearly,2045,1.109
40,medium_variant,5yearly,2050,1.03
40,medium_variant,5yearly,2055,0.955
40,medium_variant,5yearly,2060,0.89
40,medium_variant,5yearly,2065,0.825
40,medium_variant,5yearly,2070,0.77
40,medium_variant,5yearly,2075,0.715
40,medium_variant,5yearly,2080,0.665
40,medium_variant,5yearly,2085,0.615
40,medium_variant,5yearly,2090,0.575
40,medium_variant,5yearly,2095,0.53
40,estimates,5yearly,Regi,Austria
40,medium_variant,5yearly,Regi,Austria
